((edrk >= 12.869) U[0,1] (LOS <= 13.969))
F[1,1](ALKALINE_PHOSPHATASE <= 89.355 & edrk <= 17.996)
G[1,1](BLOOD_UREA_NITROGEN <= 15.272 | lds >= 0.448)
G[1,1](death <= 0.663 -> s24_edrk >= -0.003)
G[0,1](BLOOD_UREA_NITROGEN >= 7.727 | Pulse <= 115.306)
G[1,1](O2_Flow <= 5.578 | Temp <= 37.563)
G[0,0](O2_Flow <= 4.388 | PLATELET_COUNT <= 347.839)
G[0,0](n_evts <= 0.376 -> LOS >= 2.551)
G[0,1](CREATININE >= 0.582 | PARTIAL_THROMBOPLASTIN_TIME <= 73.493)
G[1,1](PHOSPHORUS >= 1.680 | WHITE_BLOOD_CELL_COUNT <= 13.590)
G[1,1](af >= 0.000 | direct <= 0.211)
G[1,1](n_evts <= 0.561 -> LOS >= 3.635)
G[1,1](BLOOD_UREA_NITROGEN <= 13.979 | MAGNESIUM >= 1.555)
G[1,1](s2_hr <= 0.003 | s8_hr >= -0.002)
G[0,0](ALT_GPT >= 18.190 | PROTIME_INR >= 1.668)
G[0,0](BLOOD_UREA_NITROGEN <= 16.711 -> MET <= 0.696)
G[0,0](n_edrk >= 0.136 | PARTIAL_THROMBOPLASTIN_TIME >= 48.288)
G[0,0](ALT_GPT >= 18.910 | cosen <= -1.161)
G[0,1](AST_GOT >= 27.054 -> edrk >= 9.878)
G[1,1](CO2 >= 22.659 | TOTAL_BILIRUBIN >= 0.673)
((LACTIC_ACID <= 1.300) U[0,1] (y = 0.803))
G[0,1](AST_GOT <= 33.897 -> HEMOGLOBIN >= 7.287)
G[1,1](O2_Flow <= 5.540 -> Pulse <= 108.027)
G[0,1](AST_GOT <= 29.845 -> MAGNESIUM <= 2.180)
G[0,1](dfa >= 0.387 -> SODIUM <= 140.821)
G[0,1](CALCIUM <= 9.099 & srr <= 0.159)
G[0,1](CHLORIDE >= 101.776 -> TOTAL_BILIRUBIN >= 0.651)
((ALKALINE_PHOSPHATASE <= 90.362) U[1,1] (srr <= 0.059))
G[0,1](Pulse >= 76.005 -> SODIUM >= 136.032)
G[1,1](ALT_GPT <= 21.524 | n_edrk >= 0.225)
F[0,1](CHLORIDE < 106.839 -> y = 0.618)
F[1,1](ALKALINE_PHOSPHATASE <= 90.161 & Pulse <= 85.433)
G[1,1](CREATININE <= 0.817 -> dfa >= 0.467)
G[1,1](SODIUM <= 138.643 -> srr <= 0.044)
G[0,0](hr >= 73.606 & Pulse >= 63.670)
((O2_Flow <= 3.810) U[0,0] (TOTAL_PROTEIN <= 6.219))
((O2_Flow >= 2.386) U[0,0] (TOTAL_BILIRUBIN <= 0.698))
F[0,0](lds <= 2.220 & TOTAL_PROTEIN <= 6.225)
((GLUCOSE <= 184.213) U[0,1] (TOTAL_BILIRUBIN <= 0.699))
F[1,1](ALBUMIN <= 3.114 & hr <= 109.023)
F[0,1](AST_GOT >= 27.712 & POTASSIUM >= 3.720)
((ALBUMIN <= 3.122) U[1,2] (edrk >= 10.949))
((Glasgow_Coma_Scale_Total <= 14.967) U[1,2] (SpO2 <= 98.409))
G[1,1](HEMOGLOBIN <= 9.596 & Mort <= 0.950)
G[0,1](hr >= 69.960 & Pulse >= 74.489)
G[1,1](s8_hr <= 0.001 & WHITE_BLOOD_CELL_COUNT <= 13.289)
((BLOOD_UREA_NITROGEN >= 8.584) U[1,1] (PROTIME_INR >= 1.986))
G[0,1](hr <= 100.217 -> WHITE_BLOOD_CELL_COUNT <= 11.664)
G[1,1](BLOOD_UREA_NITROGEN <= 10.773 | PARTIAL_THROMBOPLASTIN_TIME >= 39.964)
((ICU_Pt_Days >= 0.069) U[1,2] (PHOSPHORUS <= 3.121))
G[0,0](PROTIME_INR <= 3.283 & Temp <= 37.870)
