,Initial Rule Trees
145,"G[?,?](Potassium <= ? | WBC <= ?)"
146,"G[?,?]((->O2Sat >= ?Temp <= ?) | (O2Sat >= ? | SBP <= ?))"
147,"G[?,?](Platelets >= ? | (O2Sat >= ? & Temp >= ?))"
148,"G[?,?](Lactate <= ? | SBP >= ?)"
149,"G[?,?]((->Temp <= ?HR >= ?) | O2Sat <= ?)"
150,"G[?,?](Alkalinephos <= ? | (HR >= ? | HR >= ?))"
151,"G[?,?]((|Temp <= ?SBP <= ?) | (SBP <= ? | Temp >= ?))"
152,"G[?,?](EtCO2 <= ? | Resp >= ?)"
153,"G[?,?]((->O2Sat <= ?HR >= ?) | (Temp <= ? & Temp >= ?))"
154,"G[?,?]((|O2Sat >= ?SBP >= ?) | HR <= ?)"
155,"G[?,?]((->Temp <= ?SBP <= ?) | PTT >= ?)"
156,"G[?,?]((&Temp >= ?HR >= ?) -> Fibrinogen >= ?)"
157,"G[?,?](PTT >= ? -> PaCO2 >= ?)"
158,"G[?,?]((|Temp <= ?SBP <= ?) | Bilirubin_direct <= ?)"
159,"G[?,?]((->O2Sat >= ?HR <= ?) | (Lactate <= ? & O2Sat <= ?))"
160,"G[?,?](AST <= ? -> (O2Sat >= ? -> O2Sat >= ?))"
161,"G[?,?]((|SBP >= ?WBC <= ?) | (SBP >= ? -> SBP >= ?))"
162,"G[?,?]((|Temp >= ?Temp >= ?) | (MAP <= ? | TroponinI >= ?))"
163,"G[?,?]((->Hgb >= ?O2Sat <= ?) | EtCO2 <= ?)"
164,"G[?,?](SaO2 <= ? | MAP <= ?)"
165,"G[?,?]((->SBP <= ?Temp >= ?) | (SBP <= ? | O2Sat >= ?))"
166,"G[?,?](SaO2 <= ? | (Temp >= ? -> O2Sat >= ?))"
167,"G[?,?](FiO2 <= ? | (Temp <= ? & Temp <= ?))"
168,"G[?,?](TroponinI <= ? | BaseExcess >= ?)"
169,"G[?,?](Chloride <= ? & HCO3 <= ?)"
170,"G[?,?](EtCO2 <= ? | Chloride <= ?)"
171,"G[?,?]((&O2Sat >= ?O2Sat <= ?) | (Platelets <= ? -> Temp <= ?))"
172,"G[?,?]((|O2Sat >= ?HR <= ?) | (MAP <= ? | SBP <= ?))"
173,"G[?,?]((->Temp >= ?HR <= ?) | (AST >= ? -> Temp >= ?))"
174,"G[?,?]((&O2Sat >= ?HR <= ?) | AST >= ?)"
175,"G[?,?]((->Temp <= ?O2Sat <= ?) | (MAP <= ? | TroponinI >= ?))"
176,"G[?,?](pH <= ? | PTT >= ?)"
177,"G[?,?]((&O2Sat >= ?O2Sat >= ?) | TroponinI <= ?)"
178,"G[?,?]((|SBP <= ?O2Sat >= ?) | MAP <= ?)"
179,"G[?,?](PaCO2 <= ? | MAP >= ?)"
180,"G[?,?](WBC <= ? | BaseExcess <= ?)"
181,"G[?,?]((&Temp <= ?HR <= ?) | (Platelets <= ? -> Temp >= ?))"
182,"G[?,?](PTT <= ? | (MAP <= ? | HR <= ?))"
183,"G[?,?](Platelets <= ? -> Temp <= ?)"
184,"G[?,?]((&Potassium >= ?O2Sat >= ?) -> Hct <= ?)"
185,"G[?,?]((->O2Sat >= ?HR >= ?) | (O2Sat >= ? & Temp <= ?))"
186,"G[?,?](Calcium >= ? | (Platelets <= ? -> SBP >= ?))"
187,"G[?,?](Platelets >= ? | (O2Sat >= ? -> O2Sat >= ?))"
188,"G[?,?]((|SBP >= ?HR >= ?) | Calcium <= ?)"
189,"G[?,?]((|pH <= ?SBP >= ?) | PTT >= ?)"
190,"F[?,?](SaO2 >= ? & Hgb >= ?)"
191,"G[?,?]((->O2Sat >= ?HR >= ?) | (MAP <= ? | SBP <= ?))"
192,"G[?,?]((->O2Sat >= ?SBP <= ?) | (O2Sat <= ? -> MAP <= ?))"
193,"G[?,?]((->O2Sat <= ?HR >= ?) | (HR <= ? & O2Sat <= ?))"
194,"G[?,?](Potassium <= ? | PaCO2 <= ?)"
195,"G[?,?]((|Temp >= ?SBP >= ?) | Phosphate >= ?)"
196,"G[?,?]((->O2Sat <= ?Temp >= ?) | Glucose <= ?)"
197,"G[?,?](Glucose <= ? | (MAP <= ? | Temp >= ?))"
198,"G[?,?](Potassium <= ? | (HR <= ? | Temp >= ?))"
199,"G[?,?]((&Potassium >= ?Temp <= ?) -> Bilirubin_total >= ?)"
200,"G[?,?](Magnesium >= ? | (O2Sat >= ? -> MAP <= ?))"
201,"G[?,?]((|HR <= ?Temp >= ?) | Hct >= ?)"
202,"G[?,?](O2Sat <= ? | EtCO2 <= ?)"
203,"G[?,?](Hct >= ? | (HR <= ? & O2Sat <= ?))"
204,"G[?,?]((|O2Sat >= ?MAP >= ?) | (MAP <= ? | Temp <= ?))"
205,"G[?,?]((|HR <= ?HR <= ?) | SaO2 >= ?)"
206,"G[?,?](Bilirubin_total <= ? | (HR <= ? -> O2Sat <= ?))"
207,"G[?,?]((->SBP <= ?O2Sat <= ?) | AST <= ?)"
208,"F[?,?](Temp <= ? & Alkalinephos >= ?)"
209,"G[?,?]((->Temp <= ?MAP <= ?) | Bilirubin_total <= ?)"
210,"G[?,?]((|Temp >= ?WBC <= ?) | (SBP >= ? -> O2Sat <= ?))"
211,"G[?,?](SBP <= ? | BUN >= ?)"
212,"G[?,?](Lactate >= ? -> pH >= ?)"
213,"G[?,?]((->Lactate <= ?SBP <= ?) | (O2Sat <= ? -> O2Sat <= ?))"
214,"G[?,?]((|SBP >= ?SBP >= ?) | Resp <= ?)"
215,"G[?,?](Fibrinogen >= ? | (SBP <= ? -> SBP >= ?))"
216,"G[?,?](SepsisLabel >= ? | (O2Sat <= ? & Temp >= ?))"
217,"G[?,?](Chloride <= ? | (O2Sat <= ? -> MAP <= ?))"
218,"G[?,?](HR >= ? | (AST >= ? -> MAP <= ?))"
219,"G[?,?]((->SBP <= ?Temp >= ?) | Chloride >= ?)"
220,"G[?,?]((|HR <= ?Temp <= ?) | (Platelets <= ? -> HR <= ?))"
221,"G[?,?](Hgb <= ? | (HR <= ? -> SBP >= ?))"
222,"G[?,?]((|SBP <= ?SBP >= ?) | O2Sat <= ?)"
223,"G[?,?](PaCO2 >= ? | Potassium <= ?)"
224,"G[?,?](FiO2 <= ? | (SBP <= ? -> O2Sat <= ?))"
225,"G[?,?](SaO2 <= ? | (O2Sat >= ? | TroponinI >= ?))"
226,"F[?,?](Phosphate >= ? & Temp <= ?)"
227,"G[?,?]((|Temp <= ?Temp <= ?) | (O2Sat >= ? | Temp >= ?))"
228,"G[?,?]((->HR <= ?O2Sat <= ?) | (O2Sat >= ? | HR <= ?))"
229,"G[?,?]((->Lactate <= ?Temp <= ?) | (O2Sat >= ? | HR >= ?))"
230,"G[?,?]((|Temp >= ?WBC <= ?) | (HR >= ? -> HR <= ?))"
231,"G[?,?]((->Lactate <= ?SBP <= ?) | (O2Sat <= ? -> HR <= ?))"
232,"G[?,?]((&Potassium >= ?O2Sat >= ?) -> FiO2 <= ?)"
233,"G[?,?](Resp >= ? -> O2Sat >= ?)"
234,"G[?,?]((|HR <= ?HR <= ?) | (HR <= ? & O2Sat <= ?))"
235,"G[?,?]((|SBP >= ?MAP >= ?) | (O2Sat >= ? | O2Sat >= ?))"
236,"G[?,?](Hct >= ? | Bilirubin_total <= ?)"
237,"G[?,?]((->Hgb >= ?Temp <= ?) | (SBP <= ? | TroponinI >= ?))"
238,"G[?,?]((->SBP <= ?O2Sat <= ?) | Chloride >= ?)"
239,"G[?,?](PaCO2 <= ? | HCO3 >= ?)"
240,"G[?,?](Chloride <= ? -> (HR >= ? & O2Sat <= ?))"
241,"G[?,?](SBP >= ? | (O2Sat <= ? -> Temp <= ?))"
242,"G[?,?](Glucose >= ? | (Temp <= ? -> Temp <= ?))"
243,"G[?,?](Hct <= ? | Hct >= ?)"
244,"G[?,?](HCO3 <= ? | (SBP >= ? -> SBP >= ?))"
245,"G[?,?](Chloride <= ? | (O2Sat >= ? -> O2Sat <= ?))"
246,"G[?,?](BaseExcess >= ? -> (Temp >= ? & O2Sat >= ?))"
247,"G[?,?](Hgb >= ? -> DBP >= ?)"
248,"G[?,?]((->Hgb >= ?O2Sat <= ?) | (Platelets <= ? -> HR <= ?))"
249,"G[?,?]((->Lactate <= ?O2Sat <= ?) | (O2Sat <= ? -> Temp <= ?))"
250,"G[?,?]((&SBP <= ?HR <= ?) | (HR <= ? -> Temp <= ?))"
251,"G[?,?]((|SBP <= ?MAP >= ?) | Creatinine >= ?)"
252,"G[?,?](PTT <= ? | (O2Sat >= ? | TroponinI >= ?))"
253,"G[?,?]((->SBP <= ?MAP <= ?) | HR >= ?)"
254,"G[?,?]((->Lactate <= ?HR <= ?) | (AST >= ? -> SBP <= ?))"
255,"G[?,?](Glucose <= ? | SaO2 >= ?)"
256,"G[?,?](EtCO2 <= ? -> (HR >= ? & HR >= ?))"
257,"G[?,?](Phosphate >= ? | (HR <= ? | Temp <= ?))"
258,"G[?,?](DBP <= ? | (Platelets <= ? -> O2Sat >= ?))"
259,"G[?,?](PaCO2 >= ? | (HR <= ? & Temp >= ?))"
260,"G[?,?]((&Lactate <= ?O2Sat >= ?) | (HR <= ? -> SBP >= ?))"
261,"G[?,?]((&O2Sat <= ?O2Sat <= ?) | (SBP <= ? | TroponinI >= ?))"
262,"G[?,?]((|Temp >= ?O2Sat >= ?) | (Platelets <= ? -> Temp <= ?))"
263,"G[?,?](FiO2 >= ? -> BUN <= ?)"
264,"G[?,?]((->O2Sat >= ?SBP <= ?) | (SBP >= ? -> SBP <= ?))"
265,"G[?,?](PaCO2 <= ? | (HR <= ? | HR <= ?))"
266,"G[?,?]((|HR <= ?SBP <= ?) | (AST >= ? -> SBP >= ?))"
267,"G[?,?]((&O2Sat <= ?Temp <= ?) | (MAP <= ? | TroponinI >= ?))"
268,"(O2Sat <= ?) U[?,?] (HCO3 <= ?)"
269,"G[?,?](EtCO2 <= ? | (HR >= ? | Temp <= ?))"
270,"G[?,?]((|HR <= ?SBP <= ?) | (MAP <= ? | TroponinI >= ?))"
271,"G[?,?]((|Temp <= ?HR >= ?) | (SBP >= ? -> Temp >= ?))"
272,"G[?,?]((->Lactate <= ?HR >= ?) | (O2Sat <= ? & Temp <= ?))"
273,"G[?,?]((->SBP <= ?O2Sat <= ?) | (Temp >= ? -> SBP >= ?))"
274,"G[?,?]((->O2Sat >= ?SBP <= ?) | (HR >= ? | SBP <= ?))"
275,"G[?,?]((|O2Sat >= ?MAP >= ?) | (HR >= ? | HR >= ?))"
276,"G[?,?](Temp <= ? | Hgb <= ?)"
277,"G[?,?]((&O2Sat <= ?Temp <= ?) | Magnesium <= ?)"
278,"G[?,?](BUN <= ? & HCO3 >= ?)"
279,"G[?,?]((|SBP >= ?HR <= ?) | (Lactate <= ? & O2Sat <= ?))"
280,"G[?,?](SBP <= ? | (O2Sat >= ? | O2Sat >= ?))"
281,"G[?,?]((&Potassium >= ?O2Sat <= ?) -> O2Sat <= ?)"
282,"G[?,?](HCO3 <= ? | (SBP >= ? -> O2Sat >= ?))"
283,"G[?,?]((|Temp <= ?HR <= ?) | (HR >= ? -> Temp <= ?))"
284,"G[?,?](Resp >= ? | (MAP <= ? | HR <= ?))"
285,"G[?,?]((|SBP >= ?Temp <= ?) | (HR <= ? & Temp >= ?))"
286,"G[?,?]((->HR <= ?MAP <= ?) | Glucose <= ?)"
287,"G[?,?]((|Temp >= ?HR <= ?) | (HR <= ? | HR >= ?))"
288,"G[?,?]((->O2Sat >= ?HR <= ?) | (SBP >= ? -> Temp >= ?))"
289,"G[?,?]((->Temp <= ?HR <= ?) | Potassium <= ?)"
290,"G[?,?](TroponinI >= ? | (SBP <= ? -> HR <= ?))"
291,"G[?,?]((->Lactate <= ?MAP <= ?) | (HR >= ? | SBP <= ?))"
292,"G[?,?]((&Temp >= ?O2Sat <= ?) -> (HR >= ? & O2Sat <= ?))"
293,"G[?,?]((|SBP <= ?MAP >= ?) | (Temp >= ? -> HR <= ?))"
294,"G[?,?]((|pH <= ?HR <= ?) | EtCO2 >= ?)"
295,"G[?,?]((|SBP <= ?SBP <= ?) | (AST >= ? -> O2Sat <= ?))"
296,"G[?,?]((->Hgb >= ?SBP <= ?) | (O2Sat >= ? -> SBP >= ?))"
297,"G[?,?]((->O2Sat <= ?SBP >= ?) | (Platelets <= ? -> SBP >= ?))"
298,"G[?,?]((&O2Sat <= ?HR <= ?) | (Temp <= ? -> Temp >= ?))"
299,"G[?,?]((|SBP <= ?HR >= ?) | HR >= ?)"
300,"G[?,?]((->Temp >= ?Temp <= ?) | (MAP <= ? | HR <= ?))"
301,"G[?,?]((|SBP >= ?Temp >= ?) | (SBP <= ? | HR >= ?))"
302,"G[?,?](Magnesium <= ? -> SBP >= ?)"
303,"G[?,?]((|O2Sat >= ?Temp <= ?) | Bilirubin_total <= ?)"
304,"G[?,?]((|pH <= ?HR <= ?) | (SBP <= ? -> MAP <= ?))"
305,"G[?,?]((|HR <= ?MAP >= ?) | Bilirubin_direct >= ?)"
306,"F[?,?](Chloride >= ? & Phosphate >= ?)"
307,"G[?,?]((&O2Sat <= ?HR <= ?) | (HR >= ? -> MAP <= ?))"
308,"(Creatinine >= ?) U[?,?] (FiO2 >= ?)"
309,"G[?,?]((|O2Sat >= ?WBC <= ?) | (AST >= ? -> SBP >= ?))"
310,"(Temp >= ?) U[?,?] (Bilirubin_total >= ?)"
311,"G[?,?](HCO3 <= ? | (HR >= ? | TroponinI >= ?))"
312,"G[?,?](Glucose <= ? -> Lactate >= ?)"
313,"G[?,?](Chloride <= ? | (HR >= ? -> Temp >= ?))"
314,"G[?,?]((|Temp <= ?Temp <= ?) | (HR <= ? -> O2Sat >= ?))"
315,"G[?,?]((->SBP <= ?SBP <= ?) | DBP >= ?)"
316,"G[?,?]((->Temp <= ?Temp >= ?) | (Platelets <= ? -> SBP >= ?))"
317,"G[?,?]((->O2Sat <= ?Temp <= ?) | SBP >= ?)"
318,"G[?,?]((&Temp <= ?HR <= ?) | MAP <= ?)"
319,"G[?,?](SepsisLabel >= ? | (SBP <= ? -> SBP >= ?))"
320,"G[?,?]((->Hgb >= ?SBP >= ?) | Magnesium <= ?)"
321,"G[?,?]((&SBP <= ?Temp <= ?) | (Temp >= ? -> Temp >= ?))"
322,"G[?,?](Hgb <= ? -> EtCO2 >= ?)"
323,"G[?,?](HR >= ? | (HR <= ? | O2Sat >= ?))"
324,"G[?,?]((->Temp >= ?HR >= ?) | Magnesium <= ?)"
325,"G[?,?]((|pH <= ?SBP >= ?) | (HR >= ? -> SBP <= ?))"
326,"G[?,?](BaseExcess >= ? | (AST >= ? -> SBP >= ?))"
327,"G[?,?](Platelets >= ? -> (HR >= ? & O2Sat >= ?))"
328,"(Hct >= ?) U[?,?] (Fibrinogen >= ?)"
329,"G[?,?]((|HR <= ?HR >= ?) | (HR >= ? -> Temp <= ?))"
330,"(Phosphate >= ?) U[?,?] (Chloride <= ?)"
331,"G[?,?]((|Temp >= ?Temp >= ?) | (Temp <= ? -> Temp <= ?))"
332,"G[?,?](PTT >= ? | Glucose >= ?)"
333,"(Creatinine <= ?) U[?,?] (Temp >= ?)"
334,"G[?,?]((->O2Sat <= ?SBP >= ?) | Platelets >= ?)"
335,"G[?,?]((|Temp >= ?Temp <= ?) | Potassium >= ?)"
336,"G[?,?](Magnesium >= ? -> PaCO2 <= ?)"
337,"G[?,?]((->Hgb >= ?SBP <= ?) | Platelets >= ?)"
338,"G[?,?](Chloride <= ? | BaseExcess <= ?)"
339,"G[?,?](Hgb <= ? | (AST >= ? -> Temp >= ?))"
340,"G[?,?](Bilirubin_total >= ? -> Bilirubin_total <= ?)"
341,"G[?,?](MAP <= ? & DBP >= ?)"
342,"G[?,?](HCO3 >= ? | MAP <= ?)"
343,"G[?,?]((->O2Sat <= ?Temp <= ?) | Lactate >= ?)"
344,"G[?,?]((|O2Sat >= ?SBP >= ?) | BaseExcess >= ?)"
345,"G[?,?]((->Temp <= ?SBP <= ?) | (AST >= ? -> SBP <= ?))"
346,"G[?,?](MAP <= ? -> Platelets <= ?)"
347,"G[?,?]((|SBP >= ?WBC <= ?) | (O2Sat >= ? -> Temp >= ?))"
348,"G[?,?]((->HR <= ?HR >= ?) | (SBP <= ? -> HR <= ?))"
349,"G[?,?](WBC <= ? | WBC <= ?)"
350,"G[?,?]((->O2Sat <= ?SBP >= ?) | (O2Sat >= ? | SBP <= ?))"
351,"G[?,?](EtCO2 <= ? | (SBP <= ? -> Temp >= ?))"
