,Missed Client Rules
53,"((Glucose >= 0.000) U[0,0] (Platelets >= 0.000))"
54,"((Glucose >= 0.000) U[0,0] (SBP <= 0.000))"
55,"((HCO3 <= 0.000) U[0,0] (Hct >= 0.000))"
56,"((HCO3 <= 0.000) U[0,0] (Platelets >= 0.000))"
57,"((HCO3 <= 0.000) U[0,0] (WBC >= 0.000))"
58,"((HCO3 >= 0.000) U[0,0] (Bilirubin_total <= 0.000))"
59,"((HCO3 >= 0.000) U[0,0] (Hct >= 0.000))"
60,"((HCO3 >= 0.000) U[0,0] (Hgb >= 0.000))"
61,"((HCO3 >= 0.000) U[0,0] (O2Sat <= 0.000))"
62,"((HCO3 >= 0.000) U[0,0] (Temp >= 0.000))"
63,"((HCO3 >= 0.000) U[0,0] (WBC <= 0.000))"
64,"((HCO3 >= 0.000) U[0,0] (pH >= 0.000))"
65,"((HR <= 0.000) U[0,0] (Magnesium >= 0.000))"
66,"((HR >= 0.000) U[0,0] (PaCO2 >= 0.000))"
67,"((HR >= 0.000) U[0,0] (Phosphate >= 0.000))"
68,"((HR >= 0.000) U[0,0] (Potassium >= 0.000))"
69,"((HR >= 0.000) U[0,0] (WBC >= 0.000))"
70,"((Hct <= 0.000) U[0,0] (Phosphate >= 0.000))"
71,"((Hct >= 0.000) U[0,0] (MAP >= 0.000))"
72,"((Hct >= 0.000) U[0,0] (PTT <= 0.000))"
73,"((Hct >= 0.000) U[0,0] (PTT >= 0.000))"
74,"((Hct >= 0.000) U[0,0] (PaCO2 >= 0.000))"
75,"((Hct >= 0.000) U[0,0] (Platelets <= 0.000))"
76,"((Hct >= 0.000) U[0,0] (Potassium >= 0.000))"
77,"((Hct >= 0.000) U[0,0] (TroponinI <= 0.000))"
78,"((Hct >= 0.000) U[0,0] (WBC <= 0.000))"
79,"((Hgb <= 0.000) U[0,0] (Alkalinephos >= 0.000))"
80,"((Hgb <= 0.000) U[0,0] (PTT >= 0.000))"
81,"((Hgb <= 0.000) U[0,0] (Potassium >= 0.000))"
82,"((Hgb >= 0.000) U[0,0] (Platelets <= 0.000))"
83,"((Hgb >= 0.000) U[0,0] (Resp >= 0.000))"
84,"((Hgb >= 0.000) U[0,0] (Temp >= 0.000))"
85,"((Lactate >= 0.000) U[0,0] (PaCO2 <= 0.000))"
86,"((MAP >= 0.000) U[0,0] (Potassium >= 0.000))"
87,"((MAP >= 0.000) U[0,0] (SBP <= 0.000))"
88,"((MAP >= 0.000) U[0,0] (WBC >= 0.000))"
89,"((Magnesium <= 0.000) U[0,0] (Potassium >= 0.000))"
90,"((Magnesium <= 0.000) U[0,0] (pH >= 0.000))"
91,"((Magnesium >= 0.000) U[0,0] (Chloride <= 0.000))"
92,"((Magnesium >= 0.000) U[0,0] (Creatinine >= 0.000))"
93,"((Magnesium >= 0.000) U[0,0] (Hct <= 0.000))"
94,"((Magnesium >= 0.000) U[0,0] (PTT >= 0.000))"
95,"((Magnesium >= 0.000) U[0,0] (Phosphate <= 0.000))"
96,"((Magnesium >= 0.000) U[0,0] (Phosphate >= 0.000))"
97,"((Magnesium >= 0.000) U[0,0] (Platelets >= 0.000))"
98,"((O2Sat <= 0.000) U[0,0] (Fibrinogen >= 0.000))"
99,"((O2Sat <= 0.000) U[0,0] (Potassium >= 0.000))"
100,"((O2Sat <= 0.000) U[0,0] (TroponinI >= 0.000))"
101,"((O2Sat <= 0.000) U[0,0] (WBC >= 0.000))"
102,"((O2Sat >= 0.000) U[0,0] (PTT >= 0.000))"
103,"((O2Sat >= 0.000) U[0,0] (WBC >= 0.000))"
104,"((PTT >= 0.000) U[0,0] (WBC <= 0.000))"
105,"((PaCO2 >= 0.000) U[0,0] (FiO2 >= 0.000))"
106,"((PaCO2 >= 0.000) U[0,0] (WBC >= 0.000))"
107,"((Phosphate <= 0.000) U[0,0] (Phosphate >= 0.000))"
108,"((Phosphate <= 0.000) U[0,0] (WBC >= 0.000))"
109,"((Phosphate >= 0.000) U[0,0] (Platelets >= 0.000))"
110,"((Platelets <= 0.000) U[0,0] (PTT >= 0.000))"
111,"((Platelets <= 0.000) U[0,0] (Potassium >= 0.000))"
112,"((Platelets >= 0.000) U[0,0] (Potassium <= 0.000))"
113,"((Potassium >= 0.000) U[0,0] (PTT >= 0.000))"
114,"((Potassium >= 0.000) U[0,0] (SBP >= 0.000))"
115,"((Potassium >= 0.000) U[0,0] (SepsisLabel <= 0.000))"
116,"((Potassium >= 0.000) U[0,0] (WBC >= 0.000))"
117,"((SBP >= 0.000) U[0,0] (WBC >= 0.000))"
118,"((SaO2 <= 0.000) U[0,0] (PTT <= 0.000))"
119,"((Temp >= 0.000) U[0,0] (BaseExcess >= 0.000))"
120,"((Temp >= 0.000) U[0,0] (Calcium >= 0.000))"
121,"((pH >= 0.000) U[0,0] (EtCO2 <= 0.000))"
122,"F[0,0]((((Calcium < 0.000 & Potassium < 0.000) & Magnesium < 0.000) & Phosphate < 0.000))"
123,"F[0,0](((Calcium <= 0.000 & Potassium <= 0.000) & Magnesium >= 0.000))"
124,"F[0,0](((Calcium >= 0.000 & WBC <= 0.000) | AST >= 0.000))"
125,"F[0,0](((Phosphate >= 0.000 & Magnesium > 0.000) -> Calcium < 0.000))"
126,"F[0,0]((Bilirubin_total <= 0.000 -> BUN >= 0.000))"
127,"F[0,0]((Calcium <= 0.000 & Hct >= 0.000))"
128,"F[0,0]((Calcium >= 0.000 & Creatinine >= 0.000))"
129,"F[0,0]((Calcium >= 0.000 | Hgb >= 0.000))"
130,"F[0,0]((Chloride <= 0.000 & Magnesium >= 0.000))"
131,"F[0,0]((Chloride >= 0.000 & Resp <= 0.000))"
132,"F[0,0]((Creatinine >= 0.000 & HCO3 <= 0.000))"
133,"F[0,0]((Creatinine >= 0.000 & Resp <= 0.000))"
134,"F[0,0]((FiO2 >= 0.000 & Magnesium >= 0.000))"
135,"F[0,0]((Glucose <= 0.000 & Hgb >= 0.000))"
136,"F[0,0]((Glucose >= 0.000 & Hct <= 0.000))"
137,"F[0,0]((Glucose >= 0.000 & SBP >= 0.000))"
138,"F[0,0]((Hct <= 0.000 & Lactate >= 0.000))"
139,"F[0,0]((Hct >= 0.000 & Fibrinogen <= 0.000))"
140,"F[0,0]((Hct >= 0.000 | Platelets >= 0.000))"
141,"F[0,0]((Hgb <= 0.000 | Hct <= 0.000))"
142,"F[0,0]((Hgb >= 0.000 & HR <= 0.000))"
143,"F[0,0]((Hgb >= 0.000 & O2Sat <= 0.000))"
144,"F[0,0]((Hgb >= 0.000 & Resp >= 0.000))"
145,"F[0,0]((Hgb >= 0.000 & Temp <= 0.000))"
146,"F[0,0]((Hgb >= 0.000 & Temp >= 0.000))"
147,"F[0,0]((Magnesium <= 0.000 & pH >= 0.000))"
148,"F[0,0]((Magnesium >= 0.000 & PTT <= 0.000))"
149,"F[0,0]((Magnesium >= 0.000 & Platelets <= 0.000))"
150,"F[0,0]((O2Sat >= 0.000 & HCO3 >= 0.000))"
151,"F[0,0]((O2Sat >= 0.000 & Phosphate >= 0.000))"
152,"F[0,0]((PTT >= 0.000 & WBC <= 0.000))"
153,"F[0,0]((Phosphate >= 0.000 | Potassium >= 0.000))"
154,"F[0,0]((Resp >= 0.000 & WBC >= 0.000))"
155,"F[0,0]((SBP <= 0.000 & WBC >= 0.000))"
156,"F[0,0]((WBC <= 0.000 & BUN >= 0.000))"
157,"F[0,0]((pH >= 0.000 & SaO2 <= 0.000))"
158,"G[0,0]((((Hgb <= 0.000 | Hct <= 0.000) -> WBC >= 0.000) & Platelets >= 0.000))"
159,"G[0,0](((Hgb >= 0.000 & AST >= 0.000) -> Hct <= 0.000))"
160,"G[0,0](((Magnesium <= 0.000 | Phosphate <= 0.000) | Calcium >= 0.000))"
161,"G[0,0]((AST <= 0.000 | O2Sat >= 0.000))"
162,"G[0,0]((AST >= 0.000 -> Creatinine >= 0.000))"
163,"G[0,0]((Alkalinephos >= 0.000 | SepsisLabel >= 0.000))"
164,"G[0,0]((BUN <= 0.000 & Creatinine >= 0.000))"
165,"G[0,0]((BUN <= 0.000 -> Creatinine <= 0.000))"
166,"G[0,0]((BUN <= 0.000 | PaCO2 >= 0.000))"
167,"G[0,0]((BUN >= 0.000 -> AST <= 0.000))"
168,"G[0,0]((BUN >= 0.000 -> FiO2 >= 0.000))"
169,"G[0,0]((BUN >= 0.000 -> pH >= 0.000))"
170,"G[0,0]((BUN >= 0.000 | Calcium <= 0.000))"
171,"G[0,0]((BUN >= 0.000 | PaCO2 <= 0.000))"
172,"G[0,0]((BaseExcess <= 0.000 -> WBC <= 0.000))"
173,"G[0,0]((BaseExcess <= 0.000 | HR >= 0.000))"
174,"G[0,0]((BaseExcess >= 0.000 | FiO2 >= 0.000))"
175,"G[0,0]((BaseExcess >= 0.000 | pH <= 0.000))"
176,"G[0,0]((Bilirubin_total >= 0.000 -> Hgb >= 0.000))"
177,"G[0,0]((Calcium <= 0.000 & SBP >= 0.000))"
178,"G[0,0]((Calcium <= 0.000 -> WBC <= 0.000))"
179,"G[0,0]((Calcium >= 0.000 -> Calcium <= 0.000))"
180,"G[0,0]((Calcium >= 0.000 -> Hgb <= 0.000))"
181,"G[0,0]((Calcium >= 0.000 -> Magnesium <= 0.000))"
182,"G[0,0]((Calcium >= 0.000 | BUN <= 0.000))"
183,"G[0,0]((Chloride <= 0.000 & Hct <= 0.000))"
184,"G[0,0]((Chloride <= 0.000 -> Magnesium <= 0.000))"
185,"G[0,0]((Chloride <= 0.000 | HCO3 >= 0.000))"
186,"G[0,0]((Chloride <= 0.000 | PTT >= 0.000))"
187,"G[0,0]((Chloride <= 0.000 | Temp <= 0.000))"
188,"G[0,0]((Chloride >= 0.000 & HCO3 >= 0.000))"
189,"G[0,0]((Chloride >= 0.000 -> Hgb <= 0.000))"
190,"G[0,0]((Chloride >= 0.000 -> O2Sat <= 0.000))"
191,"G[0,0]((Creatinine <= 0.000 -> Magnesium <= 0.000))"
192,"G[0,0]((Creatinine <= 0.000 -> Phosphate <= 0.000))"
193,"G[0,0]((Creatinine <= 0.000 | HCO3 <= 0.000))"
194,"G[0,0]((Creatinine <= 0.000 | SaO2 >= 0.000))"
195,"G[0,0]((Creatinine >= 0.000 -> Glucose <= 0.000))"
196,"G[0,0]((Creatinine >= 0.000 -> MAP <= 0.000))"
197,"G[0,0]((Creatinine >= 0.000 -> Magnesium <= 0.000))"
198,"G[0,0]((Creatinine >= 0.000 | Hct <= 0.000))"
199,"G[0,0]((Creatinine >= 0.000 | MAP <= 0.000))"
200,"G[0,0]((DBP <= 0.000 | Glucose >= 0.000))"
201,"G[0,0]((DBP <= 0.000 | Hct <= 0.000))"
202,"G[0,0]((DBP <= 0.000 | Phosphate <= 0.000))"
203,"G[0,0]((DBP >= 0.000 | Alkalinephos <= 0.000))"
204,"G[0,0]((EtCO2 >= 0.000 | PaCO2 >= 0.000))"
205,"G[0,0]((FiO2 <= 0.000 -> MAP >= 0.000))"
206,"G[0,0]((FiO2 >= 0.000 -> O2Sat <= 0.000))"
207,"G[0,0]((Glucose <= 0.000 -> O2Sat >= 0.000))"
208,"G[0,0]((Glucose <= 0.000 | Magnesium <= 0.000))"
209,"G[0,0]((Glucose <= 0.000 | PaCO2 >= 0.000))"
210,"G[0,0]((Glucose <= 0.000 | Resp <= 0.000))"
211,"G[0,0]((HCO3 <= 0.000 | Hct >= 0.000))"
212,"G[0,0]((HCO3 <= 0.000 | Resp >= 0.000))"
213,"G[0,0]((HCO3 <= 0.000 | pH <= 0.000))"
214,"G[0,0]((HCO3 >= 0.000 -> MAP >= 0.000))"
215,"G[0,0]((HCO3 >= 0.000 -> Phosphate <= 0.000))"
216,"G[0,0]((HCO3 >= 0.000 -> Platelets >= 0.000))"
217,"G[0,0]((HCO3 >= 0.000 -> pH <= 0.000))"
218,"G[0,0]((HCO3 >= 0.000 | WBC <= 0.000))"
219,"G[0,0]((HR >= 0.000 | Hct >= 0.000))"
220,"G[0,0]((Hct <= 0.000 -> Hgb <= 0.000))"
221,"G[0,0]((Hct <= 0.000 | Temp >= 0.000))"
222,"G[0,0]((Hct >= 0.000 | Hgb <= 0.000))"
223,"G[0,0]((Hct >= 0.000 | Platelets <= 0.000))"
224,"G[0,0]((Hct >= 0.000 | SBP >= 0.000))"
225,"G[0,0]((Hgb >= 0.000 -> Hgb <= 0.000))"
226,"G[0,0]((Hgb >= 0.000 -> PTT <= 0.000))"
227,"G[0,0]((Lactate <= 0.000 | MAP <= 0.000))"
228,"G[0,0]((Lactate <= 0.000 | O2Sat <= 0.000))"
229,"G[0,0]((MAP <= 0.000 | PTT <= 0.000))"
230,"G[0,0]((MAP <= 0.000 | PaCO2 <= 0.000))"
231,"G[0,0]((MAP >= 0.000 | PTT <= 0.000))"
232,"G[0,0]((MAP >= 0.000 | Resp <= 0.000))"
233,"G[0,0]((MAP >= 0.000 | WBC >= 0.000))"
234,"G[0,0]((Magnesium <= 0.000 -> Creatinine <= 0.000))"
235,"G[0,0]((Magnesium <= 0.000 -> Phosphate <= 0.000))"
236,"G[0,0]((Magnesium <= 0.000 | Potassium >= 0.000))"
237,"G[0,0]((Magnesium >= 0.000 -> MAP <= 0.000))"
238,"G[0,0]((Magnesium >= 0.000 | PaCO2 <= 0.000))"
239,"G[0,0]((O2Sat <= 0.000 | Phosphate <= 0.000))"
240,"G[0,0]((O2Sat <= 0.000 | Potassium <= 0.000))"
241,"G[0,0]((PTT <= 0.000 | SaO2 <= 0.000))"
242,"G[0,0]((PTT >= 0.000 -> Resp >= 0.000))"
243,"G[0,0]((PaCO2 <= 0.000 | Hct <= 0.000))"
244,"G[0,0]((PaCO2 <= 0.000 | Phosphate <= 0.000))"
245,"G[0,0]((PaCO2 <= 0.000 | Platelets <= 0.000))"
246,"G[0,0]((PaCO2 >= 0.000 -> pH >= 0.000))"
247,"G[0,0]((PaCO2 >= 0.000 | Resp >= 0.000))"
248,"G[0,0]((Phosphate <= 0.000 & Magnesium <= 0.000))"
249,"G[0,0]((Phosphate <= 0.000 -> Potassium <= 0.000))"
250,"G[0,0]((Phosphate >= 0.000 -> WBC >= 0.000))"
251,"G[0,0]((Phosphate >= 0.000 | Platelets <= 0.000))"
252,"G[0,0]((Platelets <= 0.000 -> Potassium <= 0.000))"
253,"G[0,0]((Platelets <= 0.000 -> Resp <= 0.000))"
254,"G[0,0]((Platelets <= 0.000 -> WBC <= 0.000))"
255,"G[0,0]((Platelets <= 0.000 -> WBC >= 0.000))"
256,"G[0,0]((Platelets >= 0.000 -> PTT >= 0.000))"
257,"G[0,0]((Platelets >= 0.000 -> Resp <= 0.000))"
258,"G[0,0]((Platelets >= 0.000 | PTT <= 0.000))"
259,"G[0,0]((Platelets >= 0.000 | Resp >= 0.000))"
260,"G[0,0]((Resp >= 0.000 | WBC <= 0.000))"
261,"G[0,0]((SaO2 <= 0.000 | Temp >= 0.000))"
262,"G[0,0]((Temp >= 0.000 | WBC <= 0.000))"
263,"G[0,0]((pH <= 0.000 | Potassium <= 0.000))"
264,"G[0,0]((pH >= 0.000 -> Platelets <= 0.000))"
265,"G[0,0]((pH >= 0.000 | Bilirubin_total >= 0.000))"
