G[0,0](SMBGperDayPtMeterCombo >= 5.012 & BGTestAvgNumPtRep >= 1.685) [Discrimination Score: -4.315; Robustness + : 0.000; Robustness - : 4.315; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](GFR <= 0.000 -> BUN >= 1.620) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2]((WeightKg >= 62.326 | bmi >= 21.459) -> UnitsInsBasalOrLongAct <= 31.903) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 5.274) U[1,1] (BGTestAvgNumPtRep <= 6.914)) [Discrimination Score: -6.914; Robustness + : 0.000; Robustness - : 6.914; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](SMBGperDayPtMeterCombo >= 5.230 & BGTestAvgNumPtRep >= 2.509) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 8.540 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](GFR <= 0.000 -> BUN >= 4.441) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((WeightKg >= 64.034 | bmi >= 22.008) -> UnitsInsBasalOrLongAct <= 32.719) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 5.253) U[1,1] (BGTestAvgNumPtRep <= 4.171)) [Discrimination Score: -4.171; Robustness + : 0.000; Robustness - : 4.171; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 5.236 & BGTestAvgNumPtRep >= 0.258) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 8.499 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](GFR <= 0.000 -> BUN >= 0.272) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((WeightKg >= 61.828 | bmi >= 21.486) -> UnitsInsBasalOrLongAct <= 23.462) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 5.299) U[0,2] (BGTestAvgNumPtRep <= 5.425)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 5.180 & BGTestAvgNumPtRep >= 3.117) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 8.462 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](GFR <= 0.000 -> BUN >= 0.071) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2]((WeightKg >= 64.127 | bmi >= 22.116) -> UnitsInsBasalOrLongAct <= 13.537) [Discrimination Score: 13.537; Robustness + : 0.000; Robustness - : -13.537; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 5.014) U[1,2] (BGTestAvgNumPtRep <= 4.967)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](SMBGperDayPtMeterCombo >= 5.150 & BGTestAvgNumPtRep >= 2.315) [Discrimination Score: -3.685; Robustness + : 0.000; Robustness - : 3.685; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 8.476 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](GFR <= 0.000 -> BUN >= 1.023) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((WeightKg >= 62.875 | bmi >= 21.964) -> UnitsInsBasalOrLongAct <= 29.039) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 5.027) U[1,2] (BGTestAvgNumPtRep <= 6.624)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 5.170 & BGTestAvgNumPtRep >= 3.319) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](HbA1c >= 8.572 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](GFR <= 0.000 -> BUN >= 3.173) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1]((WeightKg >= 61.270 | bmi >= 21.660) -> UnitsInsBasalOrLongAct <= 12.198) [Discrimination Score: 12.198; Robustness + : 0.000; Robustness - : -12.198; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 5.033) U[1,2] (BGTestAvgNumPtRep <= 6.917)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](SMBGperDayPtMeterCombo >= 5.024 & BGTestAvgNumPtRep >= 1.285) [Discrimination Score: 5.024; Robustness + : 0.000; Robustness - : -5.024; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 8.474 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](GFR <= 0.000 -> BUN >= 0.482) [Discrimination Score: 40.518; Robustness + : 0.000; Robustness - : -40.518; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2]((WeightKg >= 66.781 | bmi >= 21.792) -> UnitsInsBasalOrLongAct <= 16.677) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 5.143) U[2,2] (BGTestAvgNumPtRep <= 5.368)) [Discrimination Score: -5.368; Robustness + : 0.000; Robustness - : 5.368; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](SMBGperDayPtMeterCombo >= 5.072 & BGTestAvgNumPtRep >= 3.330) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](HbA1c >= 8.606 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](GFR <= 0.000 -> BUN >= 1.002) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1]((WeightKg >= 61.750 | bmi >= 21.639) -> UnitsInsBasalOrLongAct <= 15.893) [Discrimination Score: 15.893; Robustness + : 0.000; Robustness - : -15.893; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 5.254) U[1,2] (BGTestAvgNumPtRep <= 6.991)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](Pt_SHFlg <= 0.682 & Pt_SHFlg = 0.836) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](UnitsInsBasalOrLongAct >= 7.885 & Pt_SHFlg = 0.237) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](TSH <= 1.754 & Pt_SHFlg = 0.020) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](bmi < 22.382 -> Pt_SHFlg = 0.100) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](BldPrSys > 104.806 & Pt_SHFlg = 0.091) [Discrimination Score: 104.806; Robustness + : 0.000; Robustness - : -104.806; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](BGTestAvgNumPtRep < 6.359 & Pt_SHFlg = 0.703) [Discrimination Score: 0.703; Robustness + : 0.000; Robustness - : -0.703; Percent Class + : 1.000; Percent Class - : 0.000]
((WeightKg <= 68.431) U[1,2] (Pt_SHFlg = 0.935)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((age < 16.248) U[0,0] (Pt_SHFlg = 0.808)) [Discrimination Score: -16.248; Robustness + : 0.000; Robustness - : 16.248; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](diabDur < 15.008 & Pt_SHFlg = 0.380) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((HbA1cImputeDtMnC <= 20.640) U[2,2] (Pt_SHFlg = 0.135)) [Discrimination Score: -20.640; Robustness + : 0.000; Robustness - : 20.640; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](bmiZscore < 0.652 -> Pt_SHFlg = 0.398) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](bmiPerc <= 0.705 & Pt_SHFlg = 0.550) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](HbA1c < 8.684 -> Pt_SHFlg = 0.981) [Discrimination Score: 8.684; Robustness + : 0.000; Robustness - : -8.684; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](HeightCm < 177.590 & Pt_SHFlg = 0.069) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](TotalDailyInsPerKg <= 0.893 -> Pt_SHFlg = 0.008) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((SMBGperDayPtMeterCombo < 5.612) U[2,2] (Pt_SHFlg = 0.968)) [Discrimination Score: -5.612; Robustness + : 0.000; Robustness - : 5.612; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BUN < 7.977 -> Pt_SHFlg = 0.689) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter > 5.049) U[0,1] (Pt_SHFlg = 0.194)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Pt_A1cGoalLev <= 4.209 & Pt_SHFlg = 0.528) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((LDL < 76.382) U[0,2] (Pt_SHFlg = 0.276)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](HDL < 46.865 -> Pt_SHFlg = 0.129) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](BldPrDia > 54.968 -> Pt_SHFlg = 0.210) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](AlbCreatRat_mggNew < 8.599 -> Pt_SHFlg = 0.104) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0](Triglyc < 32.021 -> Pt_SHFlg = 0.340) [Discrimination Score: 32.021; Robustness + : 0.000; Robustness - : -32.021; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](NumPumpBolusOrShortAct <= 4.068 & Pt_SHFlg = 0.522) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((Pt_CGMUseNumDays > 0.000) U[1,2] (Pt_SHFlg = 0.298)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](Pt_MotherT1D < 0.000 & Pt_SHFlg = 0.157) [Discrimination Score: 1.000; Robustness + : 0.000; Robustness - : -1.000; Percent Class + : 1.000; Percent Class - : 0.000]
((Pt_SiblingT1D < 0.000) U[1,2] (Pt_SHFlg = 0.852)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](Pt_ChildT1D >= 0.000 & Pt_SHFlg = 0.901) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((Pt_GrandchildT1D <= 0.000) U[0,0] (Pt_SHFlg = 0.552)) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Pt_GrandparentT1D <= 0.000 -> Pt_SHFlg = 0.986) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](DirectLDL <= 0.000 -> Pt_SHFlg = 0.214) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((TotChol >= 0.000) U[0,1] (Pt_SHFlg = 0.827)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((AutonomicNeuroCl > 0.000) U[1,2] (Pt_SHFlg = 0.785)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](Pt_InsGov >= 0.000 -> Pt_SHFlg = 0.484) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](Pt_DKAFlg > 0.000 & Pt_SHFlg = 0.287) [Discrimination Score: 0.287; Robustness + : 0.000; Robustness - : -0.287; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](GFR < 0.000 & Pt_SHFlg = 0.957) [Discrimination Score: 0.957; Robustness + : 0.000; Robustness - : -0.957; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](diagAgeCombo < 1.000 & Pt_SHFlg = 0.047) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((Pt_A1cGoalLevelDsYr5 > 0.000) U[1,1] (Pt_SHFlg = 0.554)) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((age >= 15.963 & HbA1cImputeDtMnC >= 4.716) | Pt_CGMUseNumDays <= 14.877) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](BGTestAvgNumPtRep >= 0.487 | WeightKg <= 67.867) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((bmi >= 21.622 | Pt_FatherT1D <= 0.734) & TotChol <= 0.727) -> age >= 0.659) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](((bmi <= 22.683 | UnitsInsBasalOrLongAct >= 3.310) & BGTestAvgNumMeter <= 25.155) | Pt_A1cGoalLevelDsYr5 >= 2.357) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](bmiPerc >= 0.646 -> bmiZscore >= 0.438) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](((BUN >= 2.549 | TotalDailyInsPerKg <= 0.934) | BGTestAvgNumPtRep <= 0.868) | AutonomicNeuroCl <= 0.907) [Discrimination Score: -38.451; Robustness + : 0.000; Robustness - : 38.451; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2](((BGTestAvgNumMeter <= 5.648 & TotalDailyInsPerKg >= 0.845) | BldPrDia >= 0.819) | bmiZscore >= 0.825) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((diabDur >= 14.265 -> WeightKg >= 60.820) | Pt_SiblingT1D <= 74.321) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,1](((LDL <= 71.376 & Pt_A1cGoalLev <= 3.257) | Pt_SiblingT1D <= 3.811) -> HbA1cImputeDtMnC <= 4.681) [Discrimination Score: 4.681; Robustness + : 0.000; Robustness - : -4.681; Percent Class + : 0.000; Percent Class - : 1.000]
((BldPrDia <= 63.499) U[0,2] (Triglyc <= 23.281)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((HbA1cImputeDtMnC <= 18.862 -> WeightKg <= 69.399) & HbA1c >= 61.279) & bmiPerc <= 67.546) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((BGTestAvgNumPtRep >= 1.852 | diabDur <= 15.380) -> bmiZscore <= 15.101) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((BGTestAvgNumPtRep <= 3.755 | HbA1cImputeDtMnC >= 2.967) | Pt_DKAFlg <= 22.563) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0]((HDL <= 40.770 -> LDL >= 33.506) -> age <= 97.734) [Discrimination Score: 97.734; Robustness + : 0.000; Robustness - : -97.734; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((BldPrDia >= 57.432 | HDL <= 55.656) -> BUN >= 0.764) | Pt_GrandchildT1D >= 8.663) [Discrimination Score: 8.663; Robustness + : 0.000; Robustness - : -8.663; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2]((bmiPerc <= 0.709 | HbA1c >= 8.470) | GFR <= 8.762) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((NumPumpBolusOrShortAct <= 5.945) U[0,1] (Triglyc >= 11.424)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](HeightCm <= 175.790 -> TotalDailyInsPerKg >= 0.844) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((HDL >= 28.525) U[1,2] (Pt_A1cGoalLev >= 1.333)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](bmiZscore >= 0.459 & HbA1c <= 8.713) [Discrimination Score: 0.459; Robustness + : 0.000; Robustness - : -0.459; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2]((HDL >= 19.051 | Triglyc <= 27.646) -> NumPumpBolusOrShortAct <= 33.283) [Discrimination Score: 33.283; Robustness + : 0.000; Robustness - : -33.283; Percent Class + : 0.000; Percent Class - : 1.000]
((AlbCreatRat_mggNew <= 9.191) U[1,1] (NumPumpBolusOrShortAct >= 1.802)) [Discrimination Score: -9.191; Robustness + : 0.000; Robustness - : 9.191; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](BUN >= 2.491 & HeightCm >= 168.738) [Discrimination Score: 108.338; Robustness + : 0.000; Robustness - : -108.338; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](((BGTestAvgNumMeter <= 5.557 & HeightCm <= 175.942) & Triglyc >= 173.705) -> UnitsInsBasalOrLongAct >= 170.719) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2]((BldPrDia <= 61.620 | LDL >= 53.493) | BGTestAvgNumPtRep <= 82.760) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BldPrDia <= 63.907) U[0,1] (NumPumpBolusOrShortAct >= 0.042)) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((HbA1c <= 8.737) U[2,2] (Pt_A1cGoalLev >= 2.195)) [Discrimination Score: -8.737; Robustness + : 0.000; Robustness - : 8.737; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](((BldPrDia <= 62.804 | Pt_A1cGoalLev >= 0.318) | diagAgeCombo >= 0.526) -> HbA1c <= 4.624) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](((LDL >= 36.139 & Triglyc >= 16.880) -> WeightKg <= 38.857) -> SMBGperDayPtMeterCombo <= 24.683) [Discrimination Score: 24.683; Robustness + : 0.000; Robustness - : -24.683; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((HbA1cImputeDtMnC >= 8.805 -> HeightCm >= 170.924) | Pt_ChildT1D >= 168.386) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](((diabDur <= 15.802 | HeightCm >= 169.989) -> BldPrDia <= 178.600) | HDL >= 172.239) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((BldPrSys <= 114.150 & UnitsInsBasalOrLongAct <= 32.512) -> Pt_FatherT1D >= 3.579) & Pt_SiblingT1D <= 18.818) [Discrimination Score: 32.512; Robustness + : 0.000; Robustness - : -32.512; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0]((BldPrSys <= 115.729 -> Pt_SHFlg <= 0.814) | HDL >= 0.572) [Discrimination Score: -98.428; Robustness + : 0.000; Robustness - : 98.428; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](((AlbCreatRat_mggNew >= 5.579 -> BUN >= 1.897) | Pt_MotherT1D <= 12.967) -> Pt_A1cGoalLevelDsYr5 >= 2.285) [Discrimination Score: 11.967; Robustness + : 0.000; Robustness - : -11.967; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((AlbCreatRat_mggNew >= 3.062 | BGTestAvgNumMeter <= 5.857) | HeightCm <= 5.808) & TSH >= 5.085) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](HbA1c <= 8.761 | LDL <= 83.894) [Discrimination Score: -9999999.000; Robustness + : 0.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](((BldPrSys <= 113.345 | bmi >= 22.111) -> HbA1cImputeDtMnC >= 21.796) | HeightCm <= 23.187) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](BldPrSys <= 111.480 & bmiZscore >= 0.426) [Discrimination Score: 9999999.000; Robustness + : 0.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
