G[0,0](SMBGperDayPtMeterCombo >= 2.024 & BGTestAvgNumPtRep >= 1.623) [Discrimination Score: -1.000; Robustness + : 0.377; Robustness - : 1.377; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](SMBGperDayPtMeterCombo >= 2.901 & BGTestAvgNumPtRep >= 0.263) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 7.603 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](GFR <= 61.389 -> BUN >= 11.217) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0]((WeightKg >= 82.766 | bmi >= 27.864) -> UnitsInsBasalOrLongAct <= 13.252) [Discrimination Score: 0.000; Robustness + : -13.252; Robustness - : -13.252; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 1.824) U[1,2] (BGTestAvgNumPtRep <= 3.059)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](SMBGperDayPtMeterCombo >= 2.414 & BGTestAvgNumPtRep >= 0.657) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](HbA1c >= 7.326 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](GFR <= 56.198 -> BUN >= 14.500) [Discrimination Score: 0.000; Robustness + : -56.198; Robustness - : -56.198; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2]((WeightKg >= 80.145 | bmi >= 30.349) -> UnitsInsBasalOrLongAct <= 13.776) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 0.709) U[0,0] (BGTestAvgNumPtRep <= 3.713)) [Discrimination Score: 25.578; Robustness + : 26.291; Robustness - : 0.713; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](SMBGperDayPtMeterCombo >= 2.730 & BGTestAvgNumPtRep >= 1.873) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1c >= 7.469 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](GFR <= 40.431 -> BUN >= 14.175) [Discrimination Score: 35.000; Robustness + : -90.825; Robustness - : -125.825; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1]((WeightKg >= 82.223 | bmi >= 28.095) -> UnitsInsBasalOrLongAct <= 26.363) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 0.361) U[0,1] (BGTestAvgNumPtRep <= 2.491)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](SMBGperDayPtMeterCombo >= 2.715 & BGTestAvgNumPtRep >= 1.524) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1c >= 7.697 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](GFR <= 45.131 -> BUN >= 12.073) [Discrimination Score: 0.000; Robustness + : -45.131; Robustness - : -45.131; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2]((WeightKg >= 79.223 | bmi >= 29.322) -> UnitsInsBasalOrLongAct <= 21.745) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 0.821) U[1,2] (BGTestAvgNumPtRep <= 2.974)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[2,2](SMBGperDayPtMeterCombo >= 2.475 & BGTestAvgNumPtRep >= 1.274) [Discrimination Score: 0.000; Robustness + : -2.475; Robustness - : -2.475; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](HbA1c >= 7.278 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](GFR <= 60.185 -> BUN >= 11.853) [Discrimination Score: 0.000; Robustness + : -60.185; Robustness - : -60.185; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((WeightKg >= 77.040 | bmi >= 29.188) -> UnitsInsBasalOrLongAct <= 24.319) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 1.907) U[0,2] (BGTestAvgNumPtRep <= 3.481)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](SMBGperDayPtMeterCombo >= 2.450 & BGTestAvgNumPtRep >= 1.126) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](HbA1c >= 7.138 -> Pt_A1cGoalLevelDsYr5 = 0.000) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](GFR <= 56.097 -> BUN >= 12.907) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((WeightKg >= 77.919 | bmi >= 27.890) -> UnitsInsBasalOrLongAct <= 17.936) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumMeter >= 0.922) U[2,2] (BGTestAvgNumPtRep <= 3.234)) [Discrimination Score: 0.000; Robustness + : 3.234; Robustness - : 3.234; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Pt_SHFlg >= 0.127 & Pt_SHFlg = 0.339) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[2,2](Pt_CGMUseNumDays < 12.840 -> Pt_SHFlg = 0.568) [Discrimination Score: 0.000; Robustness + : -12.840; Robustness - : -12.840; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](BGTestAvgNumMeter >= 0.594 & Pt_SHFlg = 0.888) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](TotChol >= 29.536 -> Pt_SHFlg = 0.053) [Discrimination Score: -18.000; Robustness + : -37.464; Robustness - : -19.464; Percent Class + : 1.000; Percent Class - : 0.000]
((BGTestAvgNumPtRep > 0.312) U[0,0] (Pt_SHFlg = 0.857)) [Discrimination Score: -1.000; Robustness + : 1.688; Robustness - : 2.688; Percent Class + : 0.000; Percent Class - : 1.000]
((UnitsInsBasalOrLongAct <= 19.488) U[1,2] (Pt_SHFlg = 0.852)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](Pt_A1cGoalLev > 1.104 & Pt_SHFlg = 0.904) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((Triglyc < 166.410) U[1,1] (Pt_SHFlg = 0.590)) [Discrimination Score: 0.000; Robustness + : 166.410; Robustness - : 166.410; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](BUN <= 16.741 & Pt_SHFlg = 0.638) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](TotalDailyInsPerKg <= 0.638 -> Pt_SHFlg = 0.027) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](BldPrDia >= 55.173 & Pt_SHFlg = 0.838) [Discrimination Score: 0.000; Robustness + : -55.173; Robustness - : -55.173; Percent Class + : 1.000; Percent Class - : 0.000]
((SMBGperDayPtMeterCombo >= 2.007) U[0,2] (Pt_SHFlg = 0.401)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1](TSH >= 4.034 -> Pt_SHFlg = 0.053) [Discrimination Score: 0.000; Robustness + : 0.053; Robustness - : 0.053; Percent Class + : 1.000; Percent Class - : 0.000]
((AlbCreatRat_mggNew >= 0.187) U[0,0] (Pt_SHFlg = 0.678)) [Discrimination Score: 7.000; Robustness + : 16.813; Robustness - : 9.813; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,2](NumPumpBolusOrShortAct >= 0.551 -> Pt_SHFlg = 0.823) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](HbA1c <= 8.082 -> Pt_SHFlg = 0.872) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0](HDL > 47.384 -> Pt_SHFlg = 0.901) [Discrimination Score: 21.000; Robustness + : -38.616; Robustness - : -59.616; Percent Class + : 0.000; Percent Class - : 1.000]
((BldPrSys < 125.259) U[0,2] (Pt_SHFlg = 0.073)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](LDL <= 137.658 & Pt_SHFlg = 0.462) [Discrimination Score: 0.000; Robustness + : -0.462; Robustness - : -0.462; Percent Class + : 0.000; Percent Class - : 1.000]
((age <= 68.824) U[0,2] (Pt_SHFlg = 0.013)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((HbA1cImputeDtMnC > 4.639) U[0,2] (Pt_SHFlg = 0.936)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](diabDur < 17.138 -> Pt_SHFlg = 0.418) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[2,2](Pt_GrandparentT1D <= 0.504 -> Pt_SHFlg = 0.394) [Discrimination Score: 0.000; Robustness + : -0.504; Robustness - : -0.504; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2](Pt_GrandchildT1D <= 0.764 -> Pt_SHFlg = 0.074) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](Pt_ChildT1D <= 0.504 & Pt_SHFlg = 0.777) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](bmi > 28.710 -> Pt_SHFlg = 0.533) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](WeightKg < 88.581 & Pt_SHFlg = 0.410) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](bmiZscore < 0.293 & Pt_SHFlg = 0.091) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((HeightCm <= 166.537) U[2,2] (Pt_SHFlg = 0.799)) [Discrimination Score: 0.000; Robustness + : 166.537; Robustness - : 166.537; Percent Class + : 0.000; Percent Class - : 1.000]
((GFR >= 1.230) U[0,0] (Pt_SHFlg = 0.144)) [Discrimination Score: -0.573; Robustness + : -1.404; Robustness - : -0.831; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Pt_FatherT1D <= 0.000 & Pt_SHFlg = 0.865) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](Pt_MotherT1D > 0.000 -> Pt_SHFlg = 0.268) [Discrimination Score: 0.000; Robustness + : 0.000; Robustness - : 0.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Pt_SiblingT1D <= 0.000 -> Pt_SHFlg = 0.261) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](DirectLDL < 0.000 & Pt_SHFlg = 0.611) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2](AutonomicNeuroCl >= 0.000 -> Pt_SHFlg = 0.345) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((Pt_DKAFlg <= 0.000) U[0,2] (Pt_SHFlg = 0.213)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((bmiPerc <= 0.000) U[0,2] (Pt_SHFlg = 0.656)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](diagAgeCombo > 51.000 & Pt_SHFlg = 0.581) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](Pt_A1cGoalLevelDsYr5 < 0.000 -> Pt_SHFlg = 0.729) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,0]((BGTestAvgNumPtRep >= 1.099 -> UnitsInsBasalOrLongAct <= 27.957) & BGTestAvgNumPtRep <= 19.367) [Discrimination Score: 0.000; Robustness + : -27.957; Robustness - : -27.957; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((bmi >= 29.231 & WeightKg <= 89.388) | DirectLDL <= 89.822) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1]((age >= 66.004 | HbA1cImputeDtMnC >= 35.035) & Triglyc <= 61.614) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2]((diabDur >= 14.659 & HbA1cImputeDtMnC >= 30.128) -> Triglyc <= 71.500) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,2]((age <= 69.803 | diabDur <= 17.734) | BUN >= 15.724) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](HDL >= 46.510 -> NumPumpBolusOrShortAct <= 2.755) [Discrimination Score: 21.000; Robustness + : -39.490; Robustness - : -60.490; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,2](((bmiZscore >= -0.123 | WeightKg <= 89.870) & diagAgeCombo <= 87.348) | BldPrDia <= 86.435) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0]((bmi >= 29.041 | bmiZscore >= -0.080) & Pt_FatherT1D >= 0.121) [Discrimination Score: -0.201; Robustness + : -0.121; Robustness - : 0.080; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,2]((GFR <= 31.330 | Pt_GrandparentT1D <= 0.903) -> GFR <= 0.600) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](BldPrSys >= 106.644 | SMBGperDayPtMeterCombo <= 3.588) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,1](((bmi <= 31.401 | diabDur >= 14.645) & SMBGperDayPtMeterCombo <= 17.097) | HbA1c <= 18.320) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((age <= 68.522) U[0,1] (bmi >= 28.312)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((diabDur <= 16.740 -> WeightKg >= 79.926) | NumPumpBolusOrShortAct <= 85.767) & BldPrDia >= 80.645) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[1,1](((age >= 67.082 | WeightKg <= 88.792) & LDL <= 87.731) & Pt_FatherT1D <= 91.209) [Discrimination Score: 0.000; Robustness + : 87.731; Robustness - : 87.731; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2]((HeightCm <= 166.825 | WeightKg >= 84.081) | age <= 88.924) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BldPrDia <= 74.783) U[1,1] (BldPrSys >= 113.840)) [Discrimination Score: 0.000; Robustness + : 74.783; Robustness - : 74.783; Percent Class + : 0.000; Percent Class - : 1.000]
F[2,2](((GFR <= 39.615 -> HbA1cImputeDtMnC >= 30.321) | Pt_SHFlg >= 15.017) & age >= 16.258) [Discrimination Score: 0.000; Robustness + : -16.258; Robustness - : -16.258; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2](((Pt_CGMUseNumDays >= 3.259 | Pt_InsGov >= 0.061) & bmiZscore <= 0.867) & UnitsInsBasalOrLongAct >= 0.163) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
((BUN <= 16.104) U[1,2] (TotChol >= 126.018)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,0](((Pt_A1cGoalLev <= 3.970 | TotChol >= 51.629) | TotChol <= 168.671) -> DirectLDL <= 189.654) [Discrimination Score: 18.000; Robustness + : -101.671; Robustness - : -119.671; Percent Class + : 1.000; Percent Class - : 0.000]
G[0,2]((BUN >= 12.801 -> Pt_ChildT1D <= 0.805) & GFR <= 0.428) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2](((bmi <= 31.481 -> HbA1cImputeDtMnC >= 8.910) | diabDur <= 66.634) | HbA1cImputeDtMnC <= 69.315) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1]((bmi <= 30.678 | HeightCm <= 166.580) & HbA1c <= 166.831) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](BGTestAvgNumPtRep >= 1.669 | SMBGperDayPtMeterCombo <= 3.533) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
((SMBGperDayPtMeterCombo <= 3.964) U[0,2] (UnitsInsBasalOrLongAct >= 1.578)) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,2]((HbA1cImputeDtMnC <= 76.941 | WeightKg <= 91.127) & BUN <= 86.796) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,2]((LDL <= 101.287 & TSH >= 6.145) & HDL >= 4.124) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
G[1,1](((diabDur <= 18.671 & GFR >= 17.552) -> BldPrDia >= 18.698) -> HeightCm <= 43.435) [Discrimination Score: 0.000; Robustness + : -43.435; Robustness - : -43.435; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](bmiZscore <= 0.364 | diabDur <= 18.755) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,0]((age <= 70.026 | GFR >= 26.656) & Pt_FatherT1D <= 62.913) [Discrimination Score: 25.000; Robustness + : 62.913; Robustness - : 37.913; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((diabDur >= 14.781 | Pt_ChildT1D <= 0.976) & Pt_GrandchildT1D <= 0.972) & BGTestAvgNumPtRep >= 0.260) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
F[0,1](((bmiZscore >= -0.051 | HeightCm >= 166.089) -> Pt_MotherT1D >= 166.249) | Pt_GrandchildT1D >= 166.172) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](((HbA1c <= 8.489 | Triglyc >= 126.235) | BldPrSys >= 132.976) | Pt_ChildT1D >= 118.294) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,0](((HbA1cImputeDtMnC >= 22.237 & Pt_GrandchildT1D <= 0.427) | HbA1c <= 0.835) & diabDur >= 0.381) [Discrimination Score: -2.320; Robustness + : -1.485; Robustness - : 0.835; Percent Class + : 0.000; Percent Class - : 1.000]
G[1,1]((BldPrDia >= 71.126 & SMBGperDayPtMeterCombo >= 2.312) & bmiZscore <= 3.409) [Discrimination Score: 0.000; Robustness + : -71.126; Robustness - : -71.126; Percent Class + : 1.000; Percent Class - : 0.000]
F[0,1](((Pt_CGMUseNumDays <= 18.274 -> TotChol >= 107.469) | SMBGperDayPtMeterCombo >= 6.407) & BUN >= 74.878) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
G[0,1](age >= 65.629 & bmiZscore <= 0.208) [Discrimination Score: 0.000; Robustness + : 9999999.000; Robustness - : 9999999.000; Percent Class + : 1.000; Percent Class - : 0.000]
F[1,2]((Pt_A1cGoalLev <= 4.245 & Pt_CGMUseNumDays <= 16.891) -> bmiPerc <= 23.617) [Discrimination Score: 0.000; Robustness + : -9999999.000; Robustness - : -9999999.000; Percent Class + : 0.000; Percent Class - : 1.000]
