,Initial Rule Trees
82,"(ICU_Pt_Days >= ?) U[?,?] (y >= ?)"
83,"(LOS <= ?) U[?,?] (direct >= ?)"
84,"(SBP <= ?) U[?,?] (CHLORIDE >= ?)"
85,"(tte <= ?) U[?,?] (SpO2 >= ?)"
86,"(SpO2 <= ?) U[?,?] (O2_Flow >= ?)"
87,"G[?,?](y <= ? -> death <= ?)"
88,"(Mort >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
89,"G[?,?](Mort >= ? | Mort <= ?)"
90,"(SpO2 <= ?) U[?,?] (ICU_Pt_Days >= ?)"
91,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (Temp <= ?)"
92,"(tte <= ?) U[?,?] (Pulse <= ?)"
93,"(y >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
94,"G[?,?](LOS >= ? | Glasgow_Coma_Scale_Total <= ?)"
95,"G[?,?](Mort >= ? -> ICU_Pt_Days >= ?)"
96,"(ICU_Pt_Days >= ?) U[?,?] (ICU_Pt_Days >= ?)"
97,"(AST_GOT >= ?) U[?,?] (direct >= ?)"
98,"(tte <= ?) U[?,?] (direct >= ?)"
99,"(SpO2 >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
100,"(direct >= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
101,"(CHLORIDE >= ?) U[?,?] (y >= ?)"
102,"(Pulse >= ?) U[?,?] (Pulse >= ?)"
103,"(SpO2 <= ?) U[?,?] (LOS >= ?)"
104,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
105,"F[?,?](ICU_Pt_Days >= ? & LOS <= ?)"
106,"(tte >= ?) U[?,?] (direct >= ?)"
107,"(tte >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
108,"(Temp <= ?) U[?,?] (tte <= ?)"
109,"(direct >= ?) U[?,?] (SBP >= ?)"
110,"G[?,?](ICU_Pt_Days <= ? | ICU_Pt_Days >= ?)"
111,"G[?,?](tte <= ? -> y <= ?)"
112,"(ICU_Pt_Days <= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
113,"(LOS <= ?) U[?,?] (Pulse <= ?)"
114,"(Resp <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
115,"(Temp <= ?) U[?,?] (LOS >= ?)"
116,"(Pulse >= ?) U[?,?] (LOS <= ?)"
117,"(Mort <= ?) U[?,?] (Mort >= ?)"
118,"(CALCIUM >= ?) U[?,?] (Pulse >= ?)"
119,"(CO2 >= ?) U[?,?] (Pulse <= ?)"
120,"(Resp <= ?) U[?,?] (death >= ?)"
121,"(CALCIUM >= ?) U[?,?] (Resp <= ?)"
122,"G[?,?](LOS >= ? | ICU_Pt_Days >= ?)"
123,"G[?,?](ICU_Pt_Days <= ? -> Mort >= ?)"
124,"(n_evts >= ?) U[?,?] (SBP <= ?)"
125,"(SBP >= ?) U[?,?] (CALCIUM >= ?)"
126,"(ALBUMIN >= ?) U[?,?] (y >= ?)"
127,"(Mort <= ?) U[?,?] (O2_Flow >= ?)"
128,"(LOS >= ?) U[?,?] (ALBUMIN >= ?)"
129,"(ALT_GPT >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
130,"G[?,?](tte <= ? -> ICU_Pt_Days <= ?)"
131,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (death >= ?)"
132,"(n_evts >= ?) U[?,?] (ICU_Pt_Days >= ?)"
133,"(Resp <= ?) U[?,?] (n_evts >= ?)"
134,"G[?,?](ICU_Pt_Days <= ? & Mort <= ?)"
135,"(y <= ?) U[?,?] (Resp <= ?)"
136,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (tte >= ?)"
137,"(MET >= ?) U[?,?] (SBP <= ?)"
138,"(LOS <= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
139,"G[?,?](y <= ? -> tte <= ?)"
140,"(y <= ?) U[?,?] (SpO2 <= ?)"
141,"(Pulse <= ?) U[?,?] (Temp >= ?)"
142,"(SpO2 <= ?) U[?,?] (n_evts <= ?)"
143,"(y >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
144,"(SpO2 >= ?) U[?,?] (MET >= ?)"
145,"(MET <= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
146,"(LOS <= ?) U[?,?] (MET >= ?)"
147,"G[?,?](n_evts <= ? | Glasgow_Coma_Scale_Total <= ?)"
148,"(ICU_Pt_Days <= ?) U[?,?] (tte >= ?)"
149,"(Temp <= ?) U[?,?] (SpO2 <= ?)"
150,"(death >= ?) U[?,?] (death >= ?)"
151,"(direct >= ?) U[?,?] (direct >= ?)"
152,"G[?,?](n_evts <= ? -> ICU_Pt_Days >= ?)"
153,"G[?,?](y <= ? -> Mort <= ?)"
154,"(tte >= ?) U[?,?] (SBP <= ?)"
155,"(Pulse >= ?) U[?,?] (SBP <= ?)"
156,"(LOS <= ?) U[?,?] (Resp >= ?)"
157,"(O2_Flow <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
158,"(MET <= ?) U[?,?] (ALBUMIN >= ?)"
159,"G[?,?](edrk <= ? -> death <= ?)"
160,"(MET >= ?) U[?,?] (tte <= ?)"
161,"(n_evts <= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
162,"(SBP <= ?) U[?,?] (y <= ?)"
163,"(SpO2 >= ?) U[?,?] (tte >= ?)"
164,"(SpO2 <= ?) U[?,?] (SBP >= ?)"
165,"(SpO2 <= ?) U[?,?] (LOS <= ?)"
166,"(LOS <= ?) U[?,?] (LOS <= ?)"
167,"(tte <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
168,"(Pulse <= ?) U[?,?] (LOS <= ?)"
169,"(CALCIUM >= ?) U[?,?] (direct <= ?)"
170,"(lds >= ?) U[?,?] (O2_Flow <= ?)"
171,"(MET <= ?) U[?,?] (ALT_GPT >= ?)"
172,"(CALCIUM >= ?) U[?,?] (direct >= ?)"
173,"(LOS >= ?) U[?,?] (O2_Flow <= ?)"
174,"(MET >= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
175,"(y <= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
176,"(MET <= ?) U[?,?] (Resp <= ?)"
177,"(MET >= ?) U[?,?] (Pulse >= ?)"
178,"(SpO2 <= ?) U[?,?] (MET >= ?)"
179,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
180,"(ICU_Pt_Days >= ?) U[?,?] (direct <= ?)"
181,"G[?,?](Mort <= ? | Mort <= ?)"
182,"(Resp >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
183,"(SBP >= ?) U[?,?] (n_evts >= ?)"
184,"(n_evts <= ?) U[?,?] (Resp >= ?)"
185,"(SpO2 <= ?) U[?,?] (Temp >= ?)"
186,"G[?,?](Mort <= ? -> n_evts <= ?)"
187,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (Pulse >= ?)"
188,"(CALCIUM >= ?) U[?,?] (SpO2 >= ?)"
189,"(O2_Flow >= ?) U[?,?] (Temp >= ?)"
190,"(AST_GOT >= ?) U[?,?] (ALT_GPT >= ?)"
191,"(SpO2 >= ?) U[?,?] (death >= ?)"
192,"(direct >= ?) U[?,?] (tte >= ?)"
193,"(death <= ?) U[?,?] (MET <= ?)"
194,"(n_evts >= ?) U[?,?] (O2_Flow <= ?)"
195,"(death <= ?) U[?,?] (LOS >= ?)"
196,"(Mort <= ?) U[?,?] (Resp <= ?)"
197,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (LOS <= ?)"
198,"(lds >= ?) U[?,?] (ALBUMIN >= ?)"
199,"(death >= ?) U[?,?] (CHLORIDE >= ?)"
200,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (death <= ?)"
201,"(MET <= ?) U[?,?] (n_evts >= ?)"
202,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (death >= ?)"
203,"(O2_Flow <= ?) U[?,?] (n_evts >= ?)"
204,"(MET <= ?) U[?,?] (MET <= ?)"
205,"G[?,?](ICU_Pt_Days >= ? -> LOS >= ?)"
206,"(ALT_GPT >= ?) U[?,?] (ICU_Pt_Days <= ?)"
207,"F[?,?](LOS <= ? & ICU_Pt_Days <= ?)"
208,"(death <= ?) U[?,?] (tte >= ?)"
209,"(direct >= ?) U[?,?] (Pulse <= ?)"
210,"G[?,?](Mort >= ? | LOS <= ?)"
211,"(y >= ?) U[?,?] (ALT_GPT >= ?)"
212,"(n_evts >= ?) U[?,?] (direct >= ?)"
213,"(Pulse >= ?) U[?,?] (Mort >= ?)"
214,"(death >= ?) U[?,?] (tte <= ?)"
215,"(tte >= ?) U[?,?] (Resp >= ?)"
216,"G[?,?](ICU_Pt_Days <= ? | n_evts >= ?)"
217,"(ALT_GPT >= ?) U[?,?] (CHLORIDE >= ?)"
218,"(SpO2 <= ?) U[?,?] (tte >= ?)"
219,"(n_evts >= ?) U[?,?] (SpO2 <= ?)"
220,"(MET >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
221,"(CO2 >= ?) U[?,?] (tte >= ?)"
222,"(ALBUMIN >= ?) U[?,?] (n_evts >= ?)"
223,"G[?,?](n_evts <= ? | ICU_Pt_Days >= ?)"
224,"(ICU_Pt_Days >= ?) U[?,?] (MET >= ?)"
225,"(tte <= ?) U[?,?] (AST_GOT >= ?)"
226,"(y <= ?) U[?,?] (n_evts >= ?)"
227,"(Resp >= ?) U[?,?] (Temp <= ?)"
228,"(O2_Flow <= ?) U[?,?] (direct <= ?)"
229,"(y <= ?) U[?,?] (MET <= ?)"
230,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (SBP <= ?)"
231,"(SBP >= ?) U[?,?] (Temp <= ?)"
232,"(O2_Flow >= ?) U[?,?] (n_evts <= ?)"
233,"(CO2 >= ?) U[?,?] (MET <= ?)"
234,"(lds >= ?) U[?,?] (y >= ?)"
235,"(death <= ?) U[?,?] (MET >= ?)"
236,"(SBP >= ?) U[?,?] (Mort >= ?)"
237,"G[?,?](ICU_Pt_Days <= ? | LOS <= ?)"
238,"(CHLORIDE >= ?) U[?,?] (O2_Flow >= ?)"
239,"(Temp <= ?) U[?,?] (Resp >= ?)"
240,"(LOS >= ?) U[?,?] (MET >= ?)"
241,"G[?,?](Mort <= ? -> LOS <= ?)"
242,"G[?,?](LOS <= ? -> tte <= ?)"
243,"G[?,?](n_evts <= ? | LOS >= ?)"
244,"G[?,?](ICU_Pt_Days >= ? | y <= ?)"
245,"(SBP <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
246,"(ICU_Pt_Days >= ?) U[?,?] (ALBUMIN >= ?)"
247,"(direct >= ?) U[?,?] (n_evts >= ?)"
248,"(Temp <= ?) U[?,?] (CHLORIDE >= ?)"
249,"(tte >= ?) U[?,?] (SpO2 >= ?)"
250,"G[?,?](ICU_Pt_Days <= ? -> y <= ?)"
251,"G[?,?](Mort >= ? -> n_evts >= ?)"
252,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (ICU_Pt_Days <= ?)"
253,"(death >= ?) U[?,?] (direct <= ?)"
254,"(tte >= ?) U[?,?] (AST_GOT >= ?)"
255,"(Pulse <= ?) U[?,?] (LOS >= ?)"
256,"(SBP >= ?) U[?,?] (Resp <= ?)"
257,"(n_evts >= ?) U[?,?] (Resp >= ?)"
258,"(Temp >= ?) U[?,?] (n_evts <= ?)"
259,"(ALBUMIN >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
260,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (CHLORIDE >= ?)"
261,"G[?,?](LOS >= ? -> LOS <= ?)"
262,"(death >= ?) U[?,?] (Pulse <= ?)"
263,"(Resp <= ?) U[?,?] (Temp <= ?)"
264,"(lds >= ?) U[?,?] (death <= ?)"
265,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (direct >= ?)"
266,"(n_evts <= ?) U[?,?] (tte >= ?)"
267,"(SpO2 >= ?) U[?,?] (SBP >= ?)"
268,"G[?,?](ICU_Pt_Days >= ? & ICU_Pt_Days <= ?)"
269,"(LOS >= ?) U[?,?] (y <= ?)"
270,"(SBP >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
271,"(Pulse >= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
272,"(lds >= ?) U[?,?] (y <= ?)"
273,"(tte >= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
274,"G[?,?](y <= ? -> Mort >= ?)"
275,"(Pulse >= ?) U[?,?] (O2_Flow >= ?)"
276,"G[?,?](ICU_Pt_Days <= ? -> n_evts <= ?)"
277,"G[?,?](n_evts >= ? -> tte <= ?)"
278,"(ALBUMIN >= ?) U[?,?] (y <= ?)"
279,"(ICU_Pt_Days >= ?) U[?,?] (LOS <= ?)"
280,"(Pulse >= ?) U[?,?] (n_evts >= ?)"
281,"(CO2 >= ?) U[?,?] (Resp <= ?)"
282,"G[?,?](LOS >= ? & LOS >= ?)"
283,"(CO2 >= ?) U[?,?] (Temp <= ?)"
284,"(Resp >= ?) U[?,?] (ICU_Pt_Days <= ?)"
285,"(death <= ?) U[?,?] (ALT_GPT >= ?)"
286,"(Pulse <= ?) U[?,?] (tte >= ?)"
287,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
288,"(CO2 >= ?) U[?,?] (n_evts <= ?)"
289,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (direct <= ?)"
290,"(O2_Flow >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
291,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (LOS <= ?)"
292,"F[?,?](ICU_Pt_Days >= ? & CREATININE <= ?)"
293,"G[?,?](y <= ? -> n_evts <= ?)"
294,"(CO2 >= ?) U[?,?] (direct <= ?)"
295,"(Mort <= ?) U[?,?] (n_evts >= ?)"
296,"(Resp >= ?) U[?,?] (O2_Flow >= ?)"
297,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (SpO2 >= ?)"
298,"F[?,?](ICU_Pt_Days >= ? & ICU_Pt_Days >= ?)"
299,"(SpO2 <= ?) U[?,?] (direct >= ?)"
300,"(SBP <= ?) U[?,?] (LOS >= ?)"
301,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (Resp >= ?)"
302,"(O2_Flow >= ?) U[?,?] (SBP >= ?)"
303,"(lds >= ?) U[?,?] (LOS <= ?)"
304,"(Mort >= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
305,"(O2_Flow <= ?) U[?,?] (death <= ?)"
306,"(Mort >= ?) U[?,?] (SBP >= ?)"
307,"(SBP <= ?) U[?,?] (Resp <= ?)"
308,"(ICU_Pt_Days >= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
309,"(LOS <= ?) U[?,?] (O2_Flow >= ?)"
310,"(CO2 >= ?) U[?,?] (CALCIUM >= ?)"
311,"(Resp >= ?) U[?,?] (Temp >= ?)"
312,"(direct >= ?) U[?,?] (O2_Flow <= ?)"
313,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
314,"F[?,?](edrk >= ? & LOS <= ?)"
315,"(ICU_Pt_Days <= ?) U[?,?] (CALCIUM >= ?)"
316,"(Temp >= ?) U[?,?] (Mort >= ?)"
317,"(SpO2 <= ?) U[?,?] (n_evts >= ?)"
318,"(Pulse >= ?) U[?,?] (y >= ?)"
319,"G[?,?](CHLORIDE <= ? & LOS <= ?)"
320,"(n_evts >= ?) U[?,?] (y >= ?)"
321,"(ALBUMIN >= ?) U[?,?] (ICU_Pt_Days <= ?)"
322,"(Mort <= ?) U[?,?] (direct >= ?)"
323,"(SpO2 <= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
324,"(LOS >= ?) U[?,?] (CALCIUM >= ?)"
325,"(CHLORIDE >= ?) U[?,?] (tte >= ?)"
326,"(MET >= ?) U[?,?] (MET >= ?)"
327,"(SBP <= ?) U[?,?] (LOS <= ?)"
328,"(ALT_GPT >= ?) U[?,?] (LOS <= ?)"
329,"(y <= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
330,"G[?,?](CHLORIDE <= ? & ICU_Pt_Days <= ?)"
331,"(CHLORIDE >= ?) U[?,?] (SBP <= ?)"
332,"(Pulse >= ?) U[?,?] (SBP >= ?)"
333,"(CHLORIDE >= ?) U[?,?] (SpO2 <= ?)"
334,"(Resp <= ?) U[?,?] (SBP >= ?)"
335,"(lds >= ?) U[?,?] (n_evts >= ?)"
336,"(CO2 >= ?) U[?,?] (direct >= ?)"
337,"G[?,?](LOS <= ? & SBP >= ?)"
338,"(Temp >= ?) U[?,?] (SpO2 <= ?)"
339,"F[?,?](LOS >= ? & ICU_Pt_Days <= ?)"
340,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (Temp >= ?)"
341,"(n_evts <= ?) U[?,?] (n_evts >= ?)"
342,"(death <= ?) U[?,?] (n_evts <= ?)"
343,"(n_evts >= ?) U[?,?] (SBP >= ?)"
344,"(O2_Flow >= ?) U[?,?] (LOS >= ?)"
345,"(SBP <= ?) U[?,?] (Mort <= ?)"
346,"(CO2 >= ?) U[?,?] (LOS <= ?)"
347,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (O2_Flow <= ?)"
348,"G[?,?](n_evts <= ? -> LOS <= ?)"
349,"(O2_Flow >= ?) U[?,?] (Mort >= ?)"
350,"(CALCIUM >= ?) U[?,?] (death >= ?)"
351,"(CALCIUM >= ?) U[?,?] (AST_GOT >= ?)"
352,"(Temp <= ?) U[?,?] (MET >= ?)"
353,"(MET >= ?) U[?,?] (Temp <= ?)"
354,"(O2_Flow >= ?) U[?,?] (SBP <= ?)"
355,"(LOS <= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
356,"(Resp <= ?) U[?,?] (Temp >= ?)"
357,"(SpO2 <= ?) U[?,?] (ALT_GPT >= ?)"
358,"G[?,?](Mort <= ? -> LACTIC_ACID >= ?)"
359,"(tte >= ?) U[?,?] (SBP >= ?)"
360,"(AST_GOT >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
361,"(Pulse <= ?) U[?,?] (Mort <= ?)"
362,"(direct >= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
363,"(O2_Flow >= ?) U[?,?] (O2_Flow >= ?)"
364,"(direct <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
365,"(n_evts >= ?) U[?,?] (ALBUMIN >= ?)"
366,"G[?,?](ICU_Pt_Days >= ? & SBP >= ?)"
367,"(ALBUMIN >= ?) U[?,?] (CALCIUM >= ?)"
368,"(ICU_Pt_Days >= ?) U[?,?] (y <= ?)"
369,"(tte <= ?) U[?,?] (O2_Flow <= ?)"
370,"(death >= ?) U[?,?] (Resp <= ?)"
371,"(LOS <= ?) U[?,?] (tte <= ?)"
372,"(SBP <= ?) U[?,?] (AST_GOT >= ?)"
373,"(direct <= ?) U[?,?] (WHITE_BLOOD_CELL_COUNT >= ?)"
374,"(death >= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
375,"(LOS >= ?) U[?,?] (Pulse <= ?)"
376,"(tte <= ?) U[?,?] (Resp <= ?)"
377,"G[?,?](ICU_Pt_Days >= ? | death >= ?)"
378,"(CALCIUM >= ?) U[?,?] (n_evts >= ?)"
379,"G[?,?](ICU_Pt_Days <= ? & LOS >= ?)"
380,"(lds >= ?) U[?,?] (LOS >= ?)"
381,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (Resp <= ?)"
382,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (Resp <= ?)"
383,"(death >= ?) U[?,?] (SpO2 >= ?)"
384,"(Temp <= ?) U[?,?] (tte >= ?)"
385,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (Pulse <= ?)"
386,"(y >= ?) U[?,?] (Mort >= ?)"
387,"G[?,?](n_evts <= ? -> n_evts >= ?)"
388,"(tte >= ?) U[?,?] (O2_Flow <= ?)"
389,"(SpO2 >= ?) U[?,?] (AST_GOT >= ?)"
390,"(CHLORIDE >= ?) U[?,?] (ALT_GPT >= ?)"
391,"(O2_Flow >= ?) U[?,?] (Pulse <= ?)"
392,"(y >= ?) U[?,?] (SBP >= ?)"
393,"G[?,?](ICU_Pt_Days >= ? | Glasgow_Coma_Scale_Total <= ?)"
394,"(SBP >= ?) U[?,?] (death <= ?)"
395,"(death <= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
396,"(Temp >= ?) U[?,?] (Pulse >= ?)"
397,"(Pulse >= ?) U[?,?] (y <= ?)"
398,"(direct >= ?) U[?,?] (y >= ?)"
399,"(tte >= ?) U[?,?] (death <= ?)"
400,"(LOS <= ?) U[?,?] (tte >= ?)"
401,"(Pulse <= ?) U[?,?] (Mort >= ?)"
402,"(direct >= ?) U[?,?] (y <= ?)"
403,"(ICU_Pt_Days >= ?) U[?,?] (CHLORIDE >= ?)"
404,"(lds >= ?) U[?,?] (Mort >= ?)"
405,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (ICU_Pt_Days <= ?)"
406,"(n_evts >= ?) U[?,?] (O2_Flow >= ?)"
407,"(AST_GOT >= ?) U[?,?] (Pulse >= ?)"
408,"(CO2 >= ?) U[?,?] (O2_Flow <= ?)"
409,"(O2_Flow <= ?) U[?,?] (ALKALINE_PHOSPHATASE >= ?)"
410,"(n_evts >= ?) U[?,?] (tte <= ?)"
411,"(ALKALINE_PHOSPHATASE >= ?) U[?,?] (SpO2 <= ?)"
412,"(AST_GOT >= ?) U[?,?] (SBP >= ?)"
413,"(Temp >= ?) U[?,?] (Temp <= ?)"
414,"(Pulse <= ?) U[?,?] (O2_Flow >= ?)"
415,"(SpO2 <= ?) U[?,?] (y <= ?)"
416,"(LOS >= ?) U[?,?] (direct >= ?)"
417,"(CHLORIDE >= ?) U[?,?] (direct <= ?)"
418,"(tte <= ?) U[?,?] (Glasgow_Coma_Scale_Total >= ?)"
419,"G[?,?](Mort >= ? -> Mort >= ?)"
420,"(SpO2 >= ?) U[?,?] (y <= ?)"
421,"(Temp <= ?) U[?,?] (death >= ?)"
