,Missed Client Rules
32,"((CHLORIDE <= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
33,"((CHLORIDE <= 0.000) U[0,0] (Mort >= 0.000))"
34,"((CHLORIDE <= 0.000) U[0,0] (death >= 0.000))"
35,"((CHLORIDE <= 0.000) U[0,0] (direct >= 0.000))"
36,"((CHLORIDE <= 0.000) U[0,0] (n_evts >= 0.000))"
37,"((CHLORIDE <= 0.000) U[0,0] (tte <= 0.000))"
38,"((CHLORIDE >= 0.000) U[0,0] (n_edrk <= 0.000))"
39,"((CREATININE <= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
40,"((CREATININE <= 0.000) U[0,0] (death >= 0.000))"
41,"((CREATININE <= 0.000) U[0,0] (n_edrk <= 0.000))"
42,"((CREATININE <= 0.000) U[0,0] (y >= 0.000))"
43,"((CREATININE >= 0.000) U[0,0] (Mort >= 0.000))"
44,"((CREATININE >= 0.000) U[0,0] (n_evts >= 0.000))"
45,"((CREATININE >= 0.000) U[0,0] (y >= 0.000))"
46,"((GLUCOSE <= 0.000) U[0,0] (O2_Flow >= 0.000))"
47,"((GLUCOSE <= 0.000) U[0,0] (n_edrk <= 0.000))"
48,"((GLUCOSE <= 0.000) U[0,0] (tte <= 0.000))"
49,"((GLUCOSE <= 0.000) U[0,0] (y >= 0.000))"
50,"((GLUCOSE >= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
51,"((GLUCOSE >= 0.000) U[0,0] (Mort >= 0.000))"
52,"((GLUCOSE >= 0.000) U[0,0] (n_evts >= 0.000))"
53,"((GLUCOSE >= 0.000) U[0,0] (y >= 0.000))"
54,"((Glasgow_Coma_Scale_Total <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
55,"((Glasgow_Coma_Scale_Total <= 0.000) U[0,0] (n_edrk <= 0.000))"
56,"((Glasgow_Coma_Scale_Total <= 0.000) U[0,0] (s24_edrk <= 0.000))"
57,"((Glasgow_Coma_Scale_Total <= 0.000) U[0,0] (s2_edrk <= 0.000))"
58,"((Glasgow_Coma_Scale_Total <= 0.000) U[0,0] (s8_edrk >= 0.000))"
59,"((Glasgow_Coma_Scale_Total <= 0.000) U[0,0] (s8_hr <= 0.000))"
60,"((HEMOGLOBIN <= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
61,"((HEMOGLOBIN <= 0.000) U[0,0] (O2_Flow >= 0.000))"
62,"((HEMOGLOBIN <= 0.000) U[0,0] (hr >= 0.000))"
63,"((HEMOGLOBIN >= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
64,"((HEMOGLOBIN >= 0.000) U[0,0] (MET >= 0.000))"
65,"((HEMOGLOBIN >= 0.000) U[0,0] (Mort >= 0.000))"
66,"((HEMOGLOBIN >= 0.000) U[0,0] (O2_Flow >= 0.000))"
67,"((HEMOGLOBIN >= 0.000) U[0,0] (n_evts >= 0.000))"
68,"((HEMOGLOBIN >= 0.000) U[0,0] (tte <= 0.000))"
69,"((ICU_Pt_Days >= 0.000) U[0,0] (PLATELET_COUNT <= 0.000))"
70,"((ICU_Pt_Days >= 0.000) U[0,0] (PLATELET_COUNT >= 0.000))"
71,"((ICU_Pt_Days >= 0.000) U[0,0] (n_edrk <= 0.000))"
72,"((ICU_Pt_Days >= 0.000) U[0,0] (n_edrk >= 0.000))"
73,"((ICU_Pt_Days >= 0.000) U[0,0] (s24_edrk <= 0.000))"
74,"((ICU_Pt_Days >= 0.000) U[0,0] (s24_hr <= 0.000))"
75,"((ICU_Pt_Days >= 0.000) U[0,0] (s24_hr >= 0.000))"
76,"((ICU_Pt_Days >= 0.000) U[0,0] (s2_edrk <= 0.000))"
77,"((ICU_Pt_Days >= 0.000) U[0,0] (srr >= 0.000))"
78,"((LOS <= 0.000) U[0,0] (n_edrk <= 0.000))"
79,"((LOS >= 0.000) U[0,0] (n_edrk <= 0.000))"
80,"((MAGNESIUM <= 0.000) U[0,0] (Mort >= 0.000))"
81,"((MAGNESIUM <= 0.000) U[0,0] (n_edrk <= 0.000))"
82,"((MAGNESIUM <= 0.000) U[0,0] (n_evts >= 0.000))"
83,"((MAGNESIUM >= 0.000) U[0,0] (n_evts >= 0.000))"
84,"((MAGNESIUM >= 0.000) U[0,0] (y >= 0.000))"
85,"((MET <= 0.000) U[0,0] (TROPONIN_I >= 0.000))"
86,"((MET <= 0.000) U[0,0] (n_edrk <= 0.000))"
87,"((MET >= 0.000) U[0,0] (n_edrk >= 0.000))"
88,"((MET >= 0.000) U[0,0] (s24_edrk <= 0.000))"
89,"((MET >= 0.000) U[0,0] (s24_edrk >= 0.000))"
90,"((MET >= 0.000) U[0,0] (s24_hr <= 0.000))"
91,"((MET >= 0.000) U[0,0] (s2_edrk <= 0.000))"
92,"((MET >= 0.000) U[0,0] (s8_edrk <= 0.000))"
93,"((MET >= 0.000) U[0,0] (s8_edrk >= 0.000))"
94,"((Mort <= 0.000) U[0,0] (n_edrk <= 0.000))"
95,"((Mort >= 0.000) U[0,0] (PLATELET_COUNT <= 0.000))"
96,"((Mort >= 0.000) U[0,0] (SODIUM >= 0.000))"
97,"((Mort >= 0.000) U[0,0] (n_edrk <= 0.000))"
98,"((Mort >= 0.000) U[0,0] (s24_edrk <= 0.000))"
99,"((Mort >= 0.000) U[0,0] (s24_edrk >= 0.000))"
100,"((Mort >= 0.000) U[0,0] (srr <= 0.000))"
101,"((O2_Flow <= 0.000) U[0,0] (PLATELET_COUNT >= 0.000))"
102,"((O2_Flow >= 0.000) U[0,0] (s8_hr <= 0.000))"
103,"((PARTIAL_THROMBOPLASTIN_TIME >= 0.000) U[0,0] (y >= 0.000))"
104,"((PHOSPHORUS >= 0.000) U[0,0] (tte <= 0.000))"
105,"((PLATELET_COUNT <= 0.000) U[0,0] (y >= 0.000))"
106,"((PLATELET_COUNT >= 0.000) U[0,0] (y >= 0.000))"
107,"((POTASSIUM <= 0.000) U[0,0] (tte <= 0.000))"
108,"((POTASSIUM <= 0.000) U[0,0] (y >= 0.000))"
109,"((PROTIME_INR <= 0.000) U[0,0] (tte <= 0.000))"
110,"((PROTIME_INR <= 0.000) U[0,0] (y >= 0.000))"
111,"((SODIUM <= 0.000) U[0,0] (tte <= 0.000))"
112,"((SODIUM >= 0.000) U[0,0] (tte <= 0.000))"
113,"((WHITE_BLOOD_CELL_COUNT <= 0.000) U[0,0] (y >= 0.000))"
114,"((af <= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
115,"((af <= 0.000) U[0,0] (direct >= 0.000))"
116,"((af <= 0.000) U[0,0] (n_evts >= 0.000))"
117,"((af >= 0.000) U[0,0] (AF >= 0.000))"
118,"((af >= 0.000) U[0,0] (Glasgow_Coma_Scale_Total <= 0.000))"
119,"((af >= 0.000) U[0,0] (ICU_Pt_Days <= 0.000))"
120,"((af >= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
121,"((af >= 0.000) U[0,0] (Mort >= 0.000))"
122,"((af >= 0.000) U[0,0] (direct >= 0.000))"
123,"((af >= 0.000) U[0,0] (n_evts >= 0.000))"
124,"((af >= 0.000) U[0,0] (tte <= 0.000))"
125,"((af >= 0.000) U[0,0] (y >= 0.000))"
126,"((cosen <= 0.000) U[0,0] (Glasgow_Coma_Scale_Total <= 0.000))"
127,"((cosen <= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
128,"((cosen <= 0.000) U[0,0] (MET >= 0.000))"
129,"((cosen <= 0.000) U[0,0] (death >= 0.000))"
130,"((cosen <= 0.000) U[0,0] (direct >= 0.000))"
131,"((cosen <= 0.000) U[0,0] (n_edrk <= 0.000))"
132,"((cosen <= 0.000) U[0,0] (n_evts >= 0.000))"
133,"((cosen <= 0.000) U[0,0] (tte <= 0.000))"
134,"((cosen <= 0.000) U[0,0] (y >= 0.000))"
135,"((cosen >= 0.000) U[0,0] (Mort >= 0.000))"
136,"((cosen >= 0.000) U[0,0] (direct >= 0.000))"
137,"((cosen >= 0.000) U[0,0] (n_edrk <= 0.000))"
138,"((cosen >= 0.000) U[0,0] (n_evts >= 0.000))"
139,"((cosen >= 0.000) U[0,0] (y >= 0.000))"
140,"((death <= 0.000) U[0,0] (n_edrk <= 0.000))"
141,"((death >= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT <= 0.000))"
142,"((death >= 0.000) U[0,0] (hr <= 0.000))"
143,"((death >= 0.000) U[0,0] (n_edrk <= 0.000))"
144,"((death >= 0.000) U[0,0] (s8_edrk <= 0.000))"
145,"((death >= 0.000) U[0,0] (s8_edrk >= 0.000))"
146,"((dfa <= 0.000) U[0,0] (Glasgow_Coma_Scale_Total <= 0.000))"
147,"((dfa <= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
148,"((dfa <= 0.000) U[0,0] (MET >= 0.000))"
149,"((dfa <= 0.000) U[0,0] (O2_Flow >= 0.000))"
150,"((dfa <= 0.000) U[0,0] (direct >= 0.000))"
151,"((dfa <= 0.000) U[0,0] (n_edrk <= 0.000))"
152,"((dfa <= 0.000) U[0,0] (y >= 0.000))"
153,"((dfa >= 0.000) U[0,0] (Glasgow_Coma_Scale_Total <= 0.000))"
154,"((dfa >= 0.000) U[0,0] (n_evts >= 0.000))"
155,"((dfa >= 0.000) U[0,0] (tte <= 0.000))"
156,"((dfa >= 0.000) U[0,0] (y >= 0.000))"
157,"((direct >= 0.000) U[0,0] (edrk >= 0.000))"
158,"((direct >= 0.000) U[0,0] (hr <= 0.000))"
159,"((direct >= 0.000) U[0,0] (n_edrk <= 0.000))"
160,"((direct >= 0.000) U[0,0] (n_edrk >= 0.000))"
161,"((direct >= 0.000) U[0,0] (s24_hr <= 0.000))"
162,"((edrk <= 0.000) U[0,0] (LOS >= 0.000))"
163,"((edrk <= 0.000) U[0,0] (MET >= 0.000))"
164,"((edrk <= 0.000) U[0,0] (tte <= 0.000))"
165,"((edrk >= 0.000) U[0,0] (Glasgow_Coma_Scale_Total <= 0.000))"
166,"((edrk >= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
167,"((edrk >= 0.000) U[0,0] (LOS >= 0.000))"
168,"((edrk >= 0.000) U[0,0] (Mort >= 0.000))"
169,"((edrk >= 0.000) U[0,0] (O2_Flow >= 0.000))"
170,"((hr <= 0.000) U[0,0] (ICU_Pt_Days >= 0.000))"
171,"((hr <= 0.000) U[0,0] (LOS <= 0.000))"
172,"((hr <= 0.000) U[0,0] (Mort >= 0.000))"
173,"((hr <= 0.000) U[0,0] (O2_Flow >= 0.000))"
174,"((hr <= 0.000) U[0,0] (n_edrk <= 0.000))"
175,"((hr <= 0.000) U[0,0] (n_evts >= 0.000))"
176,"((hr <= 0.000) U[0,0] (tte <= 0.000))"
177,"((hr <= 0.000) U[0,0] (y >= 0.000))"
178,"((hr >= 0.000) U[0,0] (LOS >= 0.000))"
179,"((hr >= 0.000) U[0,0] (Mort >= 0.000))"
180,"((hr >= 0.000) U[0,0] (lds <= 0.000))"
181,"((hr >= 0.000) U[0,0] (n_edrk <= 0.000))"
182,"((hr >= 0.000) U[0,0] (tte <= 0.000))"
183,"((lds <= 0.000) U[0,0] (LOS >= 0.000))"
184,"((lds <= 0.000) U[0,0] (Mort >= 0.000))"
185,"((lds <= 0.000) U[0,0] (n_edrk <= 0.000))"
186,"((lds <= 0.000) U[0,0] (y >= 0.000))"
187,"((lds >= 0.000) U[0,0] (Mort >= 0.000))"
188,"((lds >= 0.000) U[0,0] (n_evts >= 0.000))"
189,"((lds >= 0.000) U[0,0] (tte <= 0.000))"
190,"((n_edrk <= 0.000) U[0,0] (O2_Flow <= 0.000))"
191,"((n_edrk <= 0.000) U[0,0] (Resp >= 0.000))"
192,"((n_edrk <= 0.000) U[0,0] (n_evts >= 0.000))"
193,"((n_edrk <= 0.000) U[0,0] (s24_hr >= 0.000))"
194,"((n_edrk <= 0.000) U[0,0] (tte <= 0.000))"
195,"((n_edrk <= 0.000) U[0,0] (tte >= 0.000))"
196,"((n_edrk <= 0.000) U[0,0] (y >= 0.000))"
197,"((n_edrk >= 0.000) U[0,0] (tte <= 0.000))"
198,"((n_edrk >= 0.000) U[0,0] (y >= 0.000))"
199,"((n_evts >= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME <= 0.000))"
200,"((n_evts >= 0.000) U[0,0] (s24_edrk <= 0.000))"
201,"((n_evts >= 0.000) U[0,0] (srr >= 0.000))"
202,"((s24_edrk <= 0.000) U[0,0] (y >= 0.000))"
203,"((s24_edrk >= 0.000) U[0,0] (tte <= 0.000))"
204,"((s24_hr <= 0.000) U[0,0] (y >= 0.000))"
205,"((s24_hr >= 0.000) U[0,0] (tte <= 0.000))"
206,"((s24_hr >= 0.000) U[0,0] (y >= 0.000))"
207,"((s2_edrk <= 0.000) U[0,0] (tte <= 0.000))"
208,"((s8_edrk <= 0.000) U[0,0] (tte <= 0.000))"
209,"((s8_edrk <= 0.000) U[0,0] (y >= 0.000))"
210,"((s8_edrk >= 0.000) U[0,0] (y >= 0.000))"
211,"((s8_hr <= 0.000) U[0,0] (y >= 0.000))"
212,"((srr <= 0.000) U[0,0] (tte <= 0.000))"
213,"((srr <= 0.000) U[0,0] (y >= 0.000))"
214,"F[0,0](((af <= 0.000 | AF <= 0.000) & cosen >= 0.000))"
215,"F[0,0]((AF <= 0.000 & ICU_Pt_Days >= 0.000))"
216,"F[0,0]((AF <= 0.000 -> Glasgow_Coma_Scale_Total <= 0.000))"
217,"F[0,0]((AF <= 0.000 -> hr >= 0.000))"
218,"F[0,0]((AF <= 0.000 -> y >= 0.000))"
219,"F[0,0]((AF >= 0.000 & direct >= 0.000))"
220,"F[0,0]((AF >= 0.000 & n_evts >= 0.000))"
221,"F[0,0]((AF >= 0.000 | Glasgow_Coma_Scale_Total <= 0.000))"
222,"F[0,0]((AF >= 0.000 | ICU_Pt_Days >= 0.000))"
223,"F[0,0]((AF >= 0.000 | O2_Flow >= 0.000))"
224,"F[0,0]((BLOOD_UREA_NITROGEN <= 0.000 & CREATININE >= 0.000))"
225,"F[0,0]((BLOOD_UREA_NITROGEN <= 0.000 -> death >= 0.000))"
226,"F[0,0]((BLOOD_UREA_NITROGEN >= 0.000 & HEMOGLOBIN <= 0.000))"
227,"F[0,0]((CALCIUM <= 0.000 & n_evts >= 0.000))"
228,"F[0,0]((CALCIUM >= 0.000 -> direct >= 0.000))"
229,"F[0,0]((CALCIUM >= 0.000 -> n_edrk <= 0.000))"
230,"F[0,0]((CREATININE >= 0.000 & direct >= 0.000))"
231,"F[0,0]((CREATININE >= 0.000 -> ICU_Pt_Days >= 0.000))"
232,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & Pulse <= 0.000))"
233,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & n_edrk >= 0.000))"
234,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & n_evts >= 0.000))"
235,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & s2_edrk <= 0.000))"
236,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & s8_edrk <= 0.000))"
237,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 | Mort >= 0.000))"
238,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 | O2_Flow >= 0.000))"
239,"F[0,0]((Glasgow_Coma_Scale_Total >= 0.000 -> Mort >= 0.000))"
240,"F[0,0]((Glasgow_Coma_Scale_Total >= 0.000 -> O2_Flow >= 0.000))"
241,"F[0,0]((Glasgow_Coma_Scale_Total >= 0.000 -> n_edrk <= 0.000))"
242,"F[0,0]((HEMOGLOBIN <= 0.000 & ICU_Pt_Days >= 0.000))"
243,"F[0,0]((HEMOGLOBIN <= 0.000 & n_evts >= 0.000))"
244,"F[0,0]((HEMOGLOBIN >= 0.000 & Mort >= 0.000))"
245,"F[0,0]((ICU_Pt_Days <= 0.000 & y >= 0.000))"
246,"F[0,0]((ICU_Pt_Days <= 0.000 -> n_evts >= 0.000))"
247,"F[0,0]((ICU_Pt_Days <= 0.000 -> y >= 0.000))"
248,"F[0,0]((ICU_Pt_Days >= 0.000 & Mort <= 0.000))"
249,"F[0,0]((ICU_Pt_Days >= 0.000 & Mort >= 0.000))"
250,"F[0,0]((ICU_Pt_Days >= 0.000 & O2_Flow <= 0.000))"
251,"F[0,0]((ICU_Pt_Days >= 0.000 & n_edrk <= 0.000))"
252,"F[0,0]((ICU_Pt_Days >= 0.000 & n_evts <= 0.000))"
253,"F[0,0]((ICU_Pt_Days >= 0.000 & tte <= 0.000))"
254,"F[0,0]((ICU_Pt_Days >= 0.000 | n_evts >= 0.000))"
255,"F[0,0]((LOS <= 0.000 & O2_Flow >= 0.000))"
256,"F[0,0]((LOS <= 0.000 & n_edrk <= 0.000))"
257,"F[0,0]((LOS <= 0.000 -> TROPONIN_I >= 0.000))"
258,"F[0,0]((LOS >= 0.000 & s8_edrk >= 0.000))"
259,"F[0,0]((LOS >= 0.000 | O2_Flow >= 0.000))"
260,"F[0,0]((MET <= 0.000 & Mort >= 0.000))"
261,"F[0,0]((MET <= 0.000 -> y >= 0.000))"
262,"F[0,0]((MET >= 0.000 & Resp <= 0.000))"
263,"F[0,0]((MET >= 0.000 & Temp >= 0.000))"
264,"F[0,0]((MET >= 0.000 & s24_edrk >= 0.000))"
265,"F[0,0]((MET >= 0.000 & s2_edrk <= 0.000))"
266,"F[0,0]((MET >= 0.000 & s2_edrk >= 0.000))"
267,"F[0,0]((Mort >= 0.000 & Resp <= 0.000))"
268,"F[0,0]((Mort >= 0.000 & SBP <= 0.000))"
269,"F[0,0]((Mort >= 0.000 & WHITE_BLOOD_CELL_COUNT >= 0.000))"
270,"F[0,0]((Mort >= 0.000 & n_edrk >= 0.000))"
271,"F[0,0]((Mort >= 0.000 & tte <= 0.000))"
272,"F[0,0]((Mort >= 0.000 & tte >= 0.000))"
273,"F[0,0]((Mort >= 0.000 | n_edrk <= 0.000))"
274,"F[0,0]((Mort >= 0.000 | n_evts >= 0.000))"
275,"F[0,0]((Mort >= 0.000 | tte <= 0.000))"
276,"F[0,0]((Mort >= 0.000 | y >= 0.000))"
277,"F[0,0]((O2_Flow >= 0.000 & Pulse >= 0.000))"
278,"F[0,0]((O2_Flow >= 0.000 & SpO2 <= 0.000))"
279,"F[0,0]((O2_Flow >= 0.000 & WHITE_BLOOD_CELL_COUNT <= 0.000))"
280,"F[0,0]((PHOSPHORUS <= 0.000 & PLATELET_COUNT >= 0.000))"
281,"F[0,0]((POTASSIUM <= 0.000 & tte <= 0.000))"
282,"F[0,0]((Resp <= 0.000 & s2_edrk <= 0.000))"
283,"F[0,0]((SBP <= 0.000 -> y >= 0.000))"
284,"F[0,0]((SODIUM >= 0.000 & y >= 0.000))"
285,"F[0,0]((Temp >= 0.000 -> y >= 0.000))"
286,"F[0,0]((WHITE_BLOOD_CELL_COUNT <= 0.000 & y >= 0.000))"
287,"F[0,0]((WHITE_BLOOD_CELL_COUNT >= 0.000 & y >= 0.000))"
288,"F[0,0]((af <= 0.000 & cosen >= 0.000))"
289,"F[0,0]((af <= 0.000 & y >= 0.000))"
290,"F[0,0]((af <= 0.000 -> y >= 0.000))"
291,"F[0,0]((af >= 0.000 & ICU_Pt_Days >= 0.000))"
292,"F[0,0]((af >= 0.000 | y >= 0.000))"
293,"F[0,0]((cosen <= 0.000 -> Mort >= 0.000))"
294,"F[0,0]((cosen >= 0.000 & direct >= 0.000))"
295,"F[0,0]((cosen >= 0.000 & n_edrk <= 0.000))"
296,"F[0,0]((cosen >= 0.000 & n_evts >= 0.000))"
297,"F[0,0]((death <= 0.000 & n_evts >= 0.000))"
298,"F[0,0]((death <= 0.000 -> tte <= 0.000))"
299,"F[0,0]((death <= 0.000 -> y >= 0.000))"
300,"F[0,0]((death >= 0.000 & HEMOGLOBIN <= 0.000))"
301,"F[0,0]((death >= 0.000 & MET <= 0.000))"
302,"F[0,0]((death >= 0.000 & SBP >= 0.000))"
303,"F[0,0]((death >= 0.000 & n_evts <= 0.000))"
304,"F[0,0]((death >= 0.000 & n_evts >= 0.000))"
305,"F[0,0]((death >= 0.000 & s24_edrk >= 0.000))"
306,"F[0,0]((death >= 0.000 | Glasgow_Coma_Scale_Total <= 0.000))"
307,"F[0,0]((death >= 0.000 | Mort >= 0.000))"
308,"F[0,0]((death >= 0.000 | n_evts >= 0.000))"
309,"F[0,0]((death >= 0.000 | tte <= 0.000))"
310,"F[0,0]((dfa <= 0.000 & tte <= 0.000))"
311,"F[0,0]((direct <= 0.000 & n_evts >= 0.000))"
312,"F[0,0]((direct <= 0.000 -> LOS >= 0.000))"
313,"F[0,0]((direct <= 0.000 -> n_evts >= 0.000))"
314,"F[0,0]((direct <= 0.000 -> y >= 0.000))"
315,"F[0,0]((direct >= 0.000 & PLATELET_COUNT >= 0.000))"
316,"F[0,0]((direct >= 0.000 & Pulse >= 0.000))"
317,"F[0,0]((direct >= 0.000 & SODIUM >= 0.000))"
318,"F[0,0]((direct >= 0.000 & WHITE_BLOOD_CELL_COUNT <= 0.000))"
319,"F[0,0]((direct >= 0.000 & WHITE_BLOOD_CELL_COUNT >= 0.000))"
320,"F[0,0]((direct >= 0.000 & edrk <= 0.000))"
321,"F[0,0]((direct >= 0.000 & s24_hr <= 0.000))"
322,"F[0,0]((direct >= 0.000 & s24_hr >= 0.000))"
323,"F[0,0]((direct >= 0.000 & s8_hr >= 0.000))"
324,"F[0,0]((direct >= 0.000 & tte <= 0.000))"
325,"F[0,0]((direct >= 0.000 & y >= 0.000))"
326,"F[0,0]((direct >= 0.000 | GLUCOSE <= 0.000))"
327,"F[0,0]((direct >= 0.000 | ICU_Pt_Days >= 0.000))"
328,"F[0,0]((direct >= 0.000 | n_edrk <= 0.000))"
329,"F[0,0]((direct >= 0.000 | n_evts >= 0.000))"
330,"F[0,0]((direct >= 0.000 | y >= 0.000))"
331,"F[0,0]((edrk <= 0.000 & n_evts >= 0.000))"
332,"F[0,0]((edrk <= 0.000 & tte <= 0.000))"
333,"F[0,0]((edrk <= 0.000 -> tte <= 0.000))"
334,"F[0,0]((edrk <= 0.000 -> y >= 0.000))"
335,"F[0,0]((hr <= 0.000 & Mort >= 0.000))"
336,"F[0,0]((hr <= 0.000 -> MET >= 0.000))"
337,"F[0,0]((hr <= 0.000 -> y >= 0.000))"
338,"F[0,0]((hr >= 0.000 & Mort >= 0.000))"
339,"F[0,0]((hr >= 0.000 & PARTIAL_THROMBOPLASTIN_TIME <= 0.000))"
340,"F[0,0]((hr >= 0.000 & Pulse >= 0.000))"
341,"F[0,0]((hr >= 0.000 & tte <= 0.000))"
342,"F[0,0]((hr >= 0.000 & y >= 0.000))"
343,"F[0,0]((lds <= 0.000 & Mort >= 0.000))"
344,"F[0,0]((lds <= 0.000 & n_evts >= 0.000))"
345,"F[0,0]((lds <= 0.000 -> Mort >= 0.000))"
346,"F[0,0]((lds >= 0.000 & n_evts >= 0.000))"
347,"F[0,0]((lds >= 0.000 -> n_evts >= 0.000))"
348,"F[0,0]((n_edrk <= 0.000 & SBP <= 0.000))"
349,"F[0,0]((n_edrk <= 0.000 & tte >= 0.000))"
350,"F[0,0]((n_edrk <= 0.000 & y >= 0.000))"
351,"F[0,0]((n_edrk >= 0.000 & n_evts >= 0.000))"
352,"F[0,0]((n_edrk >= 0.000 -> n_evts >= 0.000))"
353,"F[0,0]((n_edrk >= 0.000 -> tte <= 0.000))"
354,"F[0,0]((n_evts <= 0.000 -> O2_Flow >= 0.000))"
355,"F[0,0]((n_evts <= 0.000 -> tte <= 0.000))"
356,"F[0,0]((n_evts >= 0.000 & PHOSPHORUS >= 0.000))"
357,"F[0,0]((n_evts >= 0.000 & PLATELET_COUNT <= 0.000))"
358,"F[0,0]((n_evts >= 0.000 & Resp >= 0.000))"
359,"F[0,0]((n_evts >= 0.000 & srr >= 0.000))"
360,"F[0,0]((n_evts >= 0.000 & y >= 0.000))"
361,"F[0,0]((n_evts >= 0.000 | y >= 0.000))"
362,"F[0,0]((s24_edrk <= 0.000 & y >= 0.000))"
363,"F[0,0]((s24_edrk >= 0.000 -> tte <= 0.000))"
364,"F[0,0]((s24_hr <= 0.000 & y >= 0.000))"
365,"F[0,0]((s2_edrk <= 0.000 -> y >= 0.000))"
366,"F[0,0]((s2_edrk >= 0.000 & tte <= 0.000))"
367,"F[0,0]((s8_hr <= 0.000 -> y >= 0.000))"
368,"F[0,0]((tte <= 0.000 & WHITE_BLOOD_CELL_COUNT >= 0.000))"
369,"G[0,0]((AF <= 0.000 & Glasgow_Coma_Scale_Total >= 0.000))"
370,"G[0,0]((AF <= 0.000 & cosen <= 0.000))"
371,"G[0,0]((AF <= 0.000 -> death <= 0.000))"
372,"G[0,0]((AF <= 0.000 | Glasgow_Coma_Scale_Total <= 0.000))"
373,"G[0,0]((AF <= 0.000 | LOS <= 0.000))"
374,"G[0,0]((AF >= 0.000 -> Glasgow_Coma_Scale_Total <= 0.000))"
375,"G[0,0]((AF >= 0.000 -> direct >= 0.000))"
376,"G[0,0]((AF >= 0.000 -> lds <= 0.000))"
377,"G[0,0]((AF >= 0.000 -> n_evts <= 0.000))"
378,"G[0,0]((AF >= 0.000 -> y <= 0.000))"
379,"G[0,0]((AF >= 0.000 | LOS >= 0.000))"
380,"G[0,0]((AF >= 0.000 | SBP >= 0.000))"
381,"G[0,0]((AF >= 0.000 | srr >= 0.000))"
382,"G[0,0]((BLOOD_UREA_NITROGEN <= 0.000 -> CO2 >= 0.000))"
