,Missed Client Rules
35,"((dfa <= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
36,"((dfa <= 0.000) U[0,0] (n_edrk <= 0.000))"
37,"((direct <= 0.000) U[0,0] (HEMOGLOBIN >= 0.000))"
38,"((edrk <= 0.000) U[0,0] (PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
39,"((edrk >= 0.000) U[0,0] (POTASSIUM >= 0.000))"
40,"((edrk >= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
41,"((hr <= 0.000) U[0,0] (s2_hr <= 0.000))"
42,"((hr >= 0.000) U[0,0] (Resp <= 0.000))"
43,"((hr >= 0.000) U[0,0] (lds <= 0.000))"
44,"((hr >= 0.000) U[0,0] (n_edrk <= 0.000))"
45,"((lds <= 0.000) U[0,0] (PROTIME_INR <= 0.000))"
46,"((lds <= 0.000) U[0,0] (Pulse >= 0.000))"
47,"((lds <= 0.000) U[0,0] (n_edrk <= 0.000))"
48,"((lds >= 0.000) U[0,0] (PROTIME_INR >= 0.000))"
49,"((n_edrk < 0.000) U[0,0] (y = 0.000))"
50,"((n_edrk <= 0.000) U[0,0] (O2_Flow <= 0.000))"
51,"((n_edrk <= 0.000) U[0,0] (POTASSIUM >= 0.000))"
52,"((n_edrk <= 0.000) U[0,0] (s24_hr <= 0.000))"
53,"((n_edrk >= 0.000) U[0,0] (tte <= 0.000))"
54,"((s24_hr <= 0.000) U[0,0] (tte <= 0.000))"
55,"((s24_hr >= 0.000) U[0,0] (tte <= 0.000))"
56,"((s24_hr >= 0.000) U[0,0] (y = 0.000))"
57,"((s2_edrk <= 0.000) U[0,0] (srr >= 0.000))"
58,"((s8_edrk < 0.000) U[0,0] (y = 0.000))"
59,"((s8_hr <= 0.000) U[0,0] (WHITE_BLOOD_CELL_COUNT >= 0.000))"
60,"F[0,0](((af <= 0.000 | AF <= 0.000) & cosen >= 0.000))"
61,"F[0,0]((AF <= 0.000 & n_evts >= 0.000))"
62,"F[0,0]((AF <= 0.000 -> Glasgow_Coma_Scale_Total <= 0.000))"
63,"F[0,0]((AF >= 0.000 & direct >= 0.000))"
64,"F[0,0]((AF >= 0.000 -> af >= 0.000))"
65,"F[0,0]((AST_GOT > 0.000 & y = 0.000))"
66,"F[0,0]((AST_GOT >= 0.000 & y = 0.000))"
67,"F[0,0]((BLOOD_UREA_NITROGEN <= 0.000 & CREATININE >= 0.000))"
68,"F[0,0]((BLOOD_UREA_NITROGEN <= 0.000 & tte <= 0.000))"
69,"F[0,0]((BLOOD_UREA_NITROGEN <= 0.000 -> death >= 0.000))"
70,"F[0,0]((BLOOD_UREA_NITROGEN >= 0.000 & Glasgow_Coma_Scale_Total <= 0.000))"
71,"F[0,0]((BLOOD_UREA_NITROGEN >= 0.000 & WHITE_BLOOD_CELL_COUNT <= 0.000))"
72,"F[0,0]((CALCIUM <= 0.000 & CREATININE >= 0.000))"
73,"F[0,0]((CALCIUM <= 0.000 & direct >= 0.000))"
74,"F[0,0]((CALCIUM <= 0.000 & s24_hr <= 0.000))"
75,"F[0,0]((CALCIUM >= 0.000 -> SBP >= 0.000))"
76,"F[0,0]((CALCIUM >= 0.000 -> direct >= 0.000))"
77,"F[0,0]((CO2 < 0.000 & y = 0.000))"
78,"F[0,0]((CO2 < 0.000 -> y = 0.000))"
79,"F[0,0]((CO2 >= 0.000 & ICU_Pt_Days >= 0.000))"
80,"F[0,0]((CO2 >= 0.000 & PLATELET_COUNT >= 0.000))"
81,"F[0,0]((CREATININE >= 0.000 & death >= 0.000))"
82,"F[0,0]((GLUCOSE <= 0.000 & n_edrk <= 0.000))"
83,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & O2_Flow >= 0.000))"
84,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & n_evts >= 0.000))"
85,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 & s24_hr >= 0.000))"
86,"F[0,0]((Glasgow_Coma_Scale_Total <= 0.000 | O2_Flow >= 0.000))"
87,"F[0,0]((Glasgow_Coma_Scale_Total > 0.000 -> y = 0.000))"
88,"F[0,0]((Glasgow_Coma_Scale_Total >= 0.000 & LACTIC_ACID >= 0.000))"
89,"F[0,0]((Glasgow_Coma_Scale_Total >= 0.000 -> HEMOGLOBIN <= 0.000))"
90,"F[0,0]((Glasgow_Coma_Scale_Total >= 0.000 -> O2_Flow >= 0.000))"
91,"F[0,0]((HEMOGLOBIN <= 0.000 & O2_Flow <= 0.000))"
92,"F[0,0]((HEMOGLOBIN <= 0.000 & n_evts >= 0.000))"
93,"F[0,0]((HEMOGLOBIN <= 0.000 & s8_hr >= 0.000))"
94,"F[0,0]((HEMOGLOBIN <= 0.000 -> WHITE_BLOOD_CELL_COUNT >= 0.000))"
95,"F[0,0]((HEMOGLOBIN >= 0.000 | n_evts >= 0.000))"
96,"F[0,0]((ICU_Pt_Days <= 0.000 & y >= 0.000))"
97,"F[0,0]((ICU_Pt_Days <= 0.000 -> y = 0.000))"
98,"F[0,0]((ICU_Pt_Days >= 0.000 & Mort >= 0.000))"
99,"F[0,0]((ICU_Pt_Days >= 0.000 & POTASSIUM >= 0.000))"
100,"F[0,0]((ICU_Pt_Days >= 0.000 & n_edrk <= 0.000))"
101,"F[0,0]((ICU_Pt_Days >= 0.000 & y = 0.000))"
102,"F[0,0]((ICU_Pt_Days >= 0.000 -> y >= 0.000))"
103,"F[0,0]((ICU_Pt_Days >= 0.000 | tte <= 0.000))"
104,"F[0,0]((LACTIC_ACID >= 0.000 & PHOSPHORUS <= 0.000))"
105,"F[0,0]((LOS <= 0.000 & n_edrk <= 0.000))"
106,"F[0,0]((LOS <= 0.000 -> n_edrk <= 0.000))"
107,"F[0,0]((LOS <= 0.000 -> n_evts >= 0.000))"
108,"F[0,0]((LOS <= 0.000 -> y >= 0.000))"
109,"F[0,0]((LOS >= 0.000 & Mort >= 0.000))"
110,"F[0,0]((LOS >= 0.000 & s8_edrk >= 0.000))"
111,"F[0,0]((MAGNESIUM <= 0.000 & PHOSPHORUS <= 0.000))"
112,"F[0,0]((MAGNESIUM <= 0.000 & s8_hr <= 0.000))"
113,"F[0,0]((MAGNESIUM >= 0.000 -> y = 0.000))"
114,"F[0,0]((MET <= 0.000 -> PHOSPHORUS <= 0.000))"
115,"F[0,0]((Mort <= 0.000 -> POTASSIUM >= 0.000))"
116,"F[0,0]((Mort <= 0.000 -> n_edrk <= 0.000))"
117,"F[0,0]((Mort >= 0.000 & PHOSPHORUS <= 0.000))"
118,"F[0,0]((Mort >= 0.000 & WHITE_BLOOD_CELL_COUNT >= 0.000))"
119,"F[0,0]((Mort >= 0.000 | O2_Flow >= 0.000))"
120,"F[0,0]((Mort >= 0.000 | PLATELET_COUNT >= 0.000))"
121,"F[0,0]((O2_Flow < 0.000 -> y = 0.000))"
122,"F[0,0]((O2_Flow <= 0.000 & PLATELET_COUNT >= 0.000))"
123,"F[0,0]((O2_Flow <= 0.000 -> SBP <= 0.000))"
124,"F[0,0]((O2_Flow <= 0.000 -> WHITE_BLOOD_CELL_COUNT >= 0.000))"
125,"F[0,0]((O2_Flow > 0.000 -> y = 0.000))"
126,"F[0,0]((O2_Flow >= 0.000 & Pulse >= 0.000))"
127,"F[0,0]((O2_Flow >= 0.000 & s8_hr >= 0.000))"
128,"F[0,0]((PARTIAL_THROMBOPLASTIN_TIME <= 0.000 & SpO2 >= 0.000))"
129,"F[0,0]((PARTIAL_THROMBOPLASTIN_TIME <= 0.000 -> y = 0.000))"
130,"F[0,0]((PCO2 > 0.000 & y = 0.000))"
131,"F[0,0]((PHOSPHORUS <= 0.000 & PLATELET_COUNT >= 0.000))"
132,"F[0,0]((PHOSPHORUS >= 0.000 -> WHITE_BLOOD_CELL_COUNT <= 0.000))"
133,"F[0,0]((PLATELET_COUNT >= 0.000 & tte <= 0.000))"
134,"F[0,0]((PLATELET_COUNT >= 0.000 -> tte <= 0.000))"
135,"F[0,0]((POTASSIUM <= 0.000 & s2_hr <= 0.000))"
136,"F[0,0]((POTASSIUM <= 0.000 & s8_hr <= 0.000))"
137,"F[0,0]((POTASSIUM <= 0.000 & y = 0.000))"
138,"F[0,0]((Pulse < 0.000 -> y = 0.000))"
139,"F[0,0]((Pulse <= 0.000 -> WHITE_BLOOD_CELL_COUNT <= 0.000))"
140,"F[0,0]((Pulse >= 0.000 & y >= 0.000))"
141,"F[0,0]((Resp <= 0.000 | y >= 0.000))"
142,"F[0,0]((SBP < 0.000 & y = 0.000))"
143,"F[0,0]((SBP <= 0.000 -> tte <= 0.000))"
144,"F[0,0]((SBP <= 0.000 -> y >= 0.000))"
145,"F[0,0]((SODIUM <= 0.000 -> y = 0.000))"
146,"F[0,0]((SpO2 < 0.000 -> y = 0.000))"
147,"F[0,0]((SpO2 > 0.000 & y = 0.000))"
148,"F[0,0]((SpO2 >= 0.000 -> y = 0.000))"
149,"F[0,0]((TOTAL_PROTEIN >= 0.000 & y = 0.000))"
150,"F[0,0]((TROPONIN_I < 0.000 & y = 0.000))"
151,"F[0,0]((Temp >= 0.000 -> y >= 0.000))"
152,"F[0,0]((WHITE_BLOOD_CELL_COUNT <= 0.000 -> y = 0.000))"
153,"F[0,0]((af <= 0.000 & O2_Flow >= 0.000))"
154,"F[0,0]((af <= 0.000 & y >= 0.000))"
155,"F[0,0]((cosen <= 0.000 & O2_Flow >= 0.000))"
156,"F[0,0]((cosen <= 0.000 -> Mort >= 0.000))"
157,"F[0,0]((cosen >= 0.000 & PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
158,"F[0,0]((cosen >= 0.000 & PHOSPHORUS >= 0.000))"
159,"F[0,0]((cosen >= 0.000 & n_edrk <= 0.000))"
160,"F[0,0]((death <= 0.000 & y >= 0.000))"
161,"F[0,0]((death >= 0.000 & Mort >= 0.000))"
162,"F[0,0]((death >= 0.000 & dfa <= 0.000))"
163,"F[0,0]((death >= 0.000 & s8_edrk >= 0.000))"
164,"F[0,0]((death >= 0.000 | Glasgow_Coma_Scale_Total <= 0.000))"
165,"F[0,0]((dfa <= 0.000 -> direct >= 0.000))"
166,"F[0,0]((dfa <= 0.000 -> s8_hr <= 0.000))"
167,"F[0,0]((dfa >= 0.000 & Mort >= 0.000))"
168,"F[0,0]((direct < 0.000 -> y = 0.000))"
169,"F[0,0]((direct <= 0.000 -> LOS >= 0.000))"
170,"F[0,0]((direct <= 0.000 -> y >= 0.000))"
171,"F[0,0]((direct >= 0.000 & PLATELET_COUNT >= 0.000))"
172,"F[0,0]((direct >= 0.000 & WHITE_BLOOD_CELL_COUNT <= 0.000))"
173,"F[0,0]((direct >= 0.000 & WHITE_BLOOD_CELL_COUNT >= 0.000))"
174,"F[0,0]((direct >= 0.000 & edrk <= 0.000))"
175,"F[0,0]((direct >= 0.000 & hr >= 0.000))"
176,"F[0,0]((direct >= 0.000 & s8_edrk <= 0.000))"
177,"F[0,0]((direct >= 0.000 | GLUCOSE <= 0.000))"
178,"F[0,0]((direct >= 0.000 | n_edrk <= 0.000))"
179,"F[0,0]((edrk <= 0.000 & PLATELET_COUNT <= 0.000))"
180,"F[0,0]((edrk <= 0.000 & n_evts >= 0.000))"
181,"F[0,0]((edrk <= 0.000 & tte <= 0.000))"
182,"F[0,0]((edrk <= 0.000 -> Mort >= 0.000))"
183,"F[0,0]((edrk <= 0.000 -> y >= 0.000))"
184,"F[0,0]((edrk > 0.000 & y = 0.000))"
185,"F[0,0]((hr <= 0.000 -> MET >= 0.000))"
186,"F[0,0]((hr >= 0.000 | y >= 0.000))"
187,"F[0,0]((lds > 0.000 & y = 0.000))"
188,"F[0,0]((lds >= 0.000 & PLATELET_COUNT <= 0.000))"
189,"F[0,0]((lds >= 0.000 & s8_hr <= 0.000))"
190,"F[0,0]((lds >= 0.000 & y >= 0.000))"
191,"F[0,0]((n_edrk <= 0.000 & Resp <= 0.000))"
192,"F[0,0]((n_edrk <= 0.000 & SBP <= 0.000))"
193,"F[0,0]((n_edrk <= 0.000 & tte >= 0.000))"
194,"F[0,0]((n_evts <= 0.000 -> O2_Flow >= 0.000))"
195,"F[0,0]((n_evts >= 0.000 & PLATELET_COUNT <= 0.000))"
196,"F[0,0]((n_evts >= 0.000 & y >= 0.000))"
197,"F[0,0]((n_evts >= 0.000 | PARTIAL_THROMBOPLASTIN_TIME >= 0.000))"
198,"F[0,0]((n_evts >= 0.000 | PROTIME_INR <= 0.000))"
199,"F[0,0]((s24_edrk < 0.000 -> y = 0.000))"
200,"F[0,0]((s24_hr <= 0.000 | srr >= 0.000))"
201,"F[0,0]((s2_edrk >= 0.000 & tte <= 0.000))"
202,"F[0,0]((s2_hr > 0.000 -> y = 0.000))"
203,"F[0,0]((s8_edrk <= 0.000 & y = 0.000))"
204,"F[0,0]((srr >= 0.000 & y = 0.000))"
205,"F[0,0]((tte <= 0.000 & WHITE_BLOOD_CELL_COUNT >= 0.000))"
206,"G[0,0]((AF <= 0.000 & SBP >= 0.000))"
207,"G[0,0]((AF <= 0.000 & cosen <= 0.000))"
208,"G[0,0]((AF <= 0.000 -> CALCIUM >= 0.000))"
209,"G[0,0]((AF <= 0.000 -> LOS <= 0.000))"
210,"G[0,0]((AF <= 0.000 | Glasgow_Coma_Scale_Total <= 0.000))"
211,"G[0,0]((AF <= 0.000 | ICU_Pt_Days >= 0.000))"
212,"G[0,0]((AF >= 0.000 -> CREATININE >= 0.000))"
213,"G[0,0]((AF >= 0.000 -> PHOSPHORUS <= 0.000))"
214,"G[0,0]((AF >= 0.000 -> direct <= 0.000))"
215,"G[0,0]((AF >= 0.000 -> y <= 0.000))"
216,"G[0,0]((AF >= 0.000 | POTASSIUM <= 0.000))"
217,"G[0,0]((ALBUMIN <= 0.000 -> n_evts <= 0.000))"
218,"G[0,0]((ALKALINE_PHOSPHATASE < 0.000 -> y = 0.000))"
219,"G[0,0]((BLOOD_UREA_NITROGEN <= 0.000 | n_edrk <= 0.000))"
220,"G[0,0]((BLOOD_UREA_NITROGEN >= 0.000 -> CO2 >= 0.000))"
221,"G[0,0]((BLOOD_UREA_NITROGEN >= 0.000 -> O2_Flow <= 0.000))"
222,"G[0,0]((BLOOD_UREA_NITROGEN >= 0.000 -> cosen <= 0.000))"
223,"G[0,0]((CALCIUM <= 0.000 -> Mort <= 0.000))"
224,"G[0,0]((CALCIUM <= 0.000 | PHOSPHORUS >= 0.000))"
225,"G[0,0]((CALCIUM <= 0.000 | edrk <= 0.000))"
226,"G[0,0]((CALCIUM >= 0.000 & HEMOGLOBIN <= 0.000))"
227,"G[0,0]((CALCIUM >= 0.000 -> n_evts <= 0.000))"
228,"G[0,0]((CALCIUM >= 0.000 | s24_hr <= 0.000))"
229,"G[0,0]((CHLORIDE <= 0.000 -> O2_Flow <= 0.000))"
230,"G[0,0]((CHLORIDE <= 0.000 | PHOSPHORUS <= 0.000))"
231,"G[0,0]((CHLORIDE <= 0.000 | direct <= 0.000))"
232,"G[0,0]((CHLORIDE <= 0.000 | edrk >= 0.000))"
233,"G[0,0]((CHLORIDE >= 0.000 & tte >= 0.000))"
234,"G[0,0]((CHLORIDE >= 0.000 | CO2 <= 0.000))"
235,"G[0,0]((CHLORIDE >= 0.000 | Resp >= 0.000))"
236,"G[0,0]((CHLORIDE >= 0.000 | n_edrk >= 0.000))"
237,"G[0,0]((CHLORIDE >= 0.000 | y <= 0.000))"
238,"G[0,0]((CO2 <= 0.000 -> ICU_Pt_Days <= 0.000))"
239,"G[0,0]((CO2 >= 0.000 -> GLUCOSE <= 0.000))"
240,"G[0,0]((CO2 >= 0.000 | LOS <= 0.000))"
241,"G[0,0]((CO2 >= 0.000 | Mort <= 0.000))"
242,"G[0,0]((CO2 >= 0.000 | Mort >= 0.000))"
243,"G[0,0]((CO2 >= 0.000 | Temp >= 0.000))"
244,"G[0,0]((CREATININE <= 0.000 & PHOSPHORUS <= 0.000))"
245,"G[0,0]((CREATININE <= 0.000 -> n_edrk >= 0.000))"
246,"G[0,0]((CREATININE <= 0.000 | LOS >= 0.000))"
247,"G[0,0]((CREATININE > 0.000 -> y = 0.000))"
248,"G[0,0]((CREATININE >= 0.000 & O2_Flow <= 0.000))"
249,"G[0,0]((CREATININE >= 0.000 & Pulse <= 0.000))"
250,"G[0,0]((CREATININE >= 0.000 & SBP <= 0.000))"
251,"G[0,0]((CREATININE >= 0.000 | PLATELET_COUNT <= 0.000))"
252,"G[0,0]((GLUCOSE <= 0.000 -> Temp <= 0.000))"
253,"G[0,0]((GLUCOSE <= 0.000 | MAGNESIUM <= 0.000))"
254,"G[0,0]((GLUCOSE <= 0.000 | WHITE_BLOOD_CELL_COUNT >= 0.000))"
255,"G[0,0]((GLUCOSE >= 0.000 -> O2_Flow >= 0.000))"
256,"G[0,0]((Glasgow_Coma_Scale_Total <= 0.000 -> tte >= 0.000))"
257,"G[0,0]((Glasgow_Coma_Scale_Total >= 0.000 & s24_edrk >= 0.000))"
258,"G[0,0]((Glasgow_Coma_Scale_Total >= 0.000 | Resp <= 0.000))"
259,"G[0,0]((Glasgow_Coma_Scale_Total >= 0.000 | s8_edrk >= 0.000))"
260,"G[0,0]((HEMOGLOBIN <= 0.000 & SBP <= 0.000))"
261,"G[0,0]((HEMOGLOBIN <= 0.000 -> Temp <= 0.000))"
262,"G[0,0]((HEMOGLOBIN <= 0.000 -> hr <= 0.000))"
263,"G[0,0]((HEMOGLOBIN >= 0.000 & Resp <= 0.000))"
264,"G[0,0]((HEMOGLOBIN >= 0.000 -> s8_hr >= 0.000))"
265,"G[0,0]((HEMOGLOBIN >= 0.000 | hr <= 0.000))"
266,"G[0,0]((ICU_Pt_Days <= 0.000 & WHITE_BLOOD_CELL_COUNT >= 0.000))"
267,"G[0,0]((ICU_Pt_Days <= 0.000 | O2_Flow >= 0.000))"
268,"G[0,0]((ICU_Pt_Days <= 0.000 | PARTIAL_THROMBOPLASTIN_TIME <= 0.000))"
269,"G[0,0]((ICU_Pt_Days <= 0.000 | PLATELET_COUNT >= 0.000))"
270,"G[0,0]((ICU_Pt_Days >= 0.000 & Mort <= 0.000))"
271,"G[0,0]((ICU_Pt_Days >= 0.000 -> O2_Flow <= 0.000))"
272,"G[0,0]((ICU_Pt_Days >= 0.000 -> s24_hr <= 0.000))"
273,"G[0,0]((ICU_Pt_Days >= 0.000 -> s8_edrk >= 0.000))"
274,"G[0,0]((ICU_Pt_Days >= 0.000 -> y <= 0.000))"
275,"G[0,0]((ICU_Pt_Days >= 0.000 | PARTIAL_THROMBOPLASTIN_TIME <= 0.000))"
276,"G[0,0]((ICU_Pt_Days >= 0.000 | PLATELET_COUNT >= 0.000))"
277,"G[0,0]((ICU_Pt_Days >= 0.000 | WHITE_BLOOD_CELL_COUNT >= 0.000))"
278,"G[0,0]((ICU_Pt_Days >= 0.000 | s24_edrk >= 0.000))"
279,"G[0,0]((ICU_Pt_Days >= 0.000 | s24_hr <= 0.000))"
280,"G[0,0]((LACTIC_ACID >= 0.000 -> s8_hr >= 0.000))"
281,"G[0,0]((LOS <= 0.000 & O2_Flow <= 0.000))"
282,"G[0,0]((LOS <= 0.000 & SBP >= 0.000))"
283,"G[0,0]((LOS <= 0.000 | n_edrk <= 0.000))"
284,"G[0,0]((LOS >= 0.000 & SBP >= 0.000))"
285,"G[0,0]((LOS >= 0.000 & s24_edrk >= 0.000))"
286,"G[0,0]((LOS >= 0.000 & s8_edrk >= 0.000))"
287,"G[0,0]((LOS >= 0.000 -> SBP <= 0.000))"
288,"G[0,0]((LOS >= 0.000 -> s8_edrk >= 0.000))"
289,"G[0,0]((LOS >= 0.000 | s8_edrk <= 0.000))"
290,"G[0,0]((MAGNESIUM <= 0.000 -> O2_Flow <= 0.000))"
291,"G[0,0]((MAGNESIUM <= 0.000 -> s24_hr <= 0.000))"
292,"G[0,0]((MAGNESIUM <= 0.000 -> s8_hr <= 0.000))"
293,"G[0,0]((MAGNESIUM <= 0.000 | PHOSPHORUS >= 0.000))"
294,"G[0,0]((MAGNESIUM >= 0.000 | SpO2 <= 0.000))"
295,"G[0,0]((MET >= 0.000 -> n_evts <= 0.000))"
296,"G[0,0]((Mort <= 0.000 & n_evts <= 0.000))"
297,"G[0,0]((Mort <= 0.000 | PHOSPHORUS >= 0.000))"
298,"G[0,0]((Mort <= 0.000 | Resp <= 0.000))"
299,"G[0,0]((Mort > 0.000 -> y = 0.000))"
300,"G[0,0]((O2_Flow <= 0.000 & s24_hr >= 0.000))"
301,"G[0,0]((O2_Flow <= 0.000 & y <= 0.000))"
302,"G[0,0]((O2_Flow <= 0.000 | WHITE_BLOOD_CELL_COUNT >= 0.000))"
303,"G[0,0]((O2_Flow >= 0.000 & s2_hr >= 0.000))"
304,"G[0,0]((O2_Flow >= 0.000 -> SpO2 >= 0.000))"
305,"G[0,0]((PARTIAL_THROMBOPLASTIN_TIME <= 0.000 & PROTIME_INR >= 0.000))"
306,"G[0,0]((PARTIAL_THROMBOPLASTIN_TIME <= 0.000 -> y <= 0.000))"
307,"G[0,0]((PARTIAL_THROMBOPLASTIN_TIME <= 0.000 | s8_hr <= 0.000))"
308,"G[0,0]((PARTIAL_THROMBOPLASTIN_TIME >= 0.000 -> SODIUM >= 0.000))"
309,"G[0,0]((PARTIAL_THROMBOPLASTIN_TIME >= 0.000 | PLATELET_COUNT >= 0.000))"
310,"G[0,0]((PHOSPHORUS <= 0.000 -> y = 0.000))"
311,"G[0,0]((PHOSPHORUS >= 0.000 & y <= 0.000))"
312,"G[0,0]((PHOSPHORUS >= 0.000 | Resp >= 0.000))"
313,"G[0,0]((PLATELET_COUNT <= 0.000 -> Temp >= 0.000))"
314,"G[0,0]((POTASSIUM <= 0.000 & Resp <= 0.000))"
315,"G[0,0]((PROTIME_INR <= 0.000 -> SpO2 <= 0.000))"
316,"G[0,0]((PROTIME_INR <= 0.000 -> srr <= 0.000))"
317,"G[0,0]((PROTIME_INR <= 0.000 | SBP <= 0.000))"
318,"G[0,0]((PROTIME_INR >= 0.000 | s24_hr >= 0.000))"
319,"G[0,0]((Pulse <= 0.000 & s2_edrk <= 0.000))"
320,"G[0,0]((Pulse <= 0.000 -> Temp <= 0.000))"
321,"G[0,0]((Pulse >= 0.000 & y <= 0.000))"
322,"G[0,0]((Pulse >= 0.000 -> WHITE_BLOOD_CELL_COUNT <= 0.000))"
323,"G[0,0]((Pulse >= 0.000 -> s24_hr >= 0.000))"
324,"G[0,0]((Pulse >= 0.000 -> y <= 0.000))"
325,"G[0,0]((Pulse >= 0.000 | Resp >= 0.000))"
326,"G[0,0]((Resp <= 0.000 -> s2_edrk <= 0.000))"
327,"G[0,0]((Resp >= 0.000 -> s24_edrk >= 0.000))"
328,"G[0,0]((SBP <= 0.000 -> tte >= 0.000))"
329,"G[0,0]((SBP <= 0.000 -> y <= 0.000))"
330,"G[0,0]((SBP <= 0.000 | tte >= 0.000))"
331,"G[0,0]((SBP >= 0.000 | srr <= 0.000))"
332,"G[0,0]((SODIUM <= 0.000 & Temp <= 0.000))"
333,"G[0,0]((SODIUM <= 0.000 | WHITE_BLOOD_CELL_COUNT <= 0.000))"
334,"G[0,0]((SODIUM >= 0.000 -> tte >= 0.000))"
335,"G[0,0]((SpO2 <= 0.000 | srr <= 0.000))"
336,"G[0,0]((SpO2 >= 0.000 | srr >= 0.000))"
337,"G[0,0]((Temp <= 0.000 -> WHITE_BLOOD_CELL_COUNT <= 0.000))"
338,"G[0,0]((WHITE_BLOOD_CELL_COUNT <= 0.000 -> y <= 0.000))"
339,"G[0,0]((af <= 0.000 -> n_edrk >= 0.000))"
340,"G[0,0]((af >= 0.000 -> hr <= 0.000))"
341,"G[0,0]((af >= 0.000 | LOS <= 0.000))"
342,"G[0,0]((cosen <= 0.000 & Pulse <= 0.000))"
343,"G[0,0]((cosen <= 0.000 & death <= 0.000))"
344,"G[0,0]((cosen <= 0.000 & tte >= 0.000))"
345,"G[0,0]((cosen <= 0.000 | PHOSPHORUS >= 0.000))"
346,"G[0,0]((cosen >= 0.000 & LOS >= 0.000))"
347,"G[0,0]((cosen >= 0.000 -> PROTIME_INR >= 0.000))"
348,"G[0,0]((cosen >= 0.000 -> WHITE_BLOOD_CELL_COUNT >= 0.000))"
349,"G[0,0]((cosen >= 0.000 -> lds <= 0.000))"
350,"G[0,0]((cosen >= 0.000 | Temp <= 0.000))"
351,"G[0,0]((cosen >= 0.000 | direct <= 0.000))"
352,"G[0,0]((cosen >= 0.000 | y <= 0.000))"
353,"G[0,0]((death <= 0.000 & hr <= 0.000))"
354,"G[0,0]((death <= 0.000 -> SODIUM <= 0.000))"
355,"G[0,0]((death <= 0.000 -> s2_edrk >= 0.000))"
356,"G[0,0]((death <= 0.000 | GLUCOSE >= 0.000))"
357,"G[0,0]((death <= 0.000 | tte >= 0.000))"
358,"G[0,0]((death >= 0.000 -> PHOSPHORUS <= 0.000))"
