,LDP Rule,Client Rule,LDP Count,Client Count
0,"G[0,0]((ICU_Pt_Days = 0.000 | n_evts > 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | n_evts > 0.000))",0.364,0.01
33,"G[0,0]((n_evts = 0.000 | LOS < 0.000))","G[0,0]((LOS < 0.000 | n_evts < 0.000))",0.443,0.01
34,"G[0,0]((LOS < 0.000 | LOS = 0.000))","G[0,0]((AF < 0.000 | LOS < 0.000))",0.33,0.02
35,"G[0,0]((n_evts < 0.000 | WHITE_BLOOD_CELL_COUNT = 0.000))","G[0,0]((n_evts < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))",0.443,0.02
36,"G[0,0]((Mort = 0.000 | WHITE_BLOOD_CELL_COUNT = 0.000))","G[0,0]((Mort < 0.000 | O2_Flow > 0.000))",0.341,0.02
37,"G[0,0]((LOS < 0.000 | n_evts < 0.000))","G[0,0]((LOS < 0.000 | n_evts < 0.000))",0.443,0.01
38,"G[0,0]((tte = 0.000 | LOS < 0.000))","G[0,0]((af > 0.000 | LOS < 0.000))",0.33,0.02
39,"G[0,0]((LOS < 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | s24_edrk > 0.000))",0.33,0.03
40,"G[0,0]((s8_hr < 0.000 | Mort > 0.000))","G[0,0]((Mort < 0.000 | s8_hr > 0.000))",0.214,0.02
41,"G[0,0]((s8_hr < 0.000 | direct = 0.000))","G[0,0]((direct < 0.000 | SODIUM < 0.000))",0.443,0.03
42,"G[0,0]((Mort > 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((n_evts < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))",0.214,0.02
43,"G[0,0]((Mort < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((Mort < 0.000 | O2_Flow > 0.000))",0.341,0.02
44,"G[0,0]((LOS > 0.000 | n_evts < 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.443,0.04
45,"G[0,0]((MET < 0.000 | n_evts > 0.000))","G[0,0]((MET < 0.000 | n_evts > 0.000))",0.227,0.02
46,"G[0,0]((n_evts > 0.000 | Mort < 0.000))","G[0,0]((Mort > 0.000 | n_evts < 0.000))",0.341,0.02
47,"G[0,0]((ICU_Pt_Days = 0.000 | LOS > 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.364,0.04
48,"G[0,0]((n_evts = 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((n_evts < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))",0.443,0.02
49,"G[0,0]((ICU_Pt_Days > 0.000 | y = 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | s24_edrk > 0.000))",0.375,0.03
50,"G[0,0]((y = 0.000 | y < 0.000))","G[0,0]((direct < 0.000 | y < 0.000))",0.375,0.02
51,"G[0,0]((ICU_Pt_Days > 0.000 | tte < 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | n_evts < 0.000))",0.262,0.02
52,"G[0,0]((y < 0.000 | LOS = 0.000))","G[0,0]((MET > 0.000 | y < 0.000))",0.375,0.03
53,"G[0,0]((death < 0.000 | LOS < 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.33,0.04
54,"G[0,0]((LOS < 0.000 | LOS < 0.000))","G[0,0]((AF < 0.000 | LOS < 0.000))",0.33,0.02
55,"G[0,0]((n_evts = 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | n_evts > 0.000))",0.443,0.01
56,"G[0,0]((death = 0.000 | ICU_Pt_Days < 0.000))","G[0,0]((death < 0.000 | ICU_Pt_Days < 0.000))",0.364,0.01
57,"G[0,0]((n_evts < 0.000 | LOS > 0.000))","G[0,0]((LOS < 0.000 | n_evts > 0.000))",0.443,0.02
58,"G[0,0]((ICU_Pt_Days = 0.000 | ICU_Pt_Days < 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | PARTIAL_THROMBOPLASTIN_TIME < 0.000))",0.364,0.02
59,"G[0,0]((n_evts < 0.000 | death = 0.000))","G[0,0]((death < 0.000 | n_evts < 0.000))",0.443,0.01
60,"G[0,0]((s8_hr < 0.000 | tte < 0.000))","G[0,0]((LOS < 0.000 | s8_hr < 0.000))",0.17,0.02
61,"G[0,0]((y = 0.000 | LOS = 0.000))","G[0,0]((MET > 0.000 | y < 0.000))",0.375,0.03
62,"G[0,0]((Mort = 0.000 | Mort = 0.000))","G[0,0]((CREATININE < 0.000 | Mort < 0.000))",0.341,0.02
63,"G[0,0]((direct < 0.000 | LOS < 0.000))","G[0,0]((direct < 0.000 | LOS < 0.000))",0.443,0.02
64,"G[0,0]((n_evts = 0.000 | death < 0.000))","G[0,0]((death < 0.000 | n_evts < 0.000))",0.443,0.01
65,"G[0,0]((TOTAL_PROTEIN = 0.000 | Mort < 0.000))","G[0,0]((lds < 0.000 | Mort < 0.000))",0.341,0.01
66,"G[0,0]((ICU_Pt_Days > 0.000 | ICU_Pt_Days = 0.000))","G[0,0]((af > 0.000 | ICU_Pt_Days < 0.000))",0.364,0.03
67,"G[0,0]((s8_hr < 0.000 | n_evts > 0.000))","G[0,0]((edrk < 0.000 | n_evts > 0.000))",0.17,0.02
68,"G[0,0]((Mort = 0.000 | death < 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.341,0.04
69,"G[0,0]((Mort = 0.000 | tte < 0.000))","G[0,0]((CREATININE < 0.000 | Mort < 0.000))",0.341,0.02
70,"G[0,0]((ICU_Pt_Days = 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | s24_hr > 0.000))",0.364,0.02
71,"G[0,0]((y > 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | s24_edrk > 0.000))",0.262,0.03
72,"G[0,0]((y > 0.000 | direct < 0.000))","G[0,0]((direct > 0.000 | y < 0.000))",0.443,0.01
73,"G[0,0]((death = 0.000 | tte < 0.000))","G[0,0]((death < 0.000 | tte > 0.000))",0.261,0.02
74,"G[0,0]((GLUCOSE > 0.000 | ICU_Pt_Days = 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | SODIUM < 0.000))",0.364,0.01
75,"G[0,0]((tte < 0.000 | n_evts > 0.000))","G[0,0]((MET < 0.000 | n_evts > 0.000))",0.167,0.02
76,"G[0,0]((direct < 0.000 | Mort > 0.000))","G[0,0]((direct < 0.000 | y < 0.000))",0.443,0.02
77,"G[0,0]((LOS = 0.000 | ICU_Pt_Days = 0.000))","G[0,0]((af > 0.000 | ICU_Pt_Days < 0.000))",0.364,0.03
78,"G[0,0]((Mort < 0.000 | n_evts < 0.000))","G[0,0]((Mort < 0.000 | n_evts < 0.000))",0.443,0.01
79,"G[0,0]((n_evts > 0.000 | tte < 0.000))","G[0,0]((MET < 0.000 | n_evts > 0.000))",0.167,0.02
80,"G[0,0]((n_evts = 0.000 | y = 0.000))","G[0,0]((n_evts < 0.000 | y < 0.000))",0.443,0.02
81,"G[0,0]((ICU_Pt_Days = 0.000 | Mort > 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | Mort > 0.000))",0.364,0.01
82,"G[0,0]((TOTAL_PROTEIN = 0.000 | Mort = 0.000))","G[0,0]((lds < 0.000 | Mort < 0.000))",0.341,0.01
83,"G[0,0]((ICU_Pt_Days = 0.000 | y < 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | y < 0.000))",0.375,0.01
84,"G[0,0]((Mort < 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | Mort > 0.000))",0.341,0.01
85,"G[0,0]((GLUCOSE > 0.000 | Mort > 0.000))","G[0,0]((Mort > 0.000 | SpO2 > 0.000))",0.214,0.01
86,"G[0,0]((Mort < 0.000 | Mort < 0.000))","G[0,0]((CREATININE < 0.000 | Mort < 0.000))",0.341,0.02
87,"G[0,0]((ICU_Pt_Days > 0.000 | direct = 0.000))","G[0,0]((direct > 0.000 | ICU_Pt_Days < 0.000))",0.443,0.01
88,"G[0,0]((y > 0.000 | ICU_Pt_Days < 0.000))","G[0,0]((af > 0.000 | ICU_Pt_Days < 0.000))",0.364,0.03
89,"G[0,0]((MET < 0.000 | LOS = 0.000))","G[0,0]((LOS < 0.000 | MET < 0.000))",0.33,0.01
90,"G[0,0]((death < 0.000 | direct < 0.000))","G[0,0]((direct < 0.000 | lds < 0.000))",0.443,0.04
91,"G[0,0]((s8_hr < 0.000 | Mort = 0.000))","G[0,0]((Mort < 0.000 | O2_Flow > 0.000))",0.341,0.02
92,"G[0,0]((ICU_Pt_Days > 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | s24_edrk > 0.000))",0.262,0.03
93,"G[0,0]((MET < 0.000 | n_evts = 0.000))","G[0,0]((MET < 0.000 | n_evts < 0.000))",0.443,0.01
94,"G[0,0]((LOS = 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | s24_edrk > 0.000))",0.33,0.03
95,"G[0,0]((y < 0.000 | direct < 0.000))","G[0,0]((direct < 0.000 | y < 0.000))",0.443,0.02
96,"G[0,0]((n_evts = 0.000 | n_evts > 0.000))","G[0,0]((LOS < 0.000 | n_evts > 0.000))",0.443,0.02
97,"G[0,0]((tte = 0.000 | y < 0.000))","G[0,0]((tte < 0.000 | y < 0.000))",0.375,0.01
98,"G[0,0]((y > 0.000 | WHITE_BLOOD_CELL_COUNT = 0.000))","G[0,0]((SBP < 0.000 | y > 0.000))",0.182,0.02
99,"G[0,0]((y = 0.000 | LOS > 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.375,0.04
100,"G[0,0]((tte < 0.000 | Mort < 0.000))","G[0,0]((CREATININE < 0.000 | Mort < 0.000))",0.341,0.02
101,"G[0,0]((n_evts < 0.000 | ICU_Pt_Days < 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | n_evts < 0.000))",0.443,0.01
102,"G[0,0]((death < 0.000 | ALBUMIN > 0.000))","G[0,0]((CHLORIDE > 0.000 | death < 0.000))",0.261,0.01
103,"G[0,0]((s8_hr < 0.000 | LOS = 0.000))","G[0,0]((LOS < 0.000 | s8_hr < 0.000))",0.33,0.02
104,"G[0,0]((s8_hr < 0.000 | MET = 0.000))","G[0,0]((MET < 0.000 | Resp > 0.000))",0.227,0.02
105,"G[0,0]((TOTAL_PROTEIN = 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((s24_hr < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))",0.182,0.01
106,"G[0,0]((MET < 0.000 | LOS < 0.000))","G[0,0]((LOS < 0.000 | MET < 0.000))",0.33,0.01
107,"G[0,0]((MET < 0.000 | n_evts < 0.000))","G[0,0]((MET < 0.000 | n_evts < 0.000))",0.443,0.01
108,"G[0,0]((LOS < 0.000 | LOS > 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.333,0.04
109,"G[0,0]((Mort > 0.000 | n_evts = 0.000))","G[0,0]((Mort > 0.000 | n_evts < 0.000))",0.443,0.02
110,"G[0,0]((y < 0.000 | MET = 0.000))","G[0,0]((MET < 0.000 | y < 0.000))",0.375,0.01
111,"G[0,0]((ICU_Pt_Days < 0.000 | ALBUMIN > 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | y < 0.000))",0.364,0.01
112,"G[0,0]((n_evts > 0.000 | ICU_Pt_Days < 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | n_evts < 0.000))",0.364,0.02
113,"G[0,0]((tte < 0.000 | LOS < 0.000))","G[0,0]((af > 0.000 | LOS < 0.000))",0.33,0.02
114,"G[0,0]((MET < 0.000 | ICU_Pt_Days < 0.000))","G[0,0]((af > 0.000 | ICU_Pt_Days < 0.000))",0.364,0.03
115,"G[0,0]((s8_hr < 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | n_evts < 0.000))",0.262,0.02
116,"G[0,0]((death = 0.000 | WHITE_BLOOD_CELL_COUNT = 0.000))","G[0,0]((death < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))",0.261,0.01
117,"G[0,0]((direct < 0.000 | direct < 0.000))","G[0,0]((direct < 0.000 | lds < 0.000))",0.443,0.04
118,"G[0,0]((n_evts = 0.000 | direct = 0.000))","G[0,0]((direct < 0.000 | n_evts < 0.000))",0.443,0.01
119,"G[0,0]((GLUCOSE > 0.000 | tte < 0.000))","G[0,0]((cosen < 0.000 | tte < 0.000))",0.202,0.02
120,"G[0,0]((y < 0.000 | ALBUMIN > 0.000))","G[0,0]((direct > 0.000 | y < 0.000))",0.375,0.01
121,"G[0,0]((TOTAL_PROTEIN = 0.000 | direct = 0.000))","G[0,0]((direct < 0.000 | s24_hr < 0.000))",0.443,0.01
122,"G[0,0]((direct < 0.000 | y < 0.000))","G[0,0]((direct < 0.000 | y < 0.000))",0.443,0.02
123,"G[0,0]((n_evts = 0.000 | LOS > 0.000))","G[0,0]((LOS < 0.000 | n_evts > 0.000))",0.443,0.02
124,"G[0,0]((tte < 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | n_evts < 0.000))",0.262,0.02
125,"G[0,0]((GLUCOSE > 0.000 | n_evts < 0.000))","G[0,0]((GLUCOSE > 0.000 | n_evts < 0.000))",0.443,0.01
126,"G[0,0]((y = 0.000 | MET < 0.000))","G[0,0]((MET < 0.000 | y < 0.000))",0.375,0.01
127,"G[0,0]((Mort = 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((Mort < 0.000 | O2_Flow > 0.000))",0.341,0.02
128,"G[0,0]((n_evts = 0.000 | MET < 0.000))","G[0,0]((MET < 0.000 | n_evts < 0.000))",0.443,0.01
129,"G[0,0]((ICU_Pt_Days > 0.000 | LOS = 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | s24_edrk > 0.000))",0.33,0.03
130,"G[0,0]((Mort > 0.000 | LOS > 0.000))","G[0,0]((LOS > 0.000 | Mort > 0.000))",0.333,0.01
131,"G[0,0]((Mort > 0.000 | LOS = 0.000))","G[0,0]((LOS > 0.000 | Mort < 0.000))",0.33,0.01
132,"G[0,0]((death < 0.000 | WHITE_BLOOD_CELL_COUNT = 0.000))","G[0,0]((death < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))",0.261,0.01
133,"G[0,0]((n_evts = 0.000 | ICU_Pt_Days = 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | n_evts < 0.000))",0.443,0.01
134,"G[0,0]((ICU_Pt_Days < 0.000 | Mort < 0.000))","G[0,0]((af > 0.000 | ICU_Pt_Days < 0.000))",0.364,0.03
135,"G[0,0]((direct < 0.000 | ICU_Pt_Days < 0.000))","G[0,0]((direct < 0.000 | SODIUM < 0.000))",0.443,0.03
136,"G[0,0]((ICU_Pt_Days = 0.000 | Mort < 0.000))","G[0,0]((af > 0.000 | ICU_Pt_Days < 0.000))",0.364,0.03
137,"G[0,0]((LOS > 0.000 | death < 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.333,0.04
138,"G[0,0]((TOTAL_PROTEIN = 0.000 | death = 0.000))","G[0,0]((CHLORIDE > 0.000 | death < 0.000))",0.261,0.01
139,"G[0,0]((Mort > 0.000 | Mort > 0.000))","G[0,0]((Glasgow_Coma_Scale_Total > 0.000 | Mort > 0.000))",0.214,0.02
140,"G[0,0]((ICU_Pt_Days < 0.000 | Mort > 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | Mort > 0.000))",0.364,0.01
141,"G[0,0]((ICU_Pt_Days = 0.000 | LOS < 0.000))","G[0,0]((af > 0.000 | ICU_Pt_Days < 0.000))",0.364,0.03
142,"G[0,0]((direct < 0.000 | ICU_Pt_Days = 0.000))","G[0,0]((direct < 0.000 | SODIUM < 0.000))",0.443,0.03
143,"G[0,0]((n_evts < 0.000 | LOS = 0.000))","G[0,0]((LOS < 0.000 | n_evts < 0.000))",0.443,0.01
144,"G[0,0]((GLUCOSE > 0.000 | LOS > 0.000))","G[0,0]((LOS > 0.000 | Resp > 0.000))",0.333,0.01
145,"G[0,0]((ICU_Pt_Days = 0.000 | ALBUMIN > 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | y < 0.000))",0.364,0.01
146,"G[0,0]((ICU_Pt_Days = 0.000 | MET = 0.000))","G[0,0]((af > 0.000 | ICU_Pt_Days < 0.000))",0.364,0.03
147,"G[0,0]((tte = 0.000 | n_evts = 0.000))","G[0,0]((n_evts < 0.000 | tte < 0.000))",0.443,0.01
148,"G[0,0]((tte < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((SODIUM > 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))",0.182,0.02
149,"G[0,0]((TOTAL_PROTEIN = 0.000 | direct < 0.000))","G[0,0]((direct < 0.000 | s24_hr < 0.000))",0.443,0.01
150,"G[0,0]((LOS = 0.000 | death < 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.33,0.04
151,"G[0,0]((GLUCOSE > 0.000 | MET < 0.000))","G[0,0]((MET < 0.000 | O2_Flow > 0.000))",0.227,0.01
152,"G[0,0]((ICU_Pt_Days > 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | n_evts < 0.000))",0.262,0.02
153,"G[0,0]((n_evts < 0.000 | tte < 0.000))","G[0,0]((n_evts < 0.000 | tte < 0.000))",0.443,0.01
154,"G[0,0]((Mort > 0.000 | ICU_Pt_Days < 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | Mort < 0.000))",0.364,0.01
155,"G[0,0]((n_evts = 0.000 | LOS = 0.000))","G[0,0]((LOS < 0.000 | n_evts < 0.000))",0.443,0.01
156,"G[0,0]((ICU_Pt_Days = 0.000 | tte = 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | tte < 0.000))",0.364,0.01
157,"G[0,0]((n_evts > 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | s24_edrk > 0.000))",0.262,0.03
158,"F[0,0]((s24_edrk < 0.000 & ALT_GPT < 0.000))","F[0,0]((ALT_GPT < 0.000 & y = 0.000))",0.104,0.05
159,"G[0,0]((Mort < 0.000 | LOS > 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.341,0.04
160,"G[0,0]((n_evts > 0.000 | LOS < 0.000))","G[0,0]((LOS < 0.000 | n_evts > 0.000))",0.33,0.02
161,"G[0,0]((LOS = 0.000 | tte = 0.000))","G[0,0]((af > 0.000 | LOS < 0.000))",0.33,0.02
162,"G[0,0]((Mort = 0.000 | death = 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.341,0.04
163,"G[0,0]((MET < 0.000 | y = 0.000))","G[0,0]((MET < 0.000 | y < 0.000))",0.375,0.01
164,"G[0,0]((LOS > 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.333,0.04
165,"G[0,0]((Mort > 0.000 | Mort < 0.000))","G[0,0]((Mort > 0.000 | n_evts < 0.000))",0.341,0.02
166,"G[0,0]((direct < 0.000 | n_evts > 0.000))","G[0,0]((direct < 0.000 | SODIUM < 0.000))",0.443,0.03
167,"G[0,0]((LOS = 0.000 | y < 0.000))","G[0,0]((MET > 0.000 | y < 0.000))",0.375,0.03
168,"G[0,0]((n_evts = 0.000 | n_evts = 0.000))","G[0,0]((n_evts < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))",0.443,0.02
169,"G[0,0]((ICU_Pt_Days > 0.000 | MET < 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | s24_edrk > 0.000))",0.262,0.03
170,"G[0,0]((tte < 0.000 | Mort = 0.000))","G[0,0]((CREATININE < 0.000 | Mort < 0.000))",0.341,0.02
171,"F[0,0]((death > 0.000 & ALT_GPT < 0.000))","F[0,0]((ALT_GPT < 0.000 & y = 0.000))",0.323,0.05
172,"G[0,0]((LOS = 0.000 | tte < 0.000))","G[0,0]((af > 0.000 | LOS < 0.000))",0.33,0.02
173,"G[0,0]((tte < 0.000 | ICU_Pt_Days = 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | tte < 0.000))",0.364,0.01
174,"G[0,0]((tte < 0.000 | n_evts = 0.000))","G[0,0]((n_evts < 0.000 | tte < 0.000))",0.443,0.01
175,"G[0,0]((tte = 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | n_evts < 0.000))",0.262,0.02
176,"G[0,0]((LOS = 0.000 | LOS > 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.333,0.04
177,"G[0,0]((Mort > 0.000 | ICU_Pt_Days > 0.000))","G[0,0]((ICU_Pt_Days > 0.000 | Mort > 0.000))",0.262,0.01
178,"G[0,0]((Mort > 0.000 | direct = 0.000))","G[0,0]((direct < 0.000 | y < 0.000))",0.443,0.02
179,"G[0,0]((tte < 0.000 | y = 0.000))","G[0,0]((tte < 0.000 | y < 0.000))",0.375,0.01
180,"G[0,0]((direct < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))","G[0,0]((direct < 0.000 | WHITE_BLOOD_CELL_COUNT < 0.000))",0.443,0.01
181,"G[0,0]((y = 0.000 | ICU_Pt_Days < 0.000))","G[0,0]((ICU_Pt_Days < 0.000 | y < 0.000))",0.375,0.01
182,"G[0,0]((TOTAL_PROTEIN = 0.000 | death < 0.000))","G[0,0]((CHLORIDE > 0.000 | death < 0.000))",0.261,0.01
183,"G[0,0]((tte = 0.000 | Mort < 0.000))","G[0,0]((CREATININE < 0.000 | Mort < 0.000))",0.341,0.02
184,"G[0,0]((death = 0.000 | n_evts > 0.000))","G[0,0]((death < 0.000 | LOS > 0.000))",0.261,0.04
185,"G[0,0]((n_evts > 0.000 | ALBUMIN > 0.000))","G[0,0]((CREATININE > 0.000 | n_evts > 0.000))",0.167,0.01
186,"G[0,0]((y < 0.000 | n_evts > 0.000))","G[0,0]((n_evts < 0.000 | y > 0.000))",0.375,0.01
187,"G[0,0]((LOS < 0.000 | Mort = 0.000))","G[0,0]((LOS < 0.000 | n_evts > 0.000))",0.341,0.02
188,"G[0,0]((y > 0.000 | direct = 0.000))","G[0,0]((direct > 0.000 | y < 0.000))",0.443,0.01
189,"G[0,0]((MET < 0.000 | death < 0.000))","G[0,0]((death < 0.000 | MET < 0.000))",0.261,0.01
190,"G[0,0]((ICU_Pt_Days > 0.000 | direct < 0.000))","G[0,0]((direct > 0.000 | ICU_Pt_Days < 0.000))",0.443,0.01
191,"G[0,0]((direct < 0.000 | MET = 0.000))","G[0,0]((direct < 0.000 | SODIUM < 0.000))",0.443,0.03
192,"G[0,0]((LOS = 0.000 | Mort < 0.000))","G[0,0]((LOS < 0.000 | n_evts > 0.000))",0.341,0.02
193,"G[0,0]((death = 0.000 | MET < 0.000))","G[0,0]((death < 0.000 | MET < 0.000))",0.261,0.01
194,"G[0,0]((MET < 0.000 | WHITE_BLOOD_CELL_COUNT = 0.000))","G[0,0]((edrk < 0.000 | MET < 0.000))",0.227,0.02
