,LDP Rule,Client Rule,LDP Count,Client Count
39,"F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((AF > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.333,0.03
40,"F[0,0]((LOS < 0.000 | direct > 0.000))","F[0,0]((direct > 0.000 | GLUCOSE < 0.000))",0.231,0.02
41,"F[0,0]((CHLORIDE = 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((CHLORIDE < 0.000 | WHITE_BLOOD_CELL_COUNT > 0.000))",0.044,0.01
42,"F[0,0]((O2_Flow < 0.000 | MET > 0.000))","F[0,0]((direct > 0.000 | MET > 0.000))",0.062,0.01
43,"F[0,0]((GLUCOSE < 0.000 | death > 0.000))","F[0,0]((death > 0.000 | tte < 0.000))",0.231,0.02
44,"F[0,0]((CHLORIDE = 0.000 | tte > 0.000))","F[0,0]((CHLORIDE < 0.000 | y > 0.000))",0.044,0.01
45,"F[0,0]((ICU_Pt_Days = 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((AF > 0.000 | ICU_Pt_Days < 0.000))",0.044,0.01
46,"F[0,0]((ICU_Pt_Days = 0.000 | ICU_Pt_Days < 0.000))","F[0,0]((AF > 0.000 | ICU_Pt_Days < 0.000))",0.044,0.01
47,"F[0,0]((PARTIAL_THROMBOPLASTIN_TIME > 0.000 | tte > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.015,0.01
48,"F[0,0]((O2_Flow > 0.000 | n_evts > 0.000))","F[0,0]((n_evts > 0.000 | O2_Flow > 0.000))",0.338,0.01
49,"F[0,0]((CHLORIDE < 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | Pulse > 0.000))",0.123,0.01
50,"F[0,0]((Pulse > 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((AF > 0.000 | ICU_Pt_Days > 0.000))",0.231,0.02
51,"F[0,0]((Temp < 0.000 | y > 0.000))","F[0,0]((CHLORIDE < 0.000 | y > 0.000))",0.246,0.01
52,"F[0,0]((GLUCOSE = 0.000 | death > 0.000))","F[0,0]((death > 0.000 | tte < 0.000))",0.231,0.02
53,"F[0,0]((BLOOD_UREA_NITROGEN < 0.000 | LOS < 0.000))","F[0,0]((LOS < 0.000 | Mort > 0.000))",0.067,0.01
54,"F[0,0]((tte = 0.000 | tte > 0.000))","F[0,0]((death > 0.000 | tte < 0.000))",0.244,0.02
55,"F[0,0]((death > 0.000 | Mort > 0.000))","F[0,0]((death > 0.000 | Mort > 0.000))",0.308,0.03
56,"F[0,0]((Temp = 0.000 | tte > 0.000))","F[0,0]((n_evts > 0.000 | Temp < 0.000))",0.022,0.01
57,"F[0,0]((GLUCOSE < 0.000 | tte > 0.000))","F[0,0]((direct > 0.000 | GLUCOSE < 0.000))",0.044,0.02
58,"F[0,0]((LOS < 0.000 | y > 0.000))","F[0,0]((direct > 0.000 | y > 0.000))",0.246,0.02
59,"F[0,0]((Mort > 0.000 | tte > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.308,0.01
60,"F[0,0]((O2_Flow > 0.000 | tte > 0.000))","F[0,0]((O2_Flow > 0.000 | tte < 0.000))",0.185,0.01
61,"F[0,0]((tte > 0.000 | tte > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.015,0.01
62,"F[0,0]((direct > 0.000 | LOS < 0.000))","F[0,0]((direct > 0.000 | GLUCOSE < 0.000))",0.231,0.02
63,"F[0,0]((LOS > 0.000 | death > 0.000))","F[0,0]((death > 0.000 | Mort > 0.000))",0.231,0.03
64,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 | direct > 0.000))","F[0,0]((direct > 0.000 | GLUCOSE < 0.000))",0.231,0.02
65,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 | y > 0.000))","F[0,0]((direct > 0.000 | y > 0.000))",0.246,0.02
66,"F[0,0]((CHLORIDE < 0.000 | y > 0.000))","F[0,0]((CHLORIDE < 0.000 | y > 0.000))",0.246,0.01
67,"F[0,0]((death > 0.000 | direct > 0.000))","F[0,0]((death > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.231,0.03
68,"F[0,0]((Resp = 0.000 | n_evts > 0.000))","F[0,0]((n_edrk < 0.000 | n_evts > 0.000))",0.338,0.01
69,"F[0,0]((CREATININE > 0.000 | tte > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.031,0.01
70,"F[0,0]((y > 0.000 | LOS < 0.000))","F[0,0]((direct > 0.000 | y > 0.000))",0.246,0.02
71,"F[0,0]((ICU_Pt_Days < 0.000 | MET > 0.000))","F[0,0]((AF > 0.000 | ICU_Pt_Days < 0.000))",0.062,0.01
72,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 | n_evts > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | n_evts > 0.000))",0.338,0.01
73,"F[0,0]((Resp = 0.000 | y > 0.000))","F[0,0]((Resp < 0.000 | y > 0.000))",0.246,0.01
74,"F[0,0]((HEMOGLOBIN > 0.000 | y > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | y > 0.000))",0.246,0.01
75,"F[0,0]((GLUCOSE < 0.000 | tte < 0.000))","F[0,0]((Mort > 0.000 | tte < 0.000))",0.244,0.02
76,"F[0,0]((tte < 0.000 | ICU_Pt_Days < 0.000))","F[0,0]((O2_Flow > 0.000 | tte < 0.000))",0.244,0.01
77,"F[0,0]((O2_Flow > 0.000 | Mort > 0.000))","F[0,0]((Mort > 0.000 | O2_Flow > 0.000))",0.308,0.01
78,"F[0,0]((GLUCOSE = 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((direct > 0.000 | ICU_Pt_Days > 0.000))",0.231,0.02
79,"F[0,0]((LOS = 0.000 | direct > 0.000))","F[0,0]((direct > 0.000 | GLUCOSE < 0.000))",0.231,0.02
80,"F[0,0]((Resp = 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((LOS > 0.000 | Resp < 0.000))",0.044,0.01
81,"F[0,0]((ICU_Pt_Days > 0.000 | n_evts > 0.000))","F[0,0]((ICU_Pt_Days > 0.000 | n_evts > 0.000))",0.338,0.02
82,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 | tte > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | tte < 0.000))",0.333,0.01
83,"F[0,0]((MET > 0.000 | death > 0.000))","F[0,0]((death > 0.000 | LOS < 0.000))",0.231,0.01
84,"F[0,0]((HEMOGLOBIN > 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((CREATININE > 0.000 | ICU_Pt_Days > 0.000))",0.231,0.01
85,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 | MET > 0.000))","F[0,0]((BLOOD_UREA_NITROGEN < 0.000 | O2_Flow > 0.000))",0.062,0.01
86,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 | death > 0.000))","F[0,0]((death > 0.000 | tte < 0.000))",0.231,0.02
87,"F[0,0]((Resp < 0.000 | tte < 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | tte < 0.000))",0.244,0.01
88,"F[0,0]((direct > 0.000 | tte < 0.000))","F[0,0]((direct > 0.000 | ICU_Pt_Days > 0.000))",0.244,0.02
89,"F[0,0]((tte = 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | O2_Flow > 0.000))",0.244,0.02
90,"F[0,0]((tte < 0.000 | MET > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | tte < 0.000))",0.244,0.01
91,"F[0,0]((tte > 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | tte < 0.000))",0.123,0.01
92,"F[0,0]((ICU_Pt_Days = 0.000 | death > 0.000))","F[0,0]((death > 0.000 | tte < 0.000))",0.231,0.02
93,"F[0,0]((n_evts > 0.000 | tte < 0.000))","F[0,0]((death > 0.000 | n_evts > 0.000))",0.338,0.02
94,"F[0,0]((PARTIAL_THROMBOPLASTIN_TIME > 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((CREATININE > 0.000 | ICU_Pt_Days > 0.000))",0.231,0.01
95,"F[0,0]((O2_Flow = 0.000 | tte > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.022,0.01
96,"F[0,0]((GLUCOSE < 0.000 | y > 0.000))","F[0,0]((direct > 0.000 | y > 0.000))",0.246,0.02
97,"F[0,0]((MET > 0.000 | direct > 0.000))","F[0,0]((direct > 0.000 | MET > 0.000))",0.231,0.01
98,"F[0,0]((CHLORIDE = 0.000 | MET > 0.000))","F[0,0]((CHLORIDE < 0.000 | WHITE_BLOOD_CELL_COUNT > 0.000))",0.062,0.01
99,"F[0,0]((LOS < 0.000 | LOS > 0.000))","F[0,0]((LOS < 0.000 | Mort > 0.000))",0.123,0.01
100,"F[0,0]((O2_Flow < 0.000 | tte > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.022,0.01
101,"F[0,0]((tte > 0.000 | MET > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.062,0.01
102,"F[0,0]((ALKALINE_PHOSPHATASE > 0.000 | tte > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.015,0.01
103,"F[0,0]((n_evts > 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((n_edrk < 0.000 | n_evts > 0.000))",0.338,0.01
104,"F[0,0]((O2_Flow < 0.000 | n_evts > 0.000))","F[0,0]((n_evts > 0.000 | O2_Flow > 0.000))",0.338,0.01
105,"F[0,0]((CHLORIDE = 0.000 | direct > 0.000))","F[0,0]((direct > 0.000 | GLUCOSE < 0.000))",0.231,0.02
106,"F[0,0]((Mort > 0.000 | Mort > 0.000))","F[0,0]((Mort > 0.000 | y > 0.000))",0.308,0.03
107,"F[0,0]((CALCIUM = 0.000 | LOS < 0.000))","F[0,0]((death > 0.000 | LOS < 0.000))",0.067,0.01
108,"F[0,0]((MET > 0.000 | tte < 0.000))","F[0,0]((MET > 0.000 | tte < 0.000))",0.244,0.01
109,"F[0,0]((ICU_Pt_Days > 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((ICU_Pt_Days > 0.000 | WHITE_BLOOD_CELL_COUNT > 0.000))",0.231,0.01
110,"F[0,0]((CREATININE > 0.000 | n_evts > 0.000))","F[0,0]((n_evts > 0.000 | POTASSIUM > 0.000))",0.338,0.01
111,"F[0,0]((CALCIUM = 0.000 | MET > 0.000))","F[0,0]((CALCIUM < 0.000 | HEMOGLOBIN < 0.000))",0.062,0.01
112,"F[0,0]((CHLORIDE = 0.000 | tte < 0.000))","F[0,0]((O2_Flow > 0.000 | tte < 0.000))",0.244,0.01
113,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 | LOS < 0.000))","F[0,0]((LOS < 0.000 | Mort > 0.000))",0.067,0.01
114,"F[0,0]((n_evts > 0.000 | LOS < 0.000))","F[0,0]((death > 0.000 | n_evts > 0.000))",0.338,0.02
115,"F[0,0]((direct > 0.000 | death > 0.000))","F[0,0]((death > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.231,0.03
116,"F[0,0]((death > 0.000 | n_evts > 0.000))","F[0,0]((death > 0.000 | n_evts > 0.000))",0.338,0.02
117,"F[0,0]((ALKALINE_PHOSPHATASE > 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | Resp < 0.000))",0.123,0.01
118,"F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | death > 0.000))","F[0,0]((death > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.333,0.03
119,"F[0,0]((O2_Flow < 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | O2_Flow > 0.000))",0.123,0.02
120,"F[0,0]((direct > 0.000 | y > 0.000))","F[0,0]((direct > 0.000 | y > 0.000))",0.246,0.02
121,"F[0,0]((GLUCOSE < 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | O2_Flow > 0.000))",0.123,0.02
122,"F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | tte > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | tte < 0.000))",0.333,0.01
123,"F[0,0]((CHLORIDE < 0.000 | n_evts > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | n_evts > 0.000))",0.338,0.01
124,"F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((ALKALINE_PHOSPHATASE > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.333,0.01
125,"F[0,0]((PARTIAL_THROMBOPLASTIN_TIME > 0.000 | LOS > 0.000))","F[0,0]((af > 0.000 | LOS > 0.000))",0.123,0.01
126,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 | y > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | y > 0.000))",0.333,0.01
127,"F[0,0]((tte > 0.000 | tte < 0.000))","F[0,0]((death > 0.000 | tte < 0.000))",0.244,0.02
128,"F[0,0]((Resp = 0.000 | tte < 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | tte < 0.000))",0.244,0.01
129,"F[0,0]((O2_Flow = 0.000 | Mort > 0.000))","F[0,0]((Mort > 0.000 | O2_Flow > 0.000))",0.308,0.01
130,"F[0,0]((CREATININE > 0.000 | ICU_Pt_Days < 0.000))","F[0,0]((CREATININE > 0.000 | ICU_Pt_Days > 0.000))",0.044,0.01
131,"F[0,0]((Mort > 0.000 | LOS < 0.000))","F[0,0]((LOS < 0.000 | Mort > 0.000))",0.308,0.01
132,"F[0,0]((n_evts > 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | n_evts > 0.000))",0.338,0.01
133,"F[0,0]((Temp = 0.000 | n_evts > 0.000))","F[0,0]((n_evts > 0.000 | Temp < 0.000))",0.338,0.01
134,"F[0,0]((n_evts > 0.000 | Mort > 0.000))","F[0,0]((Mort > 0.000 | n_evts > 0.000))",0.338,0.02
135,"F[0,0]((LOS > 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((LOS > 0.000 | Resp < 0.000))",0.123,0.01
136,"F[0,0]((tte = 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((direct > 0.000 | ICU_Pt_Days > 0.000))",0.244,0.02
137,"F[0,0]((death > 0.000 | tte < 0.000))","F[0,0]((death > 0.000 | tte < 0.000))",0.244,0.02
138,"F[0,0]((Mort > 0.000 | n_evts > 0.000))","F[0,0]((Mort > 0.000 | n_evts > 0.000))",0.338,0.02
139,"F[0,0]((Temp = 0.000 | MET > 0.000))","F[0,0]((n_evts > 0.000 | Temp < 0.000))",0.062,0.01
140,"F[0,0]((tte = 0.000 | n_evts > 0.000))","F[0,0]((death > 0.000 | n_evts > 0.000))",0.338,0.02
141,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((ALKALINE_PHOSPHATASE > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.333,0.01
142,"F[0,0]((tte = 0.000 | Mort > 0.000))","F[0,0]((Mort > 0.000 | n_evts > 0.000))",0.308,0.02
143,"F[0,0]((tte = 0.000 | LOS < 0.000))","F[0,0]((Mort > 0.000 | tte < 0.000))",0.244,0.02
144,"F[0,0]((HEMOGLOBIN > 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((ALKALINE_PHOSPHATASE > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.031,0.01
145,"F[0,0]((Pulse > 0.000 | Mort > 0.000))","F[0,0]((Mort > 0.000 | s24_edrk < 0.000))",0.308,0.01
146,"F[0,0]((BLOOD_UREA_NITROGEN < 0.000 | tte < 0.000))","F[0,0]((O2_Flow > 0.000 | tte < 0.000))",0.244,0.01
147,"F[0,0]((ICU_Pt_Days = 0.000 | tte > 0.000))","F[0,0]((AF > 0.000 | ICU_Pt_Days < 0.000))",0.044,0.01
148,"F[0,0]((y > 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((CHLORIDE < 0.000 | y > 0.000))",0.246,0.01
149,"F[0,0]((CHLORIDE = 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | Pulse > 0.000))",0.123,0.01
150,"F[0,0]((Mort > 0.000 | ICU_Pt_Days < 0.000))","F[0,0]((af > 0.000 | Mort > 0.000))",0.308,0.01
151,"F[0,0]((tte = 0.000 | tte < 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | tte < 0.000))",0.244,0.01
152,"F[0,0]((tte < 0.000 | tte < 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | tte < 0.000))",0.244,0.01
153,"F[0,0]((LOS = 0.000 | tte < 0.000))","F[0,0]((Mort > 0.000 | tte < 0.000))",0.244,0.02
154,"F[0,0]((CHLORIDE = 0.000 | Mort > 0.000))","F[0,0]((af > 0.000 | Mort > 0.000))",0.308,0.01
155,"F[0,0]((MET > 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | MET > 0.000))",0.123,0.01
156,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((AF > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.333,0.03
157,"F[0,0]((GLUCOSE = 0.000 | tte < 0.000))","F[0,0]((Mort > 0.000 | tte < 0.000))",0.244,0.02
158,"F[0,0]((Resp < 0.000 | ICU_Pt_Days < 0.000))","F[0,0]((AF > 0.000 | ICU_Pt_Days < 0.000))",0.044,0.01
159,"F[0,0]((MET > 0.000 | Mort > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.308,0.01
160,"F[0,0]((CALCIUM < 0.000 | tte > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.044,0.01
161,"F[0,0]((PARTIAL_THROMBOPLASTIN_TIME > 0.000 | ALKALINE_PHOSPHATASE > 0.000))","F[0,0]((ALKALINE_PHOSPHATASE > 0.000 | Glasgow_Coma_Scale_Total < 0.000))",0.015,0.01
162,"F[0,0]((tte > 0.000 | LOS < 0.000))","F[0,0]((LOS > 0.000 | tte < 0.000))",0.067,0.01
163,"F[0,0]((Pulse > 0.000 | direct > 0.000))","F[0,0]((direct > 0.000 | Pulse > 0.000))",0.231,0.01
164,"F[0,0]((LOS > 0.000 | tte > 0.000))","F[0,0]((LOS > 0.000 | tte < 0.000))",0.123,0.01
165,"F[0,0]((y > 0.000 | tte > 0.000))","F[0,0]((CHLORIDE < 0.000 | y > 0.000))",0.246,0.01
166,"F[0,0]((CHLORIDE < 0.000 | direct > 0.000))","F[0,0]((direct > 0.000 | GLUCOSE < 0.000))",0.231,0.02
167,"F[0,0]((O2_Flow > 0.000 | ICU_Pt_Days < 0.000))","F[0,0]((O2_Flow > 0.000 | SODIUM > 0.000))",0.185,0.01
168,"F[0,0]((BLOOD_UREA_NITROGEN = 0.000 | tte < 0.000))","F[0,0]((O2_Flow > 0.000 | tte < 0.000))",0.244,0.01
169,"F[0,0]((HEMOGLOBIN > 0.000 | death > 0.000))","F[0,0]((death > 0.000 | HEMOGLOBIN < 0.000))",0.231,0.01
170,"F[0,0]((LOS < 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((AF > 0.000 | ICU_Pt_Days > 0.000))",0.231,0.02
171,"F[0,0]((direct > 0.000 | direct > 0.000))","F[0,0]((direct > 0.000 | n_evts > 0.000))",0.231,0.02
172,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 | Mort > 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | Mort > 0.000))",0.333,0.02
173,"F[0,0]((O2_Flow > 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | O2_Flow > 0.000))",0.185,0.02
174,"F[0,0]((Temp = 0.000 | LOS < 0.000))","F[0,0]((LOS < 0.000 | Mort > 0.000))",0.067,0.01
175,"F[0,0]((Temp = 0.000 | tte < 0.000))","F[0,0]((LOS > 0.000 | tte < 0.000))",0.244,0.01
176,"F[0,0]((O2_Flow = 0.000 | death > 0.000))","F[0,0]((death > 0.000 | HEMOGLOBIN < 0.000))",0.231,0.01
177,"F[0,0]((LOS < 0.000 | tte > 0.000))","F[0,0]((death > 0.000 | LOS < 0.000))",0.067,0.01
178,"F[0,0]((ICU_Pt_Days < 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((ICU_Pt_Days < 0.000 | Mort > 0.000))",0.231,0.01
179,"F[0,0]((ICU_Pt_Days > 0.000 | tte < 0.000))","F[0,0]((ICU_Pt_Days > 0.000 | tte < 0.000))",0.244,0.01
180,"F[0,0]((Resp < 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((ICU_Pt_Days > 0.000 | WHITE_BLOOD_CELL_COUNT > 0.000))",0.231,0.01
181,"F[0,0]((Resp < 0.000 | Mort > 0.000))","F[0,0]((Mort > 0.000 | tte > 0.000))",0.308,0.01
182,"F[0,0]((death > 0.000 | tte > 0.000))","F[0,0]((death > 0.000 | tte < 0.000))",0.231,0.02
183,"F[0,0]((death > 0.000 | ICU_Pt_Days > 0.000))","F[0,0]((death > 0.000 | ICU_Pt_Days > 0.000))",0.231,0.01
184,"F[0,0]((Resp = 0.000 | LOS > 0.000))","F[0,0]((LOS > 0.000 | Resp < 0.000))",0.123,0.01
185,"F[0,0]((LOS < 0.000 | MET > 0.000))","F[0,0]((death > 0.000 | LOS < 0.000))",0.067,0.01
186,"F[0,0]((Temp < 0.000 | death > 0.000))","F[0,0]((death > 0.000 | tte < 0.000))",0.231,0.02
187,"F[0,0]((Glasgow_Coma_Scale_Total = 0.000 | LOS < 0.000))","F[0,0]((Glasgow_Coma_Scale_Total < 0.000 | Mort > 0.000))",0.333,0.02
