,Initial Rule Trees
52,"(y <= ?) U[?,?] (CREATININE >= ?)"
53,"(O2_Flow >= ?) U[?,?] (cosen >= ?)"
54,"(dfa >= ?) U[?,?] (LOS >= ?)"
55,"(LOS <= ?) U[?,?] (Resp <= ?)"
56,"G[?,?](Mort <= ? -> MET <= ?)"
57,"(lds <= ?) U[?,?] (LOS <= ?)"
58,"G[?,?](PLATELET_COUNT >= ? | Temp >= ?)"
59,"(PLATELET_COUNT >= ?) U[?,?] (SpO2 <= ?)"
60,"(ICU_Pt_Days >= ?) U[?,?] (O2_Flow >= ?)"
61,"G[?,?](y <= ? -> hr <= ?)"
62,"G[?,?](SpO2 >= ? | BLOOD_UREA_NITROGEN >= ?)"
63,"(AF >= ?) U[?,?] (n_edrk >= ?)"
64,"G[?,?](direct <= ? -> O2_Flow >= ?)"
65,"(edrk <= ?) U[?,?] (LOS <= ?)"
66,"G[?,?](BLOOD_UREA_NITROGEN <= ? | ICU_Pt_Days >= ?)"
67,"G[?,?](POTASSIUM >= ? | LOS >= ?)"
68,"G[?,?](SBP <= ? -> MET >= ?)"
69,"G[?,?](CALCIUM <= ? | Glasgow_Coma_Scale_Total <= ?)"
70,"(CO2 >= ?) U[?,?] (Mort <= ?)"
71,"G[?,?](PLATELET_COUNT <= ? -> SpO2 >= ?)"
72,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (LOS <= ?)"
73,"G[?,?](BLOOD_UREA_NITROGEN >= ? | Mort >= ?)"
74,"(hr <= ?) U[?,?] (n_edrk <= ?)"
75,"(Temp <= ?) U[?,?] (AF >= ?)"
76,"(Mort <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
77,"F[?,?](y >= ? -> n_evts >= ?)"
78,"(WHITE_BLOOD_CELL_COUNT <= ?) U[?,?] (PLATELET_COUNT >= ?)"
79,"(GLUCOSE >= ?) U[?,?] (GLUCOSE >= ?)"
80,"(SpO2 <= ?) U[?,?] (tte >= ?)"
81,"G[?,?](PHOSPHORUS <= ? -> death <= ?)"
82,"(edrk >= ?) U[?,?] (dfa <= ?)"
83,"(MAGNESIUM >= ?) U[?,?] (Temp >= ?)"
84,"G[?,?](BLOOD_UREA_NITROGEN <= ? -> Mort <= ?)"
85,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (edrk <= ?)"
86,"G[?,?](MAGNESIUM >= ? -> Temp >= ?)"
87,"(O2_Flow >= ?) U[?,?] (Pulse >= ?)"
88,"(s8_hr <= ?) U[?,?] (Temp <= ?)"
89,"(death >= ?) U[?,?] (CALCIUM <= ?)"
90,"(SpO2 >= ?) U[?,?] (af <= ?)"
91,"(s8_edrk <= ?) U[?,?] (SBP <= ?)"
92,"(AF >= ?) U[?,?] (af <= ?)"
93,"G[?,?](SODIUM <= ? | HEMOGLOBIN >= ?)"
94,"(Resp <= ?) U[?,?] (death <= ?)"
95,"G[?,?](SODIUM <= ? | POTASSIUM <= ?)"
96,"G[?,?](ICU_Pt_Days <= ? & Pulse >= ?)"
97,"(CREATININE >= ?) U[?,?] (LOS <= ?)"
98,"G[?,?](BLOOD_UREA_NITROGEN >= ? | Temp >= ?)"
99,"G[?,?](SODIUM >= ? -> Pulse <= ?)"
100,"G[?,?](SBP <= ? | LOS <= ?)"
101,"G[?,?](WHITE_BLOOD_CELL_COUNT <= ? | CREATININE <= ?)"
102,"G[?,?](hr <= ? | CHLORIDE >= ?)"
103,"(Pulse <= ?) U[?,?] (Resp >= ?)"
104,"G[?,?](CALCIUM <= ? -> SpO2 <= ?)"
105,"G[?,?](n_evts <= ? | direct <= ?)"
106,"(cosen <= ?) U[?,?] (n_edrk >= ?)"
107,"(edrk <= ?) U[?,?] (Temp >= ?)"
108,"G[?,?](CREATININE >= ? -> Resp <= ?)"
109,"G[?,?](Temp >= ? -> Pulse <= ?)"
110,"G[?,?](Glasgow_Coma_Scale_Total <= ? -> SpO2 >= ?)"
111,"(s8_edrk >= ?) U[?,?] (dfa >= ?)"
112,"(CALCIUM <= ?) U[?,?] (n_evts >= ?)"
113,"G[?,?](BLOOD_UREA_NITROGEN <= ? -> CALCIUM >= ?)"
114,"(MET >= ?) U[?,?] (dfa >= ?)"
115,"(CALCIUM >= ?) U[?,?] (ICU_Pt_Days >= ?)"
116,"(hr <= ?) U[?,?] (direct >= ?)"
117,"(BLOOD_UREA_NITROGEN >= ?) U[?,?] (n_evts >= ?)"
118,"G[?,?](CALCIUM >= ? -> BLOOD_UREA_NITROGEN <= ?)"
119,"(y >= ?) U[?,?] (s24_hr <= ?)"
120,"(af <= ?) U[?,?] (edrk >= ?)"
121,"G[?,?](death >= ? | MAGNESIUM >= ?)"
122,"G[?,?](SBP >= ? -> direct <= ?)"
123,"(CREATININE <= ?) U[?,?] (tte >= ?)"
124,"(dfa >= ?) U[?,?] (af >= ?)"
125,"G[?,?](s8_hr <= ? | PHOSPHORUS <= ?)"
126,"G[?,?](SBP >= ? -> BLOOD_UREA_NITROGEN >= ?)"
127,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (af <= ?)"
128,"G[?,?](death >= ? | n_evts >= ?)"
129,"G[?,?](s2_edrk <= ? -> Temp >= ?)"
130,"(PLATELET_COUNT >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
131,"(cosen >= ?) U[?,?] (s8_edrk <= ?)"
132,"F[?,?](Resp <= ? & ICU_Pt_Days >= ?)"
133,"G[?,?](death >= ? -> Temp >= ?)"
134,"G[?,?](ICU_Pt_Days <= ? -> Resp <= ?)"
135,"(s24_hr <= ?) U[?,?] (SBP >= ?)"
136,"G[?,?](y <= ? | Temp >= ?)"
137,"F[?,?](LOS <= ? & n_evts >= ?)"
138,"(O2_Flow >= ?) U[?,?] (lds <= ?)"
139,"(CREATININE <= ?) U[?,?] (direct >= ?)"
140,"G[?,?](CHLORIDE >= ? | ICU_Pt_Days >= ?)"
141,"G[?,?](SODIUM >= ? -> Pulse >= ?)"
142,"(edrk <= ?) U[?,?] (AF >= ?)"
143,"G[?,?](Glasgow_Coma_Scale_Total <= ? | MET >= ?)"
144,"G[?,?](PLATELET_COUNT >= ? | CO2 >= ?)"
145,"(lds >= ?) U[?,?] (dfa <= ?)"
146,"G[?,?](BLOOD_UREA_NITROGEN <= ? -> death >= ?)"
147,"(n_evts >= ?) U[?,?] (GLUCOSE >= ?)"
148,"(CALCIUM <= ?) U[?,?] (ICU_Pt_Days >= ?)"
149,"G[?,?](Pulse <= ? -> CREATININE >= ?)"
150,"G[?,?](MAGNESIUM >= ? -> BLOOD_UREA_NITROGEN >= ?)"
151,"(direct <= ?) U[?,?] (s24_edrk >= ?)"
152,"G[?,?](SBP >= ? | BLOOD_UREA_NITROGEN <= ?)"
153,"(MET <= ?) U[?,?] (Mort <= ?)"
154,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (hr >= ?)"
155,"G[?,?](SODIUM <= ? | Pulse >= ?)"
156,"G[?,?](HEMOGLOBIN >= ? | MET >= ?)"
157,"(s24_hr <= ?) U[?,?] (CHLORIDE <= ?)"
158,"(Mort <= ?) U[?,?] (dfa <= ?)"
159,"(AF >= ?) U[?,?] (tte <= ?)"
160,"G[?,?](n_evts >= ? | Glasgow_Coma_Scale_Total <= ?)"
161,"(tte >= ?) U[?,?] (SBP <= ?)"
162,"(dfa <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
163,"G[?,?](POTASSIUM >= ? | O2_Flow <= ?)"
164,"(MAGNESIUM >= ?) U[?,?] (n_edrk >= ?)"
165,"(lds >= ?) U[?,?] (CALCIUM >= ?)"
166,"G[?,?](y <= ? | BLOOD_UREA_NITROGEN >= ?)"
167,"(dfa <= ?) U[?,?] (Temp <= ?)"
168,"G[?,?](y <= ? -> SBP >= ?)"
169,"F[?,?](Pulse >= ? & Pulse >= ?)"
170,"(Resp >= ?) U[?,?] (O2_Flow >= ?)"
171,"(SpO2 <= ?) U[?,?] (SpO2 <= ?)"
172,"G[?,?](Pulse <= ? | GLUCOSE <= ?)"
173,"(direct >= ?) U[?,?] (y >= ?)"
174,"G[?,?](n_evts >= ? -> SBP <= ?)"
175,"(CREATININE >= ?) U[?,?] (hr >= ?)"
176,"(direct >= ?) U[?,?] (CHLORIDE <= ?)"
177,"G[?,?](ICU_Pt_Days <= ? | MAGNESIUM >= ?)"
178,"(cosen >= ?) U[?,?] (Mort >= ?)"
179,"G[?,?](Mort <= ? | Temp >= ?)"
180,"G[?,?](ICU_Pt_Days >= ? -> y <= ?)"
181,"G[?,?](s8_hr <= ? | Resp <= ?)"
182,"G[?,?](LOS >= ? & SBP <= ?)"
183,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (PHOSPHORUS >= ?)"
184,"(MET >= ?) U[?,?] (s8_edrk >= ?)"
185,"G[?,?](CO2 >= ? | PHOSPHORUS <= ?)"
186,"G[?,?](death <= ? | Glasgow_Coma_Scale_Total <= ?)"
187,"G[?,?](MET <= ? | Glasgow_Coma_Scale_Total >= ?)"
188,"(hr <= ?) U[?,?] (BLOOD_UREA_NITROGEN <= ?)"
189,"(lds >= ?) U[?,?] (Temp >= ?)"
190,"G[?,?](LOS >= ? -> n_edrk <= ?)"
191,"G[?,?](SBP >= ? | Resp <= ?)"
192,"(Temp >= ?) U[?,?] (s24_edrk >= ?)"
193,"G[?,?](GLUCOSE <= ? | direct <= ?)"
194,"(s8_edrk >= ?) U[?,?] (lds >= ?)"
195,"(s24_hr <= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
196,"(PLATELET_COUNT >= ?) U[?,?] (death >= ?)"
197,"(Glasgow_Coma_Scale_Total <= ?) U[?,?] (lds >= ?)"
198,"(O2_Flow <= ?) U[?,?] (direct <= ?)"
199,"G[?,?](O2_Flow <= ? | CALCIUM <= ?)"
200,"G[?,?](y <= ? -> SpO2 >= ?)"
201,"(dfa >= ?) U[?,?] (srr <= ?)"
202,"G[?,?](Pulse <= ? | Mort <= ?)"
203,"G[?,?](tte >= ? | MET <= ?)"
204,"G[?,?](Pulse >= ? -> CREATININE >= ?)"
205,"G[?,?](Pulse >= ? | CREATININE <= ?)"
206,"G[?,?](Pulse >= ? -> ICU_Pt_Days <= ?)"
207,"(GLUCOSE >= ?) U[?,?] (Pulse >= ?)"
208,"G[?,?](PLATELET_COUNT <= ? | MET <= ?)"
209,"G[?,?](LOS >= ? -> n_evts <= ?)"
210,"(HEMOGLOBIN >= ?) U[?,?] (CHLORIDE <= ?)"
211,"G[?,?](MET >= ? | PLATELET_COUNT <= ?)"
212,"(direct <= ?) U[?,?] (O2_Flow <= ?)"
213,"G[?,?](O2_Flow >= ? | Pulse <= ?)"
214,"G[?,?](s8_hr >= ? | Mort <= ?)"
215,"G[?,?](MAGNESIUM >= ? -> MET >= ?)"
216,"(CO2 >= ?) U[?,?] (BLOOD_UREA_NITROGEN >= ?)"
217,"(CHLORIDE <= ?) U[?,?] (s8_hr <= ?)"
218,"(AF >= ?) U[?,?] (CALCIUM <= ?)"
219,"G[?,?](death <= ? -> HEMOGLOBIN <= ?)"
220,"G[?,?](SpO2 >= ? -> n_edrk <= ?)"
221,"(s24_edrk >= ?) U[?,?] (Temp <= ?)"
222,"G[?,?](SODIUM <= ? | tte <= ?)"
223,"(SpO2 <= ?) U[?,?] (hr >= ?)"
224,"G[?,?](direct <= ? | Mort <= ?)"
225,"(death >= ?) U[?,?] (af <= ?)"
226,"F[?,?](LOS <= ? & SBP >= ?)"
227,"G[?,?](Temp >= ? & direct <= ?)"
228,"G[?,?](death >= ? | LOS <= ?)"
229,"G[?,?](O2_Flow >= ? -> death <= ?)"
230,"G[?,?](BLOOD_UREA_NITROGEN >= ? | POTASSIUM <= ?)"
231,"G[?,?](O2_Flow <= ? | direct >= ?)"
232,"(BLOOD_UREA_NITROGEN <= ?) U[?,?] (O2_Flow <= ?)"
233,"G[?,?](LOS >= ? -> ICU_Pt_Days <= ?)"
234,"G[?,?](O2_Flow <= ? -> Glasgow_Coma_Scale_Total >= ?)"
235,"(death >= ?) U[?,?] (LOS <= ?)"
236,"(hr >= ?) U[?,?] (s24_hr <= ?)"
237,"(hr <= ?) U[?,?] (MET <= ?)"
238,"G[?,?](SBP >= ? | MET <= ?)"
239,"G[?,?](LOS <= ? -> CREATININE <= ?)"
240,"G[?,?](Resp >= ? | Temp <= ?)"
241,"G[?,?](ICU_Pt_Days >= ? -> Temp >= ?)"
242,"(death >= ?) U[?,?] (CREATININE >= ?)"
243,"G[?,?](direct >= ? | PHOSPHORUS <= ?)"
244,"G[?,?](BLOOD_UREA_NITROGEN <= ? -> direct >= ?)"
245,"G[?,?](GLUCOSE <= ? -> LOS <= ?)"
246,"G[?,?](PHOSPHORUS <= ? | GLUCOSE <= ?)"
247,"G[?,?](CHLORIDE <= ? | CHLORIDE <= ?)"
248,"(LOS <= ?) U[?,?] (O2_Flow >= ?)"
249,"(ICU_Pt_Days >= ?) U[?,?] (LOS <= ?)"
250,"G[?,?](CO2 <= ? | PHOSPHORUS >= ?)"
251,"G[?,?](CHLORIDE <= ? | MET <= ?)"
252,"G[?,?](y <= ? | POTASSIUM >= ?)"
253,"G[?,?](ICU_Pt_Days >= ? -> CREATININE <= ?)"
254,"G[?,?](CREATININE >= ? | MET <= ?)"
255,"G[?,?](SpO2 <= ? | PLATELET_COUNT <= ?)"
256,"G[?,?](LOS >= ? | SODIUM <= ?)"
257,"G[?,?](y >= ? | O2_Flow <= ?)"
258,"G[?,?](SODIUM >= ? | POTASSIUM <= ?)"
259,"F[?,?](O2_Flow >= ? & Resp <= ?)"
260,"(SpO2 >= ?) U[?,?] (PLATELET_COUNT >= ?)"
261,"(death >= ?) U[?,?] (MAGNESIUM >= ?)"
262,"(tte <= ?) U[?,?] (s8_hr <= ?)"
263,"(dfa <= ?) U[?,?] (Mort <= ?)"
264,"(s8_edrk >= ?) U[?,?] (LOS <= ?)"
265,"G[?,?](CO2 >= ? | death <= ?)"
266,"G[?,?](n_evts >= ? | SODIUM >= ?)"
267,"(death <= ?) U[?,?] (MET >= ?)"
268,"G[?,?](y >= ? | direct >= ?)"
269,"(Temp >= ?) U[?,?] (GLUCOSE >= ?)"
270,"G[?,?](O2_Flow <= ? -> HEMOGLOBIN >= ?)"
271,"G[?,?](Temp >= ? | death >= ?)"
272,"G[?,?](PLATELET_COUNT <= ? -> PLATELET_COUNT <= ?)"
273,"(dfa >= ?) U[?,?] (cosen <= ?)"
274,"(LOS <= ?) U[?,?] (dfa <= ?)"
275,"G[?,?](Resp <= ? | MET >= ?)"
276,"(Temp <= ?) U[?,?] (edrk <= ?)"
277,"G[?,?](SpO2 <= ? | n_evts >= ?)"
278,"G[?,?](CHLORIDE >= ? | s24_hr <= ?)"
279,"(ICU_Pt_Days >= ?) U[?,?] (death <= ?)"
280,"(edrk <= ?) U[?,?] (CALCIUM <= ?)"
281,"F[?,?](CREATININE >= ? & CREATININE >= ?)"
282,"G[?,?](n_evts >= ? -> Mort >= ?)"
283,"(Mort <= ?) U[?,?] (MET <= ?)"
284,"G[?,?](Temp <= ? | POTASSIUM <= ?)"
285,"G[?,?](LOS <= ? -> direct <= ?)"
286,"G[?,?](y <= ? | death >= ?)"
287,"G[?,?](n_edrk <= ? | death >= ?)"
288,"(hr >= ?) U[?,?] (CO2 >= ?)"
289,"G[?,?](Glasgow_Coma_Scale_Total >= ? -> Glasgow_Coma_Scale_Total >= ?)"
290,"(CO2 >= ?) U[?,?] (SpO2 <= ?)"
291,"(cosen >= ?) U[?,?] (MET >= ?)"
292,"(af >= ?) U[?,?] (cosen >= ?)"
293,"G[?,?](direct >= ? -> ICU_Pt_Days <= ?)"
294,"G[?,?](PLATELET_COUNT <= ? -> O2_Flow >= ?)"
295,"(dfa <= ?) U[?,?] (Resp <= ?)"
296,"(CREATININE <= ?) U[?,?] (direct <= ?)"
297,"(AF >= ?) U[?,?] (dfa >= ?)"
298,"(n_edrk >= ?) U[?,?] (AF >= ?)"
299,"(Pulse <= ?) U[?,?] (s8_hr <= ?)"
300,"G[?,?](SBP >= ? | Resp >= ?)"
301,"G[?,?](BLOOD_UREA_NITROGEN >= ? | CHLORIDE <= ?)"
302,"(death >= ?) U[?,?] (PLATELET_COUNT >= ?)"
303,"G[?,?](n_edrk <= ? | CHLORIDE >= ?)"
304,"(CREATININE >= ?) U[?,?] (AF >= ?)"
305,"G[?,?](PLATELET_COUNT >= ? | POTASSIUM >= ?)"
306,"(MET <= ?) U[?,?] (Pulse >= ?)"
307,"(LOS >= ?) U[?,?] (SBP >= ?)"
308,"G[?,?](BLOOD_UREA_NITROGEN >= ? | PLATELET_COUNT >= ?)"
309,"(dfa <= ?) U[?,?] (Temp >= ?)"
310,"G[?,?](SODIUM >= ? -> PLATELET_COUNT <= ?)"
311,"(n_evts >= ?) U[?,?] (y >= ?)"
312,"G[?,?](direct <= ? | SODIUM >= ?)"
313,"G[?,?](s8_hr >= ? | death <= ?)"
314,"G[?,?](Pulse <= ? -> Temp <= ?)"
315,"G[?,?](direct >= ? -> SODIUM >= ?)"
316,"G[?,?](CHLORIDE >= ? | SpO2 <= ?)"
317,"(direct >= ?) U[?,?] (PLATELET_COUNT >= ?)"
318,"(LOS <= ?) U[?,?] (SBP >= ?)"
319,"G[?,?](n_evts <= ? | ICU_Pt_Days <= ?)"
320,"G[?,?](MET <= ? | CHLORIDE <= ?)"
321,"G[?,?](LOS >= ? | tte >= ?)"
322,"(BLOOD_UREA_NITROGEN <= ?) U[?,?] (SBP >= ?)"
323,"G[?,?](tte >= ? | PLATELET_COUNT <= ?)"
324,"(dfa <= ?) U[?,?] (AF <= ?)"
325,"(y <= ?) U[?,?] (HEMOGLOBIN <= ?)"
326,"(cosen <= ?) U[?,?] (Pulse >= ?)"
327,"G[?,?](Temp <= ? -> SBP >= ?)"
328,"G[?,?](PHOSPHORUS >= ? | MET <= ?)"
329,"(SBP <= ?) U[?,?] (direct <= ?)"
330,"G[?,?](BLOOD_UREA_NITROGEN <= ? -> n_evts >= ?)"
331,"G[?,?](Mort <= ? | ICU_Pt_Days <= ?)"
332,"(s24_edrk <= ?) U[?,?] (HEMOGLOBIN <= ?)"
333,"G[?,?](SBP <= ? -> Resp <= ?)"
334,"G[?,?](SODIUM <= ? -> s24_hr <= ?)"
335,"(edrk <= ?) U[?,?] (SBP >= ?)"
336,"(dfa <= ?) U[?,?] (CREATININE <= ?)"
337,"G[?,?](direct >= ? -> Pulse >= ?)"
338,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (s24_edrk >= ?)"
339,"G[?,?](PLATELET_COUNT >= ? | POTASSIUM <= ?)"
340,"G[?,?](direct >= ? | s8_hr <= ?)"
341,"G[?,?](Mort <= ? -> O2_Flow <= ?)"
342,"G[?,?](CREATININE >= ? -> Glasgow_Coma_Scale_Total <= ?)"
343,"(CREATININE <= ?) U[?,?] (MET <= ?)"
344,"G[?,?](O2_Flow >= ? | HEMOGLOBIN >= ?)"
345,"G[?,?](CO2 >= ? | SODIUM >= ?)"
346,"G[?,?](direct <= ? -> CALCIUM >= ?)"
347,"(CO2 >= ?) U[?,?] (PLATELET_COUNT >= ?)"
348,"(Resp <= ?) U[?,?] (CO2 >= ?)"
349,"G[?,?](Mort <= ? | death <= ?)"
350,"G[?,?](n_evts >= ? | tte <= ?)"
351,"F[?,?](Mort >= ? & O2_Flow >= ?)"
352,"(Pulse <= ?) U[?,?] (s8_edrk <= ?)"
353,"(dfa <= ?) U[?,?] (O2_Flow >= ?)"
354,"G[?,?](CHLORIDE >= ? | O2_Flow <= ?)"
355,"(BLOOD_UREA_NITROGEN <= ?) U[?,?] (lds <= ?)"
356,"G[?,?](CALCIUM <= ? -> Glasgow_Coma_Scale_Total >= ?)"
357,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (n_edrk <= ?)"
358,"(lds >= ?) U[?,?] (srr <= ?)"
359,"(PLATELET_COUNT >= ?) U[?,?] (edrk <= ?)"
360,"G[?,?](Glasgow_Coma_Scale_Total >= ? -> y <= ?)"
361,"(n_evts >= ?) U[?,?] (edrk >= ?)"
362,"(edrk >= ?) U[?,?] (tte <= ?)"
363,"(lds >= ?) U[?,?] (BLOOD_UREA_NITROGEN <= ?)"
364,"G[?,?](Pulse <= ? | SpO2 >= ?)"
365,"(LOS <= ?) U[?,?] (edrk >= ?)"
366,"G[?,?](MET <= ? | PLATELET_COUNT >= ?)"
367,"G[?,?](Mort >= ? -> s24_hr <= ?)"
368,"G[?,?](Resp <= ? -> Temp <= ?)"
369,"G[?,?](death <= ? -> Mort <= ?)"
370,"(direct <= ?) U[?,?] (CALCIUM <= ?)"
371,"G[?,?](Mort >= ? | Temp <= ?)"
372,"G[?,?](HEMOGLOBIN >= ? -> BLOOD_UREA_NITROGEN >= ?)"
373,"(cosen >= ?) U[?,?] (cosen <= ?)"
374,"G[?,?](Resp >= ? -> Resp <= ?)"
375,"G[?,?](O2_Flow <= ? -> MET <= ?)"
376,"G[?,?](Pulse <= ? | SpO2 <= ?)"
377,"G[?,?](GLUCOSE <= ? | MAGNESIUM >= ?)"
378,"G[?,?](Glasgow_Coma_Scale_Total <= ? | POTASSIUM <= ?)"
379,"(WHITE_BLOOD_CELL_COUNT <= ?) U[?,?] (Temp >= ?)"
380,"G[?,?](LOS >= ? | CALCIUM <= ?)"
381,"G[?,?](SpO2 <= ? | GLUCOSE <= ?)"
382,"G[?,?](direct >= ? | s24_hr <= ?)"
383,"G[?,?](direct <= ? -> Mort >= ?)"
384,"(Pulse >= ?) U[?,?] (CHLORIDE <= ?)"
385,"G[?,?](Resp <= ? -> SpO2 >= ?)"
386,"(direct <= ?) U[?,?] (Resp <= ?)"
387,"G[?,?](y <= ? | CREATININE <= ?)"
388,"G[?,?](CALCIUM <= ? -> death <= ?)"
389,"(n_edrk >= ?) U[?,?] (LOS <= ?)"
390,"G[?,?](LOS >= ? & Temp >= ?)"
391,"(WHITE_BLOOD_CELL_COUNT <= ?) U[?,?] (tte <= ?)"
392,"(Glasgow_Coma_Scale_Total >= ?) U[?,?] (s24_hr <= ?)"
393,"G[?,?](CO2 >= ? | Glasgow_Coma_Scale_Total >= ?)"
394,"(death >= ?) U[?,?] (af >= ?)"
395,"G[?,?](MAGNESIUM >= ? | Glasgow_Coma_Scale_Total >= ?)"
396,"(LOS <= ?) U[?,?] (cosen >= ?)"
397,"(WHITE_BLOOD_CELL_COUNT <= ?) U[?,?] (Glasgow_Coma_Scale_Total <= ?)"
398,"G[?,?](SODIUM <= ? | Resp <= ?)"
399,"(LOS >= ?) U[?,?] (Temp >= ?)"
400,"G[?,?](PHOSPHORUS >= ? | HEMOGLOBIN >= ?)"
401,"G[?,?](CHLORIDE >= ? | SBP <= ?)"
402,"(ICU_Pt_Days <= ?) U[?,?] (n_edrk <= ?)"
403,"G[?,?](HEMOGLOBIN >= ? -> GLUCOSE <= ?)"
404,"G[?,?](Resp >= ? -> MET >= ?)"
405,"G[?,?](CHLORIDE <= ? -> hr <= ?)"
406,"(s24_edrk >= ?) U[?,?] (s8_edrk <= ?)"
407,"G[?,?](ICU_Pt_Days >= ? | Resp >= ?)"
408,"(s24_edrk <= ?) U[?,?] (CREATININE >= ?)"
409,"G[?,?](CO2 <= ? | BLOOD_UREA_NITROGEN <= ?)"
410,"G[?,?](tte >= ? | hr <= ?)"
411,"(n_edrk >= ?) U[?,?] (lds <= ?)"
412,"G[?,?](SODIUM <= ? -> GLUCOSE <= ?)"
413,"G[?,?](WHITE_BLOOD_CELL_COUNT <= ? -> WHITE_BLOOD_CELL_COUNT <= ?)"
414,"(s8_hr <= ?) U[?,?] (s24_edrk >= ?)"
415,"G[?,?](BLOOD_UREA_NITROGEN >= ? -> SODIUM >= ?)"
416,"G[?,?](SpO2 >= ? | direct >= ?)"
417,"(s8_edrk <= ?) U[?,?] (direct <= ?)"
418,"G[?,?](MET <= ? -> CREATININE <= ?)"
419,"G[?,?](LOS >= ? -> SODIUM >= ?)"
420,"(s8_edrk <= ?) U[?,?] (Resp <= ?)"
421,"(MAGNESIUM >= ?) U[?,?] (PHOSPHORUS >= ?)"
422,"(n_evts >= ?) U[?,?] (SBP <= ?)"
423,"G[?,?](PHOSPHORUS >= ? | direct <= ?)"
424,"G[?,?](SpO2 <= ? -> CREATININE >= ?)"
425,"G[?,?](CO2 >= ? | CREATININE <= ?)"
426,"G[?,?](LOS >= ? -> WHITE_BLOOD_CELL_COUNT <= ?)"
